work_title,sentence,sentence_length
நித்திலவல்லி,﻿நித்திலவல்லி சரித்திர நாவல் நா.,4
நித்திலவல்லி,நல்லடையாளச் சொல் இரண்டு.,3
நித்திலவல்லி,மதுராபதி வித்தகர் மூன்று.,3
நித்திலவல்லி,காராளர் வீட்டு விருந்து நான்கு.,4
நித்திலவல்லி,செல்வப் பூங்கோதை ஐந்து.,3
நித்திலவல்லி,பூத பயங்கரப் படை ஆறு.,4
நித்திலவல்லி,யானைப்பாகன் அந்துவன் ஏழு.,3
நித்திலவல்லி,திருமருத முன் துறைக்கு ஒரு வழி ஒன்பது.,6
நித்திலவல்லி,நம்பிக்கையின் மறுபுறங்கள் பத்து.,3
நித்திலவல்லி,கருங்கல்லும் மலர்மாலையும் பதினொன்று .,3
நித்திலவல்லி,மூன்று குழியும் ஒரு வினாவும் பனிரண்டு .,5
நித்திலவல்லி,வையைக்கரை உபவனம் பதிமூன்று .,3
நித்திலவல்லி,நதியும் நாகரிகமும் பதினான்கு .,3
நித்திலவல்லி,கண்களே பேசும் பதினைந்து .,3
நித்திலவல்லி,முத்துப்பல்லக்குப் புறப்பட்டது பதினேழு .,3
நித்திலவல்லி,என்னென்னவோ உணர்வுகள் பதினெட்டு .,3
நித்திலவல்லி,இன்னும் ஒரு விருந்தினர் பத்தொன்பது .,4
நித்திலவல்லி,சேறும் செந்தாமரையும் இருபது.,3
நித்திலவல்லி,கோட்டை மூடப்பட்டது இருபத்தொன்று.,3
நித்திலவல்லி,எண்ணெய் நீராட்டு இருபத்திரண்டு.,3
நித்திலவல்லி,புலியும் மான்களும் இருபத்து மூன்று.,4
நித்திலவல்லி,தென்னவன் மாறன் இருபத்து நான்கு.,4
நித்திலவல்லி,மறுமொழி வந்தது இருபத்தைந்து.,3
நித்திலவல்லி,பாதங்களில் வந்த பதில் இருபத்தாறு.,4
நித்திலவல்லி,அபாயச் சூழ்நிலை இருபத்தேழு.,3
நித்திலவல்லி,ஊமை நாட்கள் இருபத்தெட்டு.,3
நித்திலவல்லி,கபால மோட்சம் இருபத்தொன்பது.,3
நித்திலவல்லி,தேனூர் மாந்திரீகன் முப்பது.,3
