work_title,sentence,sentence_length
தமிழ்ச்_சொல்லாக்கம்,"﻿தமிழ்ச் சொல்லாக்கம் சேகர் பதிப்பகம் அறுபத்தாறு ஒன்று, பெரியார் தெரு, எம்.",9
தமிழ்ச்_சொல்லாக்கம்,"நகர், சென்னை அறுநூறு  எழுபத்தெட்டு.",4
தமிழ்ச்_சொல்லாக்கம்,அச்சிட்டோர் ஜி.வி.,3
தமிழ்ச்_சொல்லாக்கம்,"கிராபிக்ஸ், அசோக் நகர், சென்னை எண்பத்து மூன்று.",6
தமிழ்ச்_சொல்லாக்கம்,﻿ உள்ளே... சொல்லாக்க நெடுவழியில் நான்கு ⁠ ⁠முனைவர் இராம.,8
தமிழ்ச்_சொல்லாக்கம்,குருநாதன் சொற்களஞ்சியம் சுரதா ஏழு ⁠ ⁠வெள்ளையாம்பட்டு சுந்தரம் ஒன்று.,8
தமிழ்ச்_சொல்லாக்கம்,தமிழ்ச் சொல்லாக்கம் பதினொன்று  இரண்டு.,4
தமிழ்ச்_சொல்லாக்கம்,சொல் வழங்கிய நூல்களும் ஆசிரியர்களும் நூற்றி தொன்னூற்றேழு மூன்று.,7
தமிழ்ச்_சொல்லாக்கம்,சொல் வழங்கிய இதழ்களும் ஆசிரியர்களும் இருநூற்று ஒன்பது நான்கு.,7
தமிழ்ச்_சொல்லாக்கம்,"தமிழாக்கச் சொற்கள் பட்டியல் இருநூற்று பதினொன்று  சொல்லாக்க நெடு வழியில்.... பேராசிரியர், முனைவர் இராம.",11
தமிழ்ச்_சொல்லாக்கம்,இந்த மலரும் நினைவுகள் எல்லாவற்றுக்கும் பொருந்தும்.,5
தமிழ்ச்_சொல்லாக்கம்,பழைய திரைப்படப் பாடல்களில் மனம் பதித்து அதிலேயே பற்றுக்கொண்டிருப்பவர்களை இதற்கு உதாரணமாகக் கொள்ளலாம்.,10
தமிழ்ச்_சொல்லாக்கம்,இந்நூலிலிருந்து பல்வேறு அரிய சொற்களின் பொருள்களை உணர்ந்து கொள்கிறோம்.,7
தமிழ்ச்_சொல்லாக்கம்,அரிதின் முயன்று தொகுத்த நூல்கள் கவிஞரிடம் மிகுதியும் உள்ளன.,7
தமிழ்ச்_சொல்லாக்கம்,"அவற்றிலிருந்து அருமையான தகவல்களை அவ்வப்போது நண்பர்களிடம் சொல்லியும், இதழ்களில், நூல்களில் எழுதியும் வருவதை வழக்கமாகக் கொண்டிருப்பவர் அவர்.",13
தமிழ்ச்_சொல்லாக்கம்,இது போன்றவற்றிற்கு அவரே ஒரு தகவல் களஞ்சியம்.,6
தமிழ்ச்_சொல்லாக்கம்,பழந்தமிழ் நூல்களில் காணக் கிடைக்கும் அரிய சொற்களை அவற்றின் திறனறிந்து தொகுத்துத் தந்தமைக்காகக் கவிஞரைப் பாராட்டவேண்டும்.,12
தமிழ்ச்_சொல்லாக்கம்,இதனைத் தந்துள்ள முறைமையும் அருமையாய் உள்ளது.,5
தமிழ்ச்_சொல்லாக்கம்,சொற்களைப் பட்டியலாக மட்டும் தந்திருப்பாரேயானால் அவர் பங்கில் சிறப்பிராது.,7
தமிழ்ச்_சொல்லாக்கம்,இத்தொகுப்பு நூலை அவர் அமைத்துக்கொண்ட விதம் சிறப்புடையது.,6
தமிழ்ச்_சொல்லாக்கம்,தமிழாக்கச் சொற்கள் தமிழ் நூல்களில் பெய்யப்பட்டதை நிரலாகத் தந்திருப்பது அறிதற்குச் சுவை பயக்கிறது.,10
தமிழ்ச்_சொல்லாக்கம்,"பாராளுமன்று, நிழற்படம் வாக்கு போன்ற சொற்கள் அக்காலத்திலேயே அழகியதாய் மொழி பெயர்த்திருக்கும் திறனை தேவையை அறிந்துகொள்ள முடிகிறது.",13
தமிழ்ச்_சொல்லாக்கம்,"சில சொற்களின் பெயர்ப்பு நமக்கு வியப்பூட்டுவதாயும், மருட்கை தருவதாயும் அமைந்திருப்பதை உணர்கிறோம்.",9
தமிழ்ச்_சொல்லாக்கம்,பிற துறைச் சொற்கள் அழகியக் கலைச் சொல்லாக்கம் பெற்றிருப்பதையும் காண்கிறோம்.,8
தமிழ்ச்_சொல்லாக்கம்,மருத்துவம் தொடர்பான கலைச் சொல்லாக்கம் பெற்ற பல சொற்கள் அவ்வாறு அமைந்துள்ளன.,9
தமிழ்ச்_சொல்லாக்கம்,"உமிழ் நீர்க்கோளம், உடற்கூற்று நூல், சிற்றணுக்கூடு முதலியனவற்றை இதற்கு எடுத்தக் காட்டலாம்.",9
தமிழ்ச்_சொல்லாக்கம்,ஒரு துறை சார்ந்த பல சொற்களை ஆங்காங்கே காட்டியிருப்பதும் நன்று.,8
தமிழ்ச்_சொல்லாக்கம்,நமசிவாய முதலியார் முதலான பலர் சொற்பொருளைத் தந்திருக்கும் பாங்கை இந்நூல் விளக்கும்போது அவர்களின் மொழிநடை இயல்பையும் அறிந்து இன்புறுகிறோம்.,14
தமிழ்ச்_சொல்லாக்கம்,மொழி வளர்ச்சியில் பழமைக்கும் இடம் உண்டு புதுமைக்கும் வரவேற்பு உண்டு.,8
தமிழ்ச்_சொல்லாக்கம்,"பழையன கழிவதும், புதுமையை ஏற்பதும் மொழியின் இயல்பு.",6
தமிழ்ச்_சொல்லாக்கம்,இக்கருத்தைக் கூறும் நூற்பாவில் உள்ள காலவகை என்ற சொல்கூட ஒரு வகையில் மொழியாக்கச் சொல்லே !,11
தமிழ்ச்_சொல்லாக்கம்,அதேபோல் இன்று வழங்கப்படும் பிற சொற்களுக்குப் பழைய நூல்களிலிருந்தும் இணை அல்லது சமன் சொற்களைத் தேடலாம்.,12
தமிழ்ச்_சொல்லாக்கம்,இது தனியோர் ஆராய்ச்சி.,3
தமிழ்ச்_சொல்லாக்கம்,விரிப்பிற் பெருகும் தொகுப்பின் எஞ்சும்.,4
தமிழ்ச்_சொல்லாக்கம்,இந்நூலைத் தொகுத்த கவிஞர் சுரதாவிற்குத் தமிழகம் நன்றிக் கடன் செலுத்தவேண்டும்.,8
தமிழ்ச்_சொல்லாக்கம்,அவரைத் தக்கவாறு பயன்படுத்திக் கொள்ளவேண்டும்.,4
தமிழ்ச்_சொல்லாக்கம்,"படைப்புத் துறைமுகத்திலிருந்து அவர் ஒதுங்கிக் கொண்டாலும், படித்தறிந்த நூல்களின் தேன்மழையில் நம்மைத் திளைக்க வைத்துள்ளார்.",11
தமிழ்ச்_சொல்லாக்கம்,இது போன்ற தகவல்களின் தமிழ்ச் சுரங்கம் அவர்.,6
தமிழ்ச்_சொல்லாக்கம்,"அக்கவிச்சுரங்கத்தில் இருந்து கவிதைகளைவிட இனி, கனிமங்களை வெட்டி எடுக்கலாம்.",7
தமிழ்ச்_சொல்லாக்கம்,"இந்நூலைக் கவிஞர்க்கு ஒரு காணிக்கையாக அளித்துள்ளார் வரலாற்றறிவும், தமிழறிவும் பதிப்புக்கலையும் அறிந்த திரு வெள்ளையாம்பட்டு சுந்தரம் அவர்கள்.",13
தமிழ்ச்_சொல்லாக்கம்,இதற்காக அவரைப் போற்றவேண்டும்.,3
தமிழ்ச்_சொல்லாக்கம்,இந்நூலை அழகிய முறையில் வெளிக் கொணர்ந்திருக்கும் சேகர் பதிப்பகத்தார்க்கு என் பாராட்டுக்கள் பல.,10
தமிழ்ச்_சொல்லாக்கம்,நம் தமிழகத்தில் தோன்றிய கவிஞர்கள் பலராவர்.,5
தமிழ்ச்_சொல்லாக்கம்,செய்யுள்கள் மட்டும் யாத்தவர் சிலர் உரைநடையும் எழுதியோர் பலர்.,7
தமிழ்ச்_சொல்லாக்கம்,"உரைநடையில் நாடகம், கட்டுரை, கதைகள் எழுதியோர் சிலர்.",6
தமிழ்ச்_சொல்லாக்கம்,"பக்தி, சீர்திருத்தம், நாட்டு நலன் எனப் பல்வேறு துறைகளில் ஈடுபட்டோரும் உண்டு.",9
