work_title,sentence,sentence_length
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,உலக வரலாற்றில் விடுதலை வீரர்கள் என்.,5
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,உலக வரலாற்றில் விடுதலை வீரர்கள் ﻿தொகுப்பாசிரியர் என்.வி.,7
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,கலைமணி மெய்யம்மை நிலையம் புதிய எண்.,5
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,காரல் மார்க்சு மூன்று.,3
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,ஜீலியஸ் பியூசிக் நான்கு.,3
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,ஜார்ஜ் பாபன் திரியோ ஐந்து.,4
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,ஜூவான் பாஷ் ஆறு.,3
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,மார்ட்டின் லூதர் கிங் ஏழு.,4
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,ஆபிரகாம் லிங்கன் ஒன்பது.,3
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,முஸ்தபா கமால் பாஷா பத்து.,4
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,எஜமானன் நூ பதினொன்று .,3
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,பிறைநிலா அமானுல்லா பதினான்கு .,3
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,அந்த காந்தீய நெறியைப் பின்பற்றி உலகத்திலே பலர் அகிம்சை வழியிலே சமுதாய விடுதலையும் பெற்றுத் தந்துள்ளார்கள்.,12
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,"குறிப்பாக அமெரிக்காகாந்தி மார்டீன் லூதர் கிங், அயர்லாந்து காந்தி டிவேலர்லரா போன்ற பலர் காந்திய வழியைப் பின்பற்றினார்கள்.",13
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,"இது, உலகவிடுதலைப் போரில் இதுவரை யாரும் வழிகாட்டியிராத ஒரு புதுமையானபோர் முறையாகும்.",9
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,"அவர்களுள் மாஜினி, கரிபால்டீ, லெனின், பர்மிய வீரர் அவுன்சான் போன்றவர்கள் உண்டு.",9
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,இந்த வகையில் காந்தியடிகளைப் பின்பற்றி நடந்தோர்க்கும் மற்றவர்களுக்கும் இடையே வேறுபாடே இல்லை.,9
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,அவர் விடுதலைப் போர் முறையிலே காந்தியடிகளிடம் வேறுபட்டு இருந்தாரே தவிர மாறுபட்டவராக இருக்கவில்லை.,10
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,"போர்முறையில் கருத்துவேறுபாடுகள் இருந்தாலும் நேதாஜி, மகாத்மா காந்தியினை மதிப்பிற்குரிய தலைவராக இறுதிவரை எண்ணியவராவர்.",10
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,என்பது அவர் நோக்கம் அல்ல.,4
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,அந்தப் பெரும் பேறு நமக்கு கிடைக்காதது துரதிர்ஷ்டமே ஆகும்.,7
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,கட்டாக் நகரில் உள்ள ஓர் ஆரம்பப் பள்ளியில் சுபாஷ் கல்வி கற்றார்.,9
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,அந்தப் பள்ளியில் ஆங்கிலேய மாணவர்களே அதிகமாக படித்துக்கொண்டிருந்தார்கள்.,6
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,அந்தப் பள்ளியில் போஸ் ஆறு ஆண்டுகள் கல்வி கற்றபின்னர் ராவென்ஷா உயர்நிலைப் பள்ளியில் மெட்ரிக்குலேஷன் வரை படித்தார்.,13
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,அதற்குப் பிறகு வங்காளத்தில் ஒரு கல்லூரியில் சேர்ந்து ஆனர்ட்ஸ் பட்டம் பெற்று முதல் மாணவராகத் திகழ்ந்தார்.,12
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,பிறகு இங்கிலாந்து சென்று கேம்பிரிட்ஜ் பல்கலைக்கழகத்தில் ஐ.சி.எஸ்.,8
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,"இந்த நேரத்தில், இந்தியாவில் காந்தியடிகள் ஒத்துழையாமைப் போர் என்ற ஒரு போராட்டத்தை துவக்கினார்.",10
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,அது உலகமெங்கும் ஓர் அரசியல் விழிப்புணர்ச்சியையும் வியப்பையும் உருவாக்கியது.,7
