work_title,sentence,sentence_length
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,கிருஸ்தவத் தமிழ்த் தொண்டர் டாக்டர் ரா.,5
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,﻿கிருஸ்தவத் தமிழ்த் தொண்டர் பேராசிரியர் ரா.,5
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,"சேதுப் பிள்ளை, பி.",3
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,தமிழ் ஆராய்ச்சித்துறைத் தலைவர் சென்னைப் பல்கலைக் கழகம் எஸ்.,7
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,சுப்பிரமணிய பிள்ளை பப்ளிஷர்ஸ் திருநெல்வேலி காபிரைட் விலே ரூபா ஒன்று.,8
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,﻿ முகவுரை தமிழ் மொழி தென்னிந்திய நாட்டிலுள்ள எல்லாச் சமயத்தார்க்கும் உரிய செம்மொழியாக இலங்குகின்றது.,11
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,"தமிழகத்திற் பிறந்த மதங்களும், புகுந்த மதங்களும் தமிழ் மொழியைப் பேணி வளர்த்தன.",9
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,"சைவரும், வைணவரும், சமணரும், சாக்கியரும் சிறந்த தமிழ் நூல்கள் இயற்றினர்.",8
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,"மகமதியரும், கிருஸ்தவரும் தமிழ்த்தாய்க்குத் தொண்டு செய்தனர்.",5
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,தமிழ் மொழிக்குத் தொண்டு செய்த கிருஸ்தவர்களிற் பெரும்பாலோர் மேலை நாட்டு மொழிகளை நன்கு அறிந்தவர்கள்.,11
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,அவர்கள் ஆற்றிய பணி பலவகைப் பட்டதாகும்.,5
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,தமிழ் நாட்டுக் கலைச் செல்வத்தை மேலை நாட்டார்க்குக் காட்டினர் சிலர்.,8
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,தமிழிலக்கியத்தின் பண்புகளைப் பாட்டாலும் உரையாலும் விளக்கியருளினர் சிலர்.,6
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,இலக்கண வாயிலாக ஆராய்ந்து தமிழின்தொன்மையையும் செம்மையையும் துலக்கினர் சிலர்.,7
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,மேலே நாட்டு முறையில் தமிழகராதி தொகுத்து உதவினர் சிலர்.,7
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,தெள்ளிய தமிழ் வசன நடையில் அறிவுநூல் இயற்றித் தொண்டாற்றினர் சிலர்.,8
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,இவ்வாறு பல்லோரும் இயற்றிய நற்பணியின் பயனாகத் தமிழ் தலையெடுத்து வருகின்றது.,8
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,இத்தகைய தமிழ்த் தொண்டு செய்த பெருமக்களில் ஒரு சிலருடைய வரலாற்றைச் சுருக்கமாகக் கூறுவது இந்நூல்.,11
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,சென்னை வானொலி நிலையத்தில் யான் நிகழ்த்திய பேச்சு முதல் மூன்று கட்டுரையாகச் சேர்க்கப்பட்டுகிறது.,10
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,"அந் நிலையத்தார்க்கும், இந்நூலை வெளியிடுவதற்கு அனுமதி தந்த சென்னைப் பல்கலைக் கழகத்தார்க்கும் என் நன்றி உரியதாகும்.",12
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,சேதுப் பிள்ளை ﻿பொருளடக்கம் எண் பக்கம் பொருள் ஒன்று.,7
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,வீரமாமுனிவர் ஒன்று இரண்டு.,3
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,போப்பையர் பதினொன்று  மூன்று.,3
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,கால்டுவெல் ஐயர் இருபத்தொன்று நான்கு.,4
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,எல்லீசர் முப்பத்து நான்கு ஐந்து.,4
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,ரேனியஸ் ஐயர் நாற்பத்து மூன்று ஆறு.,5
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,வேதநாயகம் பிள்ளை நாற்பத்தொன்பது ஏழு.,4
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,கிருஷ்ண பிள்ளை ஐம்பத்தொன்பது எட்டு.,4
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,வேதநாயக சாஸ்திரியார் அறுபத்தைந்து ஒன்பது.,4
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,அகராதி ஆசிரியர் எழுபத்து மூன்று ⁠ முடிவுரை எண்பத்திரண்டு ⁠ அநுபந்தம் ﻿ கிருஸ்தவத் தமிழ்த் தொண்டர் ஒன்று.,14
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,வீரமாமுனிவர் மேலை நாட்டு நல்லறிஞர் பலர் தமிழ் நாட்டிற் போந்து சிறந்த தமிழ்ப் பணி செய்துள்ளார்கள்.,12
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,அவருள் இத்தாலிய தேசத்து வித்தகர் சிலர் ஜெர்மானிய தேசத்தவர் சிலர் ஆங்கில நாட்டைச் சேர்ந்தவர் சிலர்.,12
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,அவர்களால் தமிழ் மொழி பெற்ற நன்மைகள் பலவாகும்.,6
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,ஏறக்குறைய இருநூற்று முப்பது ஆண்டுகளுக்கு முன்னே இத்தாலிய தேசத்தில் பிறந்த பெரியார் ஒருவர் தமிழ் நாட்டுக்கு வந்தார்.,13
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,அவர் ஒன்று யேசுநாதர் சங்கத்தைச் சேர்ந்தவர் இளமையிலேயே துறவறத்தை மேற்கொண்டவர்.,8
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,பெஸ்கி என்பது அவர் பெயர்.,4
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,தமிழ் உலகம் அவரை வீரமாமுனிவர் என்று போற்றுகின்றது.,6
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,"திருக்குறளின் தெள்ளிய நயமும், சிந்தாமணியின் செழுஞ்சுவையும், கம்ப ராமாயணத்தின் கவியின்பமும் அவர் மனத்தைக் கவர்ந்தன.",11
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,சிந்தாமணியைப் போல் கிருஸ்து மதச் சார்பாக ஒரு பெருங்காவியம் செய்ய அவர் ஆசைப்பட்டார்.,10
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,அவ்வாசையின் கனியே இரண்டு தேம்பாவணி என்னும் அருங்காவியம்.,6
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,யேசுநாதரைக் கைத்தாதை சூசையப்பர் சரித்திரம் தேம்பாவணியில் விரித்துரைக்கப் படுகின்றது.,7
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,இதற்கு ஒரு சான்று காண்போம்.,4
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,மிதிலைமா நகரில் இராமன் வில்லை வளைத்துச் சீதையை மணம் புரிந்த செய்தியை மிக நயமாக எழுதியுள்ளார் கம்பர்.,13
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,மன்னன் மாளிகையில் மலைபோற் கிடந்தது மண வில்.,6
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,அதனை எடுத்து வளைப்பதற்காக இராமன் சென்றான்.,5
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,இமை கொட்டாமல் எல்லோரும் பார்த்து நின்றார்.,5
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,அவ்வில்லை எளிதில் கையால் எடுத்தான் இராமன்.,5
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,அப்பால் அது ஒடிந்து விழுந்த ஓசை இடிமுழக்கம் போல் கேட்டது.,8
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,வில்லை எடுத்ததற்கும் ஒடித்ததற்கும் இடையே இராமன் என்ன செய்தான் என்பதை எவரும் அறிந்திலர்.,10
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,"மூன்று எடுத்தது கண்டனர், இற்றது கேட்டார் என்று கூறுகின்றார் கம்பர்.",8
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,தேம்பாவணியில் முனிவர் இந் நயத்தை வடித்தெடுத்து வைத்துள்ளார்.,6
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,இளம் பாலனாகிய தாவீது கொடிய கோலியாத்து என்பவனைக் கொன்ற செய்தி கிருஸ்தவ ஆகமங்களிற் கூறப்பட்டுள்ளது.,11
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,கோலியாத்து என்பவன் தேக வலிமை வாய்ந்தவன் ஆனால் தெய்வ நிந்தனை செய்தவன்.,9
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,அவனது செருக்கையும் சிறுமையையும் அறுத்து ஒழிக்கக் கருதினான் தாவீது.,7
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,"ஆண்டவன் அருளைத் துணைக்கொண்டு, கவணும் கல்லும் கையில் எடுத்துப் பகைவனை நோக்கி நடந்தான்.",10
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,என்று ஏளனம் பேசினன்.,3
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,அப்பொழுது அக் கொடியவனது நெற்றியில் திண் என்று ஒரு கல்வத்து அடித்தது.,9
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,திடீரென்று அவன் மண் மேல் விழுந்தான்.,5
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,அக்கல்லை விட்டெரிந்தவன் தாவீதனே என்று எல்லோ எல்லோரும் அறிந்தனர்.,7
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,அவன் எப்போது கல்லைக் கவணில் ஏற்றானான்?,5
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,நான்கு முனவரது கவித்திறனைக் குறித்து வழங்கும் கதைகள் பலவாகும்.,7
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,இத்தகைய கதைகளின் உதவியில்லாமலே தேம்பாவணிக் கவிதையின் பெருமையை நாம் உணர்ந்து கொள்ளக்கூடும்.,9
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,அடைக்கல மாதாவின் திருவடிகளில் வீரமாமுனிவர் அணிந்த கலம்பகப் பாமாலை சிறந்த தமிழ் மணம் கமழ்வதாகும்.,11
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,இத்தகைய ஆசை வீரமாமுனிவரது பாட்டிலும் வெளிப்படுகின்றது.,5
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,இத்தகைய கவஞராகிய வீரமா முனிவர் தமிழ் அகராதியின் தந்தையாகவும் விளங்குகிறார்.,8
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,தமிழ்ச் சொற்களை அகரம் முதலாகத் தொகுத்தும் வகுத்தும் பொருள் எழுதியவர் அவரே.,9
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,அவர் காலத்துக்கு முன்பு தமிழ்ப் பதங்களின் பொருள் தெரிந்து கொள்வதற்குப் பல நிகண்டுகள் இருந்தன.,11
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,திவாகரம் என்பது ஒரு நிகண்டு.,4
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,அது திவாகர முனிவரால் செய்யப்பட்டது.,4
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,பிங்கலம் என்பது மற்றொரு நிகண்டு.,4
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,அவை இரண்டும் மிகப் பழமை வாய்ந்தன.,5
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,பிற்காலத்தில் சூடாமணி என்னும் நிகண்டு பெயர் பெற்று விளங்கிற்று.,7
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,அந்நிகண்டுகள் எல்லாம் செய்யுள் நடையிலே அமைந்திருந்தன மனப்பாடம் செய்து கொள்வதற்கு ஏற்ற வகையிலே இயற்றப்பட்டிருந்தன.,11
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,கவிபாடும் புலவர்களும் உரை காணும் அறிஞர்களும் அவற்றைக் கற்றுப் பயனடைந்தார்கள்.,8
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,ஆயினும் கற்றவரேயன்றி மற்றவரும் தமிழ்ப் பதங்களே எளிதாக உணர்வதற்கு மேல் நாட்டு அகராதி முறையே சிறந்ததென்று வீரமாமுனிவர் கருதினர்.,14
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,பண்டை நிகண்டுகளில் அமைந்த பதங்களை வரிசைப்படுத்திச் சதுர் அகராதி என்னும் பெயரால் அரியதோர் நூலை அவர் வெளியிட்டார்.,13
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,அதுவே பிற்காலத்தில் எழுந்த பேரகராதிகளுக்கெல்லாம் அடிப்படையாக அமைந்தது.,6
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,"முப்பாலாக அமைந்த திருக்குறளின் அறத்துப்பாலேயும், பொருட்பாலையும் லத்தீன் மொழியில் மொழி பெயர்த்தார் முனிவர்.",10
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,அந்நூலே ஏனைய ஐரோப்பிய மொழிகளில் திருக்குறள் வழங்குவதற்கு வழிகாட்டிற்று.,7
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,"இவ்வாறு பல துறைகளில் தமிழ் மொழிக்குத் தொண்டு செய்த வீரமாமுனிவர், தமிழ் வசன நடையையும் வளர்ப்பாராயினர்.",12
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,அந்நூலே வீரமாமுனிவர் இயற்றிய உரைநடை நூல்களுள் தலை சிறந்தது என்று போப்பையர் கூறுகின்றார்.,10
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,"சமயத்துறையில் எழுத்துவாதம் நிகழ்த்துவதிலும், வாக்குவாதம் செய்வதிலும் வீரமாமுனிவர் சிறிதும் தளர்ந்தவரல்லர்.",8
