work_title,sentence,sentence_length
சேக்கிழார்,﻿சேக்கிழார் ஆசிரியர் டாக்டர் மா.,4
சேக்கிழார்,﻿ முகவுரை தமிழ்ப் புலவர் வரலாறுகள் நல்ல ஆராயச்சி முறையைத் தழுவி வெளிவருதல் அருமையாக இருக்கிறது.,12
சேக்கிழார்,ஆராய்ச்சிக் காலமாகிய இக்காலத்தில் வெளிவரும் நூல்கள் கல்வெட்டு சரித்திரம் இலக்கியம் இவற்றை அடிப் படையாகக் கொண்டு வெளிவருதலே நல்லது.,14
சேக்கிழார்,இந்த முறையில் அமைந்திருப்பதே இச்சிறு நூல்.,5
சேக்கிழார்,சேக்கிழார் ஒரு வேளாளர் தமிழ்ப் புல்வர் அரசியல் அறிஞர் கி.,8
சேக்கிழார்,பனிரண்டு  ஆம் நூற்றாண்டில் பேரரசானாக இருந்த இரண்டாம் குலோத்துங்கனின் முதல் அமைச்சர் ஆவர்.,10
சேக்கிழார்,அப் பெரியார் நாயன்மார் வரலாறுகளைப் பெருங் காவியமாகப் பாடின.,7
சேக்கிழார்,அக் காவியமே பெரிய புராணம் என்பது.,5
சேக்கிழார்,ஒவ்வொரு தமிழ்ப் புலவர் வரலாறும் இவ்வாறு தனித்தனி நூலாக வருதல் தமிழ் வளர்ச்சிக்கு ஏற்றதாகும்.,11
சேக்கிழார்,திருவருள் துணை கூட்டுமாக !,3
சேக்கிழார்,"சேக்கிழார் அகம், சென்னை.",3
சேக்கிழார்,இராசமாணிக்கம் பொருளடக்கம் எண் ⁠பொருள் பக்கம் ஒன்று.,6
சேக்கிழார்,தொண்டை நாடு... ஐந்து இரண்டு.,4
சேக்கிழார்,குன்றத்தூர்... பதிமூன்று  மூன்று.,3
சேக்கிழார்,சேக்கிழார் பிறப்பு... பதினெட்டு  நான்கு.,4
சேக்கிழார்,கல்வி கற்றல்... இருபத்திரண்டு ஐந்து.,4
சேக்கிழார்,அக்காலச் சைவசமய நிலை... இருபத்தெட்டு ஆறு.,5
சேக்கிழார்,அநபாயச் சோழன்... முப்பத்து நான்கு ஏழு.,5
சேக்கிழார்,சேக்கிழார் முதல் அமைச்சர்... முப்பத்தெட்டு எட்டு.,5
சேக்கிழார்,சேக்கிழார் தல யாத்திரை... நாற்பத்து நான்கு ஒன்பது.,6
சேக்கிழார்,ஜீவக சிந்தாமணி... ஐம்பத்திரண்டு பத்து.,4
சேக்கிழார்,சேக்கிழார் அறிவுரை... ஐம்பத்தெட்டு பதினொன்று .,4
சேக்கிழார்,பெரிய புராண அரங்கேற்றம்... அறுபத்தைந்து ﻿சேக்கிழார் ஒன்று.,6
சேக்கிழார்,தொண்டை நாடு தமிழகம் தொண்டை நாடு என்பது தமிழகத்தின் ஒரு பகுதி.,9
சேக்கிழார்,"அதன் பிற பகுதிகள் சோழ நாடு, பாண்டிய நாடு, சேர நாடு, கொங்கு நாடு என்பன.",12
சேக்கிழார்,இந்த எல்லா நாடுகளும் வடக்கே வேங்கட மலைக்கும் தெற்கே குமரி முனைக்கும் இடைப்பட்ட நிலப் பகுதியில் இருப்பவை.,13
சேக்கிழார்,இது மலை வளம் மிகுதியாக உடையது.,5
சேக்கிழார்,இதன் பழைய தலை நகரம் வஞ்சி என்பது.,6
சேக்கிழார்,"முசிறி, தொண்டி என்பன இதன் துறைமுகப் பட்டினங்கள்.",6
சேக்கிழார்,இச் சேர நாட்டைச் சேரர் என்பவர் ஆண்டு வந்தனர்.,7
சேக்கிழார்,"பாண்டிய நாடு மதுரை, இராமநாதபுரம், திருநெல்வேலி என்னும் மூன்று மாவட்டங்களையும் கொண்ட நிலப் பகுதியே பாண்டிய நாடு.",13
சேக்கிழார்,இதனில் மலைகள் ஒரளவு உண்டு.,4
சேக்கிழார்,"இதனில் வையை, தாமிரபரணி என்னும் ஆறுகள் பாய்கின்றன.",6
சேக்கிழார்,கொற்கை என்பது சிறந்த துறைமுகப் பட்டினம்.,5
சேக்கிழார்,அது பல நூற்றாண்டுகளாக முத்து வியாபாரத்திற்குப் பெயர் பெற்ற இடம் ஆகும்.,9
சேக்கிழார்,மதுரை பாண்டிய நாட்டின் தலை நகரம் ஆகும்.,6
சேக்கிழார்,இந்நாட்டு அரசர் பாண்டியர் எனப்பட்டனர்.,4
சேக்கிழார்,"சோழ நாடு இது தஞ்சாவூர், திருச்சிராப்பள்ளி மாவட்டங்களையும், தென் ஆர்க்காடு மாவட்டத்தில் ஒரு பகுதியையும் கொண்டது.",12
சேக்கிழார்,"இது மிகச் சிறந்த சமவெளி, காவிரியாறு தன் கிளையாறுகளுடன் பாய்ந்து, இந்நாட்டைச் செழிப்பாக்கி வருகிறது.",11
சேக்கிழார்,தமிழ் நாட்டுப் பகுதிகள் எல்லாவற்றிலும் மிக்க வளமுடைய நாடு இஃது ஒன்றே.,9
சேக்கிழார்,"அதனால் இது, சோழ வளநாடு சோறுடைத்து என்று பாராட்டப்பட்ட நாடாகும்.",8
சேக்கிழார்,"இதன் பழைய தலை நகரங்கள் உறையூர், காவிரிப் பூம்பட்டினம் என்பன.",8
