work_title,sentence,sentence_length
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,﻿ஆரியப் பார்ப்பனரின் அளவிறந்த கொட்டங்கள் —பாவலரேறு பெருஞ்சித்திரனார் பதிப்பு⁠ ⁠ முதல் பதிப்பு தி.பி.,12
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,"⁠ அச்சாக்கம்⁠ ⁠ தென்மொழி அச்சகம், சென்னை அறுநூற்று ஒன்று முன்னூற்று இரண்டு.",10
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,"தமிழ் மொழி, இன, நாட்டு உரிமைகளுக்காகப் போர்ப்பறை கொட்டுவன.",7
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,"அவரின் எண்ணமும், எழுத்தும் தமிழனின் அடிமை நிலைக்கெதிராக ஓயாமல் அலைவீசிக் கொண்டிருப்பன.",9
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,"அறிவின் பெருநெருப்பாய், ஆற்றலின் குறைக்காற்றாய் இருந்த ஐயாவின் பேரியக்கம், அவரின் படைப்புகளுள் இன்றும் கனன்று கொண்டிருக்கின்றன.",12
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,எனவே அவரின் எழுத்து உயிர்ப்பாற்றல் கொண்டவை.,5
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,உயிர்ப்பிக்கும் உணர்வு சான்றவை.,3
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,ஐயா அவர்களின் பாக்கள் எப்படி வீரிய ஆற்றல் சான்றவையோ அப்படி அவரின் உரைநடை நேரிய சீற்றம் கொண்டவை.,13
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,எவ்வகை அடக்குமுறைகளுக்கும் அடங்காமல் வீறிட்டுப் போர்க்குரலாய் ஒலிப்பவை.,6
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,"ஆரியக் கொட்டங்கள் குறித்தும், சாதியத் தீமைகள் குறித்தும் ஐயா அவர்களின் உரைவீச்சுகள் எதிரிகளின் குலைகளை நடுங்க வைத்தன.",13
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,﻿ ஆரியப் பார்ப்பனரின் அளவிறந்த கொட்டங்கள் எனும் தனித் தலைப்பிட்ட கட்டுரை தென்மொழியின் ஆசிரியவுரையில் தொடராக வெளிந்தவை.,13
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,தென்மொழி பதிப்பகம் – முன்னெடுத்திருக்கிற இம் முயற்சிக்குத் துணை வேண்டி தென்மொழியில் வேண்டுகை வெளியிடப் பெற்றது.,12
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,சிலர் உடனடியாக முன்தொகை செலுத்தியிருந்தனர்.,4
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,"அவர்களின் பெருந்துணையைக் கொண்டும், பிற வகையில் கடன்பெற்றும் இந் நூல் உருவாக்க முயற்சிகள் மேற்கொள்ளப் பெற்றிருக்கின்றன.",12
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,"திருக்குறள்மணி ஐயா புலவர் இறைக்குருவனார், ஐயா புலவர் கு.",7
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,"அண்டிரன், திருவாளர்கள் தென்மொழி ஈகவரசன், குணத்தொகையன் – ஆகியோர் முழுமையாய் இருந்து திருத்தம் செய்து பெருந்துணை நின்றனர்.",13
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,"அரசி, தமிழ்மொய்ம்பன் – ஆகியோர் காலத்தே கணிப்பொறி அச்சாக்கம் செய்தும், அச்சீடு செய்தும் பணியாற்றினர்.",11
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,அவர்கள் அனைவர்க்கும் தென்மொழி பதிப்பகம் தன் நன்றியை உரித்தாக்கிக் கொள்கிறது.,8
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,தம் சிறு தெய்வ வழுத்துரைகளை வேதங்களாகக் கட்டமைத்துக் கொண்டனர்.,7
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,படிப்படியே திரவிட இனத்தவரை முற்றும் அடிமையாக்கிக் தம் வாழ்வியல் நிலைகளை வளப்படுத்திக்கொண்டனர்.,9
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,அரசரையும் அடிப்படுத்தும் வல்லதிகாரம் பெற்றனர்.,4
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,கெடுத் தொழித்தனவும் எண்ணில.,3
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,கோயில் வழிபாடு ஆரியர்க்குரிய தன்று.,4
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,ஆனால் இன்று கோயில்களெல்லாம் ஆரியக் கூடாரங்களாகக் கருதப்படுகின்றன.,6
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,தமிழ் வழிபாட்டு உரிமைக்குத் தடையாக நின்று வழிமறிப்பவர்கள் அவர்களே.,7
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,பிராமணன் எவனுக்கும் சமற்கிருதம் தாய்மொழியன்று.,4
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,இஃதொன்றே ஆரியப் பார்ப்பனரின் மனப்பான்மையை வெளிப்படுத்தப் போதுமானதாகும்.,6
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,ஆரியத்தளையை அறுத்தெறிந்து விடுதலை பெறுவதே தமிழினம் தன்னை மேம்படுத்திக் கொள்ளும் முயற்சியில் மேற்கொள்ள வேண்டிய தலையாய பணியாகும்.,13
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,அவர்கள் திருந்திவிட்டனர் எனக் கருதுவது ஏமாறித்தனமே.,5
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,திருக்குறளை மாணவர்கள் படிக்கத் தேவையில்லை என்று அறிவுரை,6
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,"கூறிக் கொண்டும், இன்னும் தம் வருணாசிரம வரையறைகளைக் கடைபிடித்துக் கொண்டும், ஆர்.எசு.எசு.",11
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,இயக்கத்தினைப் பாராட்டி வாழ்த்திக் கொண்டும் சங்கர ஆரியர்கள் இன்னும் வளமாகவும் நலமாகவும் வாழ்ந்துகொண்டே இருக்கின்றார்கள்.,11
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,தமிழின விடுதலையிலும் அதன் மேம்பாட்டு முயற்சிகளிலும் ஈடுபடும் மறவர்கட்கு இந் நூல் போர்வாளாகப் பயன்படுவதொன்றாம்.,11
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,தமிழ்மக்கள் இதனைப் பயன்படுத்திக் கொள்வார்களென நம்புகின்றோம்.,5
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,— புலவர் இறைக்குருவனார் உள்ளுறை எண்.,5
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,பக்க எண் தலைப்பு ஒன்று.,4
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,ஆரியப் பார்ப்பனரின் அளவிறந்த கொட்டங்கள் பதினொன்று  இரண்டு.,6
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,ஆரியர் கூத்து அறுபத்து மூன்று மூன்று.,5
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,பார்ப்பனரின் எழுச்சி அறுபத்தேழு நான்கு.,4
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,ஆரியக் குறும்பு எழுபத்தைந்து ஐந்து.,4
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,இராசாசி ஓர் அரசியல் ஏரி எண்பது ஆறு.,6
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,"வடவரும் பார்ப்பனரும், நாமும் எண்பத்தொன்பது ஏழு.",5
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,எச்சரிக்கை பகைவர் இருவர் தொன்னூற்றாறு எட்டு.,5
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,வாரியும் பூரியும் நூற்றி நான்கு ஒன்பது.,5
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,பிராமணியத்திற்கு இறுதி எச்சரிக்கை நூற்றி பதினொன்று  பத்து.,6
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,கோயில்களில் உள்ள ஆரிய இடைத் தரகர்களை அகற்றுக !,6
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,பார்ப்பானையே குறைகூறிப் பயனில்லை !,3
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,மத உரிமைகளும் அரசின் கடமைகளும் நூற்றி முப்பது பதிமூன்று .,7
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,ஆரியப் பார்ப்பானின் மொழிக் குறும்பு நூற்றி முப்பத்தெட்டு பதினான்கு .,7
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,மொழி வளர்ச்சியில் அவர்களுக்குள்ள அக்கறையும் நம்மவர்களுக்குள்ள அக்கறைக் குறைவும் நூற்றி நாற்பத்து மூன்று பதினைந்து .,11
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,வேத மத இந்தியா நூற்றி ஐம்பது பதினாறு .,6
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,தீபம் பார்த்தசாதிகள் தெளிவடையட்டும் நூற்றி அறுபத்தாறு பதினேழு .,6
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,தேசியம் பேசும் திருடர்கள் நூற்றி எழுபத்தாறு பதினெட்டு .,6
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,மதமென்னும் பெயரால் நடைபெறும் பொதுத் தொல்லைகளை அரசு தடுத்து நிறுத்துதல் வேண்டும்.,9
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,பார்ப்பன எழுச்சியும் திராவிடர் கழகத்தின் முனைப்பும் விரும்புகின்ற விளைவுகளும் நூற்றி எண்பத்தேழு இருபது.,10
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,இந்து மதத்தினின்று தமிழர்கள் ஒட்டுமொத்தமாக வெளியே வேண்டும் நூற்றி தொன்னூற்றிரண்டு இருபத்தொன்று.,9
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,மதம் பெரிதில்லை மக்கள் நலமே பெரிது !,5
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,யார் பிரிவினைக்காரர்கள் இருநூற்று ஐந்து இருபத்து மூன்று.,6
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,மூடநம்பிக்கைக்கு ஆதரவு தரும் எந்தச் செயலும் பார்ப்பனியத்தை வளர்ப்பதே !,7
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,சேலம் உருக்காலைக் குடியிருப்பில் பார்ப்பனரின் கொட்டம்.,5
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,கன்னியாகுமரி மாவட்டத்தில் ஐநூறு  இந்து கோயில்களை பிர்லா கட்டித் தருகிறார்.,8
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,காஞ்சி காமகோடி பீடத் தலைவர் ஒரு குமுகாயக் குற்றவாளி.,7
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,ஆன்மீகம் என்பது என்ன?,3
