work_title,sentence,sentence_length
உலகம்_பிறந்த_கதை,உலகம் அணுமயம் மூன்று.,3
உலகம்_பிறந்த_கதை,அணுவின் அட்டகாசம் நான்கு.,3
உலகம்_பிறந்த_கதை,சிவசக்தி தாண்டவம் ஐந்து.,3
உலகம்_பிறந்த_கதை,சூரியனின் பிறப்பு ஆறு.,3
உலகம்_பிறந்த_கதை,இயற்கையின் ரசவாதம் ஏழு.,3
உலகம்_பிறந்த_கதை,சூரிய மண்டலத்தில் சித்து விளையாட்டு எட்டு.,5
உலகம்_பிறந்த_கதை,பூமியின் வயது என்ன?,3
உலகம்_பிறந்த_கதை,பூமி தோன்றியது எப்படி?,3
உலகம்_பிறந்த_கதை,சந்திரன் பிறந்தான் பதினொன்று .,3
உலகம்_பிறந்த_கதை,இருள் விலகியது பனிரண்டு .,3
உலகம்_பிறந்த_கதை,மலைகள் எழுப்பின பதிமூன்று .,3
உலகம்_பிறந்த_கதை,கல் சொல்லும் கதை பதினான்கு .,4
உலகம்_பிறந்த_கதை,கால கோபுரம் பதினைந்து .,3
உலகம்_பிறந்த_கதை,சிறு உயிர் இனங்களின் பவனி பதினாறு .,5
உலகம்_பிறந்த_கதை,அசுர ஜீவன்களின் அட்டகாசம் பதினேழு .,4
உலகம்_பிறந்த_கதை,நமக்கு முன்பு பதினெட்டு .,3
உலகம்_பிறந்த_கதை,மனித குமாரன் வருகை பத்தொன்பது .,4
உலகம்_பிறந்த_கதை,தனது முன்னவரைத் தேடும் மனிதன் இருபது.,5
உலகம்_பிறந்த_கதை,ஒன்றே குலம் இருபத்தொன்று.,3
உலகம்_பிறந்த_கதை,கருவட்டம் அல்லது செல் இருபத்திரண்டு.,4
உலகம்_பிறந்த_கதை,ஒன்றே பல ஆகும் விந்தை !,4
உலகம்_பிறந்த_கதை,ஐம் பெரும் பூதக்கட்டு இருபத்து நான்கு.,5
உலகம்_பிறந்த_கதை,தாவரங்கள் சமையல் செய்யும் விதம் இருபத்தைந்து.,5
உலகம்_பிறந்த_கதை,உயிர் இயங்குவது எப்படி?,3
உலகம்_பிறந்த_கதை,உயிர்ப் பாசியின் தோற்றம் இருபத்தேழு.,4
உலகம்_பிறந்த_கதை,ஆதிபகவன் முதற்றே உலகு இருபத்தெட்டு.,4
உலகம்_பிறந்த_கதை,இது வரை என்ன கண்டோம்?,4
உலகம்_பிறந்த_கதை,﻿முன்னுரை நான் ஒரு பத்திரிகைக்காரன் நிருபர்.,5
உலகம்_பிறந்த_கதை,நிருபர்களின் தொழில் என்ன?,3
உலகம்_பிறந்த_கதை,தாம் கண்டவற்றை அறிவித்தல் அறிந்தவற்றைச் சுவையுடன் அறிவித்தல் விளங்கும் வகையில் தெரிவித்தல்.,9
உலகம்_பிறந்த_கதை,நிருபர் என்ற முறையிலேயே இப்புத்தகத்தை எழுதியுள்ளேன்.,5
உலகம்_பிறந்த_கதை,எல்லாம் அறிந்தவன் என்ற எண்ணத்தினால் அன்று.,5
உலகம்_பிறந்த_கதை,சிலர் இம்முயற்சியில் ஈடுபட்டுள்ளனர்.,3
உலகம்_பிறந்த_கதை,"அவை பெரும்பாலும் பள்ளிகளிலும், கல்லூரிகளிலுமே இடம் பெற்றுள்ளன.",6
உலகம்_பிறந்த_கதை,அம்மாணவர்களின் பாடத்திட்ட வரம்புக்கு ஏற்றவாறு அப்புத்தகங்கள் தயாரிக்கப்பட்டு உள்ளன.,7
உலகம்_பிறந்த_கதை,நமது நாட்டிலே உள்ள மக்களில் பெரும்பாலோர் கல்லூரிகளில் பயிலும் வாய்ப்புப் பெறாதோரே.,9
உலகம்_பிறந்த_கதை,விஞ்ஞானம் நிகழ்த்தியுள்ள புதுமைகளினை அறியத் துடிக்கும் உள்ளத்தினர் இவர்.,7
உலகம்_பிறந்த_கதை,இவர் தமக்கு நூல் எழுதுவார் இலர்.,5
உலகம்_பிறந்த_கதை,புதிய கருத்துக்களைத் தமிழ் மொழியில் கொண்டு வரல் வேண்டும்.,7
உலகம்_பிறந்த_கதை,ஆனால் அவை இந்தியப் பண்புடன் தொடர்பு கொள்ளாமல் விலகி நிற்றல் கூடாது.,9
உலகம்_பிறந்த_கதை,இத்தகைய உள்ளுணர்வுடன் இப்புத்தகத்தை எழுதியுள்ளேன்.,4
உலகம்_பிறந்த_கதை,எனது முயற்சியிலே எவ்வளவு தூரம் வெற்றி யடைந்துள்ளேன் என்பதை நான் அறியேன்.,9
உலகம்_பிறந்த_கதை,இருபத்தைந்து ஆண்டுகள் முன்பு கட்டுரைகளாகப் பத்திரிகையிலே வெளிவந்த விஷயம் இது.,8
உலகம்_பிறந்த_கதை,முதன் முதலாகத் தமிழ் மொழியிலே இதுபற்றி வெளிவந்த நால் இதுவே.,8
உலகம்_பிறந்த_கதை,அப்போது அன்பர் பலர் பாராட்டினர் உற்சாக மூட்டினர்.,6
உலகம்_பிறந்த_கதை,நீண்டகால உறக்கத்தின் பின் இந்நூலின் மறு பதிப்பு இப்போது வெளிவருகிறது.,8
உலகம்_பிறந்த_கதை,இந்நூலை வெளியிட என் மனைவி திருமதி ஜலஜா சக்திதாசன் அவர்களும் பெரிதும் உதவினார்.,10
உலகம்_பிறந்த_கதை,இதனை வெளியிட முன்வந்த பதிப்பகத்தாருக்கு எனது நன்றி.,6
உலகம்_பிறந்த_கதை,சக்திதாசன் சுப்பிரமணியன் ஒன்று ↑ இந்நூல்வெளிவருமுன் இவர் அமரராகி விட்டார்.,8
உலகம்_பிறந்த_கதை,அகன்று பரந்து கிடக்கின்றது வானம்.,4
உலகம்_பிறந்த_கதை,தக தக என்று ஒளி வீசுகிறது ஞாயிறு.,6
உலகம்_பிறந்த_கதை,பால் போல் நிலவு பொழிகின்றது தண் மதி.,6
உலகம்_பிறந்த_கதை,வைரக் கற்களை அள்ளித் தெளித்தாற் போல மின்னுகின்றன நட்சத்திரங்கள்.,7
உலகம்_பிறந்த_கதை,நில மடந்தைக்கு நீலச் சிற்றாடை உடுத்தியது போலக் கண்ணைக் கவர்கிறது கடல் !,9
உலகம்_பிறந்த_கதை,இவற்றின் ரகசியம் என்ன?,3
உலகம்_பிறந்த_கதை,வானளாவத் தோன்றுகின்றன மலைச் சிகரங்கள்.,4
உலகம்_பிறந்த_கதை,மரகதம் விரித்தது போன்ற புல் தரைகள் ஆகா !,6
உலகம்_பிறந்த_கதை,என்ன அழகு என்ன அழகு !,4
உலகம்_பிறந்த_கதை,கொடிகள் மரங்கள் எத்தனை நிறம்?,4
உலகம்_பிறந்த_கதை,இந்த நிறங்கள் இவற்றிற்கு எப்படி ஏற்பட்டன?,5
உலகம்_பிறந்த_கதை,﻿ ஆறடி உயரத்திலே அடங்கியிருக்கிறான் மனிதன் !,5
உலகம்_பிறந்த_கதை,இவனுள்ளே யிருக்கிற விந்தைதான் என்ன?,4
உலகம்_பிறந்த_கதை,இவன் எப்படித் தோன்றினான்?,3
உலகம்_பிறந்த_கதை,பிள்ளைப் பிராயத்திலே இந்த உலகின் வனப்பிலே மனம் பறிகொடுத்தேன் நான்.,8
உலகம்_பிறந்த_கதை,இதன் விந்தை பல கண்டேன் வியந்தேன்.,5
உலகம்_பிறந்த_கதை,எல்லாம் புதிராகத் தோன்றின.,3
உலகம்_பிறந்த_கதை,ஒன் றுமே விளங்கவில்லை.,3
உலகம்_பிறந்த_கதை,வியப்பினாலே கேள்விகள் பல கேட்டேன்.,4
உலகம்_பிறந்த_கதை,சிறு வயதிலே ஒரு கிராமத்திலே வாழ்க் தேன் கான்.,7
உலகம்_பிறந்த_கதை,அந்தக் கிராமத்திலே ஒரு பள்ளிக்கட்டம்.,4
உலகம்_பிறந்த_கதை,அங்குச் சென்று படித்தேன்.,3
உலகம்_பிறந்த_கதை,என் ஆசிரியருக்குக் காது கேளாது செவிடு.,5
உலகம்_பிறந்த_கதை,ஆதலினாலே அந்தப் பள்ளிக் கூடத்துக்கும் செவிட்டு வாத்தியார் பள்ளிக் கூடம் என்ற பெயர் ஏற்பட்டது.,11
உலகம்_பிறந்த_கதை,அவர் சொல்லிக் கொடுத்தது எதுவும் எனக்கு விளங்கவில்லை.,6
உலகம்_பிறந்த_கதை,நான் கேட்ட கேள்வி எதுவும் அவர் செவியில் ஏறவில்லை.,7
