work_title,sentence,sentence_length
திருக்குறள்_செய்திகள்,திருக்குறள் செய்திகள் பேரா.,3
திருக்குறள்_செய்திகள்,﻿திருக்குறள் செய்திகள் பேராசிரியர் டாக்டர் ரா.,5
திருக்குறள்_செய்திகள்,"சீனிவாசன் எம்.ஏ.எம்.லிட்., பிஎச்.டி.",7
திருக்குறள்_செய்திகள்,அஞ்சல் செலவு பதிப்பகம் ஏற்கும் தேவைக்கு எழுதுக.,6
திருக்குறள்_செய்திகள்,சங்கப்பலகை மையங்களிலும் இந்நூல் நேரில் கிடைக்கும்.,5
திருக்குறள்_செய்திகள்,"சுப்பிரமணியன், எம்.ஏ.",3
திருக்குறள்_செய்திகள்,அரிய தொண்டு என்று கூறிப் பாராட்டினேன்.,5
திருக்குறள்_செய்திகள்,காட்சிக்கெளியர் இன் சொல்லினர் பழகற்கினியர் பண்பாளர் நான் மதிக்கும் பேராசிரியருள் ஒருவராய் அவரைக் கருதிவருகிறேன்.,11
திருக்குறள்_செய்திகள்,மொழியியல் பத்துப் பதிப்புகளைக் கண்டது அவர் எழுதிய உரைநடை நூல்களுள் அணியும் மணியும் இன்றும் பாராட்டப்படுகிறது.,12
திருக்குறள்_செய்திகள்,"அக்கட்டுரை நூலும், சொல்லின் செல்வன் என்னும் நாடக நூலும், வழுக்கு நிலம்.",9
திருக்குறள்_செய்திகள்,"நனவோட்டங்கள் என்னும் நாவல்களும் பல்கலைக் கழகப் பாடநூல்களாக அவ்வப்பொழுது வைக்கப்பட்டு வருகின்றன எழுத்து, அவர் தொடர் பணியாய் இருந்துவருகிறது.",14
திருக்குறள்_செய்திகள்,இதற்கு வரவேற்பு உண்டு என்று வாழ்த்தினேன பாராட்டினேன்.,6
திருக்குறள்_செய்திகள்,நூல் வந்ததும் பேராவலொடு புரட்டிப் பார்த்தேன் ஒரு காவியத்தைப் படிப்பது போன்ற உணர்வு ஏற்பட்டது.,11
திருக்குறள்_செய்திகள்,திருக்குறள் பாக்களை அச்சிடாமல் ஆற்றொழுக்காய்த் தொடர்ந்து செய்திகளைமட்டும் தந்திருப்பது புதுமுயற்சியாகும் டாக்டர் மு.வ.,11
திருக்குறள்_செய்திகள்,தெளிவுரை தந்தார் இவர் அதனைத் தொடர்ந்து செய்திகளைமட்டும் தந்திருக்கிறார்.,7
திருக்குறள்_செய்திகள்,"ஸ்ரீபால், இ.கா.ப.",4
திருக்குறள்_செய்திகள்,அவர்கள் தமிழ்நாட்டுக் காவல்துறைத் தலைமை இயக்குநர்.,5
திருக்குறள்_செய்திகள்,"அம் மனமே அன்பு, அருள், அகிம்சை, அழுக்காறாமை, அவாவறுத்தல் ஆகிய பண்பு நலன்களாகும்.",10
திருக்குறள்_செய்திகள்,தான் கண்ட அறவழிகளைப் பிறரும் பின்பற்ற வேண்டும் என்று விரும்பினான் மனிதன்.,9
