work_title,sentence,sentence_length
பாதுகாப்புக்_கல்வி,பாதுகாப்புக் கல்வி டாக்டர்.,3
பாதுகாப்புக்_கல்வி,பாதுகாப்புக்கல்வி தேசிய விருது பெற்ற பேராசிரியர் பல்கலைப் பேரறிஞர் டாக்டர்.,8
பாதுகாப்புக்_கல்வி,"நகர், சென்னை அறுநூறு ஆயிரத்து பதினேழு .",5
பாதுகாப்புக்_கல்வி,⁠தொலைபேசி நான்கு மில்லியன் முன்னூற்று முப்பத்திரண்டு ஆயிரத்து அறுநூற்று தொன்னூற்றாறு அச்சிட்டோர் கிரேஸ் பிரிண்டர்ஸ் ⁠சென்னை அறுநூறு  பதினேழு .,14
பாதுகாப்புக்_கல்வி,﻿ பதிப்புரை இன்றைய உலகம் மிக அவசரத்தில் வாழும் உலகமாகும்.,8
பாதுகாப்புக்_கல்வி,"தன் அலுவலகம் செல்லவோ, தான் பயிலும் இடத்திற்குச் செல்லவோ, மிக துரிதப்பட்டு செல்லும் காலமாக இருக்கிறது.",12
பாதுகாப்புக்_கல்வி,நவராஜ் செல்லையா அளிக்கும் பாதுகாப்பு கல்வி என்ற இந்த நூல் அமைந்திருக்கிறது.,9
பாதுகாப்புக்_கல்வி,"உடற்கல்வி திட்டத்தின் மூன்று பகுதிகளில், சுகாதாரப் பகுதியில் மிக முக்கியமானது பாதுகாப்புக் கல்வியாகும்.",10
பாதுகாப்புக்_கல்வி,"வீட்டில் பாதுகாப்பு, பள்ளியில் பாதுகாப்பு, சாலையில் பாதுகாப்பு என்பது எல்லோருக்கும் மிக அவசியம்.",10
பாதுகாப்புக்_கல்வி,"அவ்வாறு கூறுவதை, இனிய எளிய தமிழில், யாவரும் விரும்பி படிக்கத்தக்க விதமாய் எழுதி இருக்கிறார்.",11
பாதுகாப்புக்_கல்வி,"இத்தேவையை நிறைவாக்க இன்னும் பல நூல்களை தமிழகத்திற்கு அளிக்க, டாக்டர்.",8
பாதுகாப்புக்_கல்வி,நவராஜ் செல்லையா அவர்களை கேட்டுக் கொள்கிறோம்.,5
பாதுகாப்புக்_கல்வி,ஆடம் சாக்ரட்டீஸ் பதிப்பாளர் முன்னுரை உலகில் வாழும் ஒவ்வொருவரும் இன்பமாக வாழ வேண்டும் என்றே விரும்புகின்றார்கள்.,12
பாதுகாப்புக்_கல்வி,"அதிலும், துன்பம் கலவாத இன்பமே வேண்டும் என்று திரும்பத் திரும்ப அதே நினைவுடன் தான் வாழ்கின்றார்கள்.",12
பாதுகாப்புக்_கல்வி,"சில சமயங்களில் வருத்தப்படுவதும், சிந்தனை இருந்தால் திருத்திக் கொள்வதுமாகவே தான் வாழ்ந்து கொண்டிருக்கிறோம்.",10
பாதுகாப்புக்_கல்வி,அதாவது வேறுவழியில்லை என்பதால்.,3
பாதுகாப்புக்_கல்வி,"அதனால், எதுவும் நம்மை இம்சைப் படுத்துவதில்லை மாறாக நம்மை இதப்படுத்துகிறது.",8
பாதுகாப்புக்_கல்வி,இனிய வாழ்வுக்குப் பதப்படுத்துகிறது.,3
பாதுகாப்புக்_கல்வி,அனுதினம் நம்மை சுகப்படுத்துகிறது.,3
பாதுகாப்புக்_கல்வி,இத்தகைய அதிய வழிகளை இளைஞர்கள் கற்றுக் கொண்டு வாழவேண்டும் என்பது கல்வியாளர்களின் விருப்பமாகும்.,10
பாதுகாப்புக்_கல்வி,"மாணவ மணிகள் மனதிலே, இந்தக் கொள்கைகள் பதிய வேண்டும் என்பது அவர்களின் மாறத வேட்கையுமாகும்.",11
பாதுகாப்புக்_கல்வி,"அந்த வேட்கையின் மறு பதிப்பே, பாதுகாப்புக்கல்வி எனும் பெயரில் பாடத்திட்டமாக உருவாகி இருக்கிறது.",10
பாதுகாப்புக்_கல்வி,"மாணவர்கள் தங்கள் மனதில் எளிதாகப் பதியவைத்துக் கொள்ளவும், தேர்வுக்கு நினைவுபடுத்திக் கொள்ளவும் போன்ற வகையில் இந்நூல் எழுதப்பெற்றிருக்கிறது.",13
பாதுகாப்புக்_கல்வி,ஆசிரியர் பெருமக்களுக்கும் இந்நூல் அரிய வழிகாட்டியாக இருக்கும் என்றும் நம்புகிறோம்.,8
பாதுகாப்புக்_கல்வி,"சிறப்புற வெளிவரத் துணைபுரிந்த திரு சாக்ரட்டீஸ் அவர்களுக்கு, அன்பு கலந்த நன்றி.",9
பாதுகாப்புக்_கல்வி,"எனது விளையாட்டுத்துறை நூல்கள் அனைத்தையும் வாங்கி, ஆதரித்து, உதவுகின்ற அனைவருக்கும் என் அன்பு கலந்த நன்றியும் வணக்கமும்.",13
பாதுகாப்புக்_கல்வி,ஞானமலர் இல்லம் தி.நகர்.,4
பாதுகாப்புக்_கல்வி,சென்னை பதினேழு  டாக்டர் எஸ்.,4
பாதுகாப்புக்_கல்வி,நவராஜ் செல்லையா உள்ளே வாழ்வும் வழியும்,5
பாதுகாப்புக்_கல்வி,விபத்தும் விளக்கமும் மூன்று.,3
பாதுகாப்புக்_கல்வி,பாதுகாப்புக் கல்வியும் பயன்களும் நான்கு.,4
பாதுகாப்புக்_கல்வி,சாலையில் பாதுகாப்பு ஐந்து.,3
பாதுகாப்புக்_கல்வி,இல்லத்தில் பாதுகாப்பு ஆறு.,3
பாதுகாப்புக்_கல்வி,ஆடுகளத்தில் பாதுகாப்பு ஏழு.,3
பாதுகாப்புக்_கல்வி,உள்ளாடும் அரங்கத்தில் பாதுகாப்பு எட்டு.,4
பாதுகாப்புக்_கல்வி,நீச்சல் குளத்தில் பாதுகாப்பு ஒன்பது.,4
பாதுகாப்புக்_கல்வி,நலம் தரும் பாதுகாப்புக் கல்வி ஒன்று.,5
பாதுகாப்புக்_கல்வி,வாழ்வும் வழியும் உயிரின் பெருமை வாழப் பிறந்திருக்கிறோம் நாம் !,7
பாதுகாப்புக்_கல்வி,"ஆம் நீர்க் கடலின் அலைக் கூட்டங்களின் ஓட்டம் போல, நமது வாழ்க்கை நிகழ்ச்சிகள் அன்றாடம் ஓடிக் கொண்டுதான் இருக்கின்றன.",14
பாதுகாப்புக்_கல்வி,"பிறப்புக்கும் இறப்புக்கும் இடையிலே பேரானந்தமாக விளங்கும் காலம்தான், நமது வாழ்க்கை.",8
பாதுகாப்புக்_கல்வி,"அந்த காலத்திற்குள்ளே எத்தனையோ சிறப்புக்கள், சிக்கல்கள் சேர்ந்திருக்கின்றன, தேர்ந்திருக்கின்றன.",7
