work_title,sentence,sentence_length
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,அதுவே நூலாக வெளியிடப்பட்டதும் வாசகர்களிடையேயும் ஆய்வாளரிடையேயும் நல்ல வரவேற்பைப் பெற்றது.,8
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,தொடர்ந்து காலந்தோறும் பெண்மை என்ற ஒரு நூலையும் எழுதினேன்.,7
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,இப்போது இது மூன்றாவது நூல்.,4
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,பெண்ணின் சமுதாய வரலாறு கணிக்கப்பட்டிருக்கவில்லை என்றால் தவறில்லை.,6
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,காலம் காலமாக மனிதகுலம் என்றால் அது ஆணைச் சார்ந்ததாகவே கணிக்கப்பட்டிருக்கிறது.,8
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,"நீதி நூல்களும், வாழ்வியல் கோட்பாடுகளும் ஒரு பெண்ணை மனிதப்பிறவி என்று ஒப்பி அவளையும் முன்னிறுத்தியே சொல்லப்பட்டிருக்கவில்லை.",12
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,ஆண் பெண் இருவருமே இவ்வுலகுக்கு இன்றியமை யாதவர்கள்.,6
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,ஒருவரின்றி மற்றவர் தனித்து வாழ முடியாது.,5
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,அவ்வாறிருக்கையில் பெண்ணுக்கு மனிதப்பிறவிக்குரிய மதிப்புக்களே ஏன் அளிக்கப்பட்டிருக்கவில்லை?,6
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,"மண், பொன் போல், பெண்ணும் அவனுக்கு ஒரு சாதனம்.",7
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,உழைப்புச் சாதனம் வாரிசு தரும் சாதனம்.,5
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,எட்டும் அறிவினில் ஆற்றலில் ஆணுக்கிங்கே இளைத்தவர்களில்லை என்று நிரூபணமான பின்னரும் அவள் வெறும் சாதனமாகவே கழிக்கப்படுவதற்கும்.,12
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,அழிக்கப்படுவதற்கும் உரியவளாகவே இருக்கிறாளே?,3
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,"இது ஒரு தருமமாகவே பாலிக்கப்பட கதைகள், புராணங்கள், காவியங்கள் எல்லாம், எல்லாம்... ஏன்?",10
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,இந்தக் கேள்விகளே நான் காலந்தோறும் பெண் என்ற நூலுக்கான கட்டுரைகளை எழுதுவதற்குக் காரணமாக இருந்தன.,11
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,தொடர்ந்து இன்னும் ﻿ சிறிது கூர்மையாக ஆழ்ந்த உணர்வுடன் சில கட்டுரைகளை மேலும் எழுதத் துணிந்திருக்கிறேன்.,12
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,மனிதகுலம் தாயில்லாமல் தோன்றுவதற்கில்லை.,3
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,உண்மையில் அவளே முழுமுதற் சக்தி.,4
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,அவளின் அம்சமே அவன் என்றாலும் தவறில்லை.,5
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,"அப்படிக் கூறுகையில், எங்கே மத்திய ஆப்பிரிக்கப் பழங்குடிப் பெண்ணிடமே அந்தத் தொன்மையைக் குறிப்பாக்கலாம் என்று ஊகிக்கப்படுகிறது.",12
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,"செல் என்ற உயிர்த்திசு, கரு உற்பத்திக்குப் பெண்ணிடம் இருந்தே பெறப்படுகிறது.",8
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,ஆணின் விந்தணுவில் செல் என்ற உயிர்த்திசு கிடையாது.,6
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,"சினைமுட்டை, இரண்டாக நாலாகப் பிரிந்து பிரிந்து கருவாகும் விந்தை கூறப்படுகிறது.",8
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,பெண்ணின் பூப்பு மாதாந்திரக் குருதி வெளிப்பாடு எல்லாமே விந்தை நிகழ்வுகளாகக் கருதப்படும்படி ஆய்வுத் தகவல்கள் வெளியாகின்றன.,12
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,"கருப்பையை, எந்த நச்சும், அசுத்தமும் தாக்கியிராத தூய்மை நிலைக்குக் கொண்டு வருவதற்கே, குருதி வெளிப்பாடு நிகழ்கிறது.",12
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,அதில் நச்சுக் கொல்லிக்குரிய தன்மை இருக்கிறதென்று அண்மையில் வெளிவந்த ஆய்வுத் தகவல் தெரிவிக்கிறது.,10
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,இத்தகைய அற்புதத் தாய்க்குரிய ஆற்றல்களை இயற்கை அவளுக்கு அளித்திருக்கிறது.,7
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,அவள் முதல்வியாகவே திகழ்ந்தாள் போற்றப்பட்டாள்.,4
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,"ஆனால் காலப்போக்கில் வாழ்வுச் சாதனங்கள் பெருகிய பிறகு, ஆண் அவளை முற்றிலுமாக அடிமை கொண்டான்.",11
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,"தாய் முதல்வி அல்ல தந்தைதான்... என்ற கருத்தை நிலை நிறுத்த எத்தனை கதைகள், புராணங்கள் காவியங்கள் !",12
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,"அல்லது நெற்றிக்கண் சுடரிலிருந்து பிள்ளைகள் பிறந்தனர் என்றெல்லாம் பல கற்பனைகளில் ஆண் கடவுள்கள், மேலாண்மையை நிலை நாட்டி வருகின்றனர்.",14
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,"இது ஏதோ, மனங்கவர் கற்பனைகள், சுவாரசியங்கள் என்று முடிந்து விடவில்லை.",8
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,அத்தகைய ஒரு தூண்டுதலின் விளைவே இந்நூல்.,5
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,"யாரையும் குறை கூறவோ, அல்லது வருத்தவோ இந்த எழுத்துக்களை நான் நிச்சயமாக உருவாக்கவில்லை.",10
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,பெண் என்ற நோக்கில் கனிந்துவரும் ஆதங்கத்தின் உந்துதலில் இப்படியும் பார்க்க வேண்டும் என்று இந்நூலை உருவாக்கியுள்ளேன்.,12
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,"இந்த நூலைக் கொண்டுவரும் தாகம் திரு அகிலன் கண்ணன், திருமதி மீனா இருவருக்கும் என் நெஞ்சார்ந்த நன்றி.",13
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,வாசகர் இதை எப்போதும் போல் ஏற்று ஆதரிக்க வேண்டுகிறேன்.,7
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,ராஜம் கிருஷ்ணன் உள்ளே...,3
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,துணை இழப்பும் துறவறமும் அறுபத்து நான்கு எட்டு.,6
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,நாயகரைப் பாடிப்பரவிய நாயகியர் எண்பத்தொன்பது பத்து.,5
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,இலட்சிய இந்தியப் பெண்மை நூற்றி பதிமூன்று  பதினொன்று .,6
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,மனிதத்துவ சமுதாயம் நூற்றி எண்பத்தாறு ⁠ பயன்பட்ட நூல்கள் நூற்றி தொன்னூற்று மூன்று ஒன்று.,11
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,ஆதித் தாய் இருபதாம் நூற்றாண்டின் இறுதி ஆண்டுகள் ஓடிக் கொண்டிருக்கின்றன.,8
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,"மனித சமுதாயம் எப்போது, சமுதாயம் என்ற நாகரிகம் காண மலர்ந்தது?",8
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,ஆணும் பெண்ணும் எப்படி வாழ்ந்தார்கள்?,4
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,இறைவன் முதலில் ஆணையே படைத்தான்.,4
