work_title,sentence,sentence_length
அடிமனம்,﻿அமுதம்—உரிமை பதிவு முதற் பதிப்பு ஏப்ரல் விலை ரூ..,7
அடிமனம்,"இருபத்தைந்து நேஷனல் ஆர்ட் பிரஸ், தேனாம்பேட்டை, சென்னை பதினெட்டு .",7
அடிமனம்,முன்னுரை மனத்தைப் பற்றி விளக்குவதற்கு நான் கடைப் பிடித்திருக்கிற வழியைப்பற்றி ஒரு வார்த்தை சொல்ல வேண்டும்.,12
அடிமனம்,மனம் மிக சூட்சுமமானது.,3
அடிமனம்,அதை அறிந்து கொள்வது அவ்வளவு எளிதல்ல.,5
அடிமனம்,எல்லோரும் இதைக் கவனித்திருக்கலாம்.,3
அடிமனம்,இந்த அலை வட்டம் கொஞ்சம் கொஞ்சமாகப் பெரிதாகிக் கொண்டே போகும்.,8
அடிமனம்,இந்த வட்டத்தைப் போலவே மனத்தைப் பற்றிய அறிவும் சிறிது சிறிதாக விரியும் முறையிலே நான் எழுத முயன்றிருக்கிறேன்.,13
அடிமனம்,கூறியவற்றையே சில சமயங்களில் திருப்பி நினைவுக்குக் கொண்டு வரும் வகையிலே அவற்றை நன்கு பதிய வைக்கவும் ஆசைப் பட்டிருக்கிறேன்.,14
அடிமனம்,முன்பு நான் எழுதியுள்ள மனவியல் நூல்களிலெல்லாம் இந்த உத்தியைக் காணலாம்.,8
அடிமனம்,அது ஓரளவிற்கு எனது நோக்கத்திற்கு வெற்றி யளித்திருக்கிறதென்று கண்டேன்.,7
அடிமனம்,ஆகவே அதை இந்நூலிலும் பின்பற்றியிருக்கிறேன்.,4
அடிமனம்,"இதை மட்டும் கூறிக்கொண்டு, மேலும் தடை செய்யாமல், உங்களை நூலைப் படிக்குமாறு விட்டு விடுகிறேன்.",11
அடிமனம்,சாதாரண மனிதன் ஒருவன் இப்படிக் கூறியிருந்தால் அதைப்பற்றி நாம் அதிகம் கவலைப்பட வேண்டியதில்லை.,10
அடிமனம்,நாம் அவனையே ஒரு பயித்தியம் என்று கூறிவிட்டுச் சும்மா இருந்து விடலாம்.,9
அடிமனம்,ஆனால் இந்தச் செய்தியைக் கூறியவன் அப்படிப் பட்ட சாதாரண ஆள் அல்ல.,9
