work_title,sentence,sentence_length
பழைய_கணக்கு,வாக்களித்த நூறு ரூபாய் எது திரட்டு?,5
பழைய_கணக்கு,கல்கி ஏன் ஜிப்பாவுக்கு மாறினார்?,4
பழைய_கணக்கு,பாலிட்டி தெரியுமா உனக்கு?,3
பழைய_கணக்கு,பெரியார் எனக்கு வழிகாட்டி லாக் அப்பில் மசாலா தோசை முதுகில் விழுந்த அடி !,10
பழைய_கணக்கு,காலணாப் பத்திரிகை பிரம்மசாரி காமராஜ் சின்ன அண்ணாமலை மார்க்கெட் பி.,8
பழைய_கணக்கு,கோயங்காவுடன் குறுக்கே வந்த பூனை எம்.,5
பழைய_கணக்கு,வெள்ளி மணி பிறந்த கதை நீங்க என்ன வட ஆற்காடா?,8
பழைய_கணக்கு,கடன் வாங்கி கடன் தீர்த்தேன் !,4
பழைய_கணக்கு,தூக்கத்திலிருந்து தூக்கம் வரை பெரியாரை சாப்பிட வைத்தவர் ஏ.,7
பழைய_கணக்கு,சொன்ன வார்த்தைகள் நீறு பூத்த நட்பு வாஷிங்டனில் திருமணம் எப்படி நடத்தினேன்?,9
பழைய_கணக்கு,இந்தப் பழைய கணக்கும் ஒரு வகை சுயசரிதைதான் !,6
பழைய_கணக்கு,சாவியின் கிராமத்திற்கு ஒரு குறத்தி வருகிறாள்.,5
பழைய_கணக்கு,அவளிடம் பச்சை குத்திக் கொள்ள வேண்டும் என்று.,6
பழைய_கணக்கு,அவருக்கு ஓர் ஆசை எழுகிறது.,4
பழைய_கணக்கு,அரையணா கொடுத்து பச்சை குத்திக் கொள்கிறார் சிறுவனாய் இருந்த சாவி.,8
பழைய_கணக்கு,"சாப்பிட்டுவிட்டு உட்கார்ந்திருக்கும் ஒரு பெரியவர், அடிக்கடி காணாமல் போய்க் கொண்டிருடா.",8
பழைய_கணக்கு,இதைப் பார்க்கும் போது அவர் ஏன் சினிமாவில் கை வைக்கவில்லை என்றே ஆதங்கம் தோன்றுகிறது.,11
பழைய_கணக்கு,"சென்னைக்கு வரும் மாமாவை சினிமா தியேட்டருக்குக் கூட்டிப் போய், முதல் வரிசையில் உட்கார வைக்கிறார் இவர்.",12
பழைய_கணக்கு,ஒவ்வொரு சம்பவமும் ஒரு பஞ்சதந்திரக் கதை மாதிரியான உணர்வை ஏற்படுத்துகிறது.,8
பழைய_கணக்கு,இப்படி டயமண்டு கல்கண்டு போல் சின்னச்சின்ன வடிவங்கள் ஒட்டு மொத்தமாய் ஒரு இனிப்புத் தோரணமாகத் தொடர்கிறது பழைய கணக்கு.,14
பழைய_கணக்கு,இவையனைத்தும் உழைப்பே உயர்வைக் கொடுக்கும் என்கிற சித்தாந்தத்தைத்தான் வலியுறுத்துகிறது.,7
பழைய_கணக்கு,பாலசந்தர் ﻿காந்தி தரிசனம் ஆதித்தனார் தமிழன் என்ற பெயரில் வாரப் பத்திரிகை ஒன்று நடத்தி வந்தார்.,12
பழைய_கணக்கு,அதில் எனக்கு உதவி ஆசிரியர் வேலை தந்தார்.,6
பழைய_கணக்கு,வருடம் ஓர் ஆயிரத்து தொள்ளாயிரத்து நாற்பத்து மூன்று.,6
பழைய_கணக்கு,சம்பளம் ஐம்பது ரூபாய்.,3
பழைய_கணக்கு,அப்போது கல்கி அவர்கள் விகடனில் இருந்து விலகி திரு சதாசிவத்துடன் சேர்ந்து பத்திரிகை நடத்திக் கொண்டிருந்த நேரம்.,13
பழைய_கணக்கு,நானும் அதிக நீளத்தைக் கேலி செய்து தமிழன் பத்திரிகையில் ஒரு கட்டுரை எழுதினேன்.,10
பழைய_கணக்கு,என்னுடைய அந்தக் கட்டுரையை மிகவும் ரசித்ததாக கல்கி என்ன நேரில் பார்த்த போது சொன்னர்.,11
பழைய_கணக்கு,அத்துடன் கல்கியில் சேருகிறாயா? என்றும் கேட்டார்.,5
பழைய_கணக்கு,நான் சேர்ந்து விட்டேன்.,3
பழைய_கணக்கு,சம்பளம் எழுபத்தைந்து ரூபாய்.,3
பழைய_கணக்கு,முதலில் ஒரு சிறுகதை எழுதினேன்.,4
பழைய_கணக்கு,"அதைப் படித்துவிட்டு, இப்பொழுதெல்லாம் வீட்டுக்கு ஒரு பெண் கதை எழுதுகிறாள்.",8
பழைய_கணக்கு,நீயும் அதையே செய்யாதே.,3
