work_title,sentence,sentence_length
ஏட்டில்_இல்லாத_மகாபாரதக்_கதைகள்,ஏட்டில் இல்லாத மகாபாரதக் கதைகள் புலவர் த.,6
ஏட்டில்_இல்லாத_மகாபாரதக்_கதைகள்,﻿ஏட்டில் இல்லாத மகாபாரதக் கதைகள் ﻿ தொகுப்பு புலவர் த.,8
ஏட்டில்_இல்லாத_மகாபாரதக்_கதைகள்,"லிட் நியூசெஞ்சுரி புக் ஹவுஸ் லிமிடெட் நாற்பத்தொன்று பி, சிட்கோ இண்டஸ்டிரியல் எஸ்டேட் சென்னை தொன்னூற்றெட்டு.",12
ஏட்டில்_இல்லாத_மகாபாரதக்_கதைகள்,பதிப்புரை மகாபாரதக் கதைகளை ஏட்டில் படித்தவர்கள் பலர்.,6
ஏட்டில்_இல்லாத_மகாபாரதக்_கதைகள்,ஆனால் அக்கதைகளை ஏட்டில் படிக்காதவர்களிடையே பல வேறுபட்ட கதைகள் வழக்கில் உள்ளன.,9
ஏட்டில்_இல்லாத_மகாபாரதக்_கதைகள்,அவை ஏட்டில் இடம்பெறாத நாட்டுப்புறக் கதைகள்.,5
ஏட்டில்_இல்லாத_மகாபாரதக்_கதைகள்,செவிவழிக் கதைகளாக வழங்கப்பெறும் அக்கதைகள் மூலம் பல அறநெறிகள் கற்பிக்கப்படுகின்றன.,8
ஏட்டில்_இல்லாத_மகாபாரதக்_கதைகள்,மனிதர்களின் மனங்களைப் பக்குவப்படுத்துவதற்காகவே கதைகள் பிறந்தன.,5
ஏட்டில்_இல்லாத_மகாபாரதக்_கதைகள்,அவை ஏட்டு வடிவக் கதைகளாக இருந்தாலும் செவிவழிக் கதைகளாக இருந்தாலும் நன்மை பயப்பவைகளே தவிர தீமை விளைவிப்பன அல்ல.,14
ஏட்டில்_இல்லாத_மகாபாரதக்_கதைகள்,அபிமன்யுவின் மனைவி உத்தரையின் வயிற்றிலிருந்த கருவை அழிப்பதற்காக அசுவத்தாமன் பிரமசிரசு என்ற அம்பை ஏவினான்.,11
