work_title,sentence,sentence_length
தஞ்சைச்_சிறுகதைகள்,"ஒளி அச்சுக்கோர்வை ராஜா ஜெராக்ஸ் ஆப்செட் டிசைனர்ஸ், வெளிவை, நாகை.",8
தஞ்சைச்_சிறுகதைகள்,"அச்சாக்கம் மா பிரிண்டர்ஸ், பெங்களுர்.",4
தஞ்சைச்_சிறுகதைகள்,இது வரலாறும் வாழ்க்கையும் காட்டும் உண்மை.,5
தஞ்சைச்_சிறுகதைகள்,"அதேபோலத் தமிழ் இலக்கியத்துக்கு வளமும், வனப்பும், புதுமையும், பெருமையும் தேடித்தந்த பேனா மன்னர்கள் பலப்பலர் தஞ்சையைச் சேர்ந்தவர்களாவர்.",13
தஞ்சைச்_சிறுகதைகள்,வேங்கடரமணியும் தஞ்சை மண்ணின் மைந்தர்களேயாவர்.,4
தஞ்சைச்_சிறுகதைகள்,அதைப்போல சிறுகதைக்குக் கலைத் தன்மையும் இலக்கிய கனமும் சேர்த்த படைப்பாளிகள் மிகப்பலர் தஞ்சையின் புதல்வர்களே.,11
தஞ்சைச்_சிறுகதைகள்,இத்தகைய ஒரு தொகுப்பைத் தயாரிப்பது சிரமமானக் காரியமாகும்.,6
தஞ்சைச்_சிறுகதைகள்,படைப்பாளர்கள் பற்றிய விவரங்கள் சேகரிப்பது கஷ்டமான செயல்.,6
தஞ்சைச்_சிறுகதைகள்,அதைவிடச் சிரமமானது அவர்களது படைப்புக்களைத் தேடிக் கண்டுபிடிப்பது.,6
தஞ்சைச்_சிறுகதைகள்,இது பாராட்டுதலுக்குரிய ஒரு சாதனைதான்.,4
தஞ்சைச்_சிறுகதைகள்,﻿எழுத்தாளர்கள் பற்றி முக்கியமானவர்கள் தெரிவித்துள்ள கருத்துக்களைத் தொகுத்துத் தருவதுடன் அவர் தனது எண்ணங்களையும் எழுதியிருக்கிறார்.,11
தஞ்சைச்_சிறுகதைகள்,அவருடைய நேர்மையும் நியாயமுமானப் பார்வை அவ்வித அபிப்பிராயங்களில் வெளிப்பட்டிருப்பதைக் காணலாம்.,8
தஞ்சைச்_சிறுகதைகள்,"இத்தொகுப்பு தஞ்சையைச் சேர்ந்த சிறுகதை எழுத்தாளர்களின் படைப்புத் திறமையையும், அவர்களது படைப்புக்களின் தன்மையையும் எடுத்துக்காட்டுகிறது.",11
