work_title,sentence,sentence_length
சடுகுடு_ஆட்டம்,சடுகுடு ஆட்டம் டாக்டர்.,3
சடுகுடு_ஆட்டம்,"அச்சிட்டோர் கலர் லிங்ஸ், சென்னை அறுநூறு  ஐந்து.",6
சடுகுடு_ஆட்டம்,என்றாலும் இந்த நூலுக்கு சடுகுடு ஆட்டம் என்றே தலைப்பினைத் தந்திருக்கிறேன்.,8
சடுகுடு_ஆட்டம்,தரம் கூடி விளங்குகிறது.,3
சடுகுடு_ஆட்டம்,"அத்துடன், உடலைப் பலப்படுத்தவும், பதப்படுத்தவும் போன்ற பயிற்சி முறைகளையும் ஒரு பகுதியாக இணைத்துத் தந்துள்ளேன்.",11
சடுகுடு_ஆட்டம்,சடுகுடு ஆட்டம் பற்றி முதன்முதலாக வருகின்ற தமிழ் நூலாக உங்கள் கையில் படைத்திருக்கிறேன்.,10
சடுகுடு_ஆட்டம்,சடுகுடு ஆட்டத்திற்கான கலைச் சொற்களையும் ஆங்காங்கே தந்துள்ளேன்.,6
சடுகுடு_ஆட்டம்,இன்னும் பொருத்தமான சொற்கள் என்று உங்களுக்குத் தோன்றுகின்ற சொற்களையும் எழுதி அனுப்புங்கள்.,9
சடுகுடு_ஆட்டம்,இந்நூலை அழகாக அச்சிட்டுத்தந்த கிரேஸ் பிரிண்டர்சுக்கு என் நன்றி.,7
சடுகுடு_ஆட்டம்,நூல் தயாரிப்பின் ஆக்க வேலைகள் அனைத்தையும் அழகாக செய்து முடிக்கின்ற திருஆர்.சாக்ரட்டீசையும் இந்த நேரத்தில் பாராட்டி மகிழ்கிறேன்.,14
சடுகுடு_ஆட்டம்,"அன்பன், ⁠ எஸ்.நவராஜ் செல்லையா ஆம் ஆண்டு வெளியிடப்பட்ட முதல் பதிப்பில் ஆசிரியரின் முன்னுரை அப்படியே அச்சிடப்பட்டுள்ளது.",14
சடுகுடு_ஆட்டம்,பொருளடக்கம் பக்கம் ஒன்று.,3
சடுகுடு_ஆட்டம்,வரலாறும் வளர்ச்சியும் ….,3
சடுகுடு_ஆட்டம்,விளையாட்டு பற்றிய முக்கிய விளக்கம் ….,5
சடுகுடு_ஆட்டம்,பாடிச் செல்பவருக்குரிய திறன் நுணுக்கங்கள் ….,5
சடுகுடு_ஆட்டம்,பிடிப்பவருக்குரிய திறன் நுணுக்கங்கள் ….,4
சடுகுடு_ஆட்டம்,பாதுகாப்பாக விளையாடும் முறைகள் ….,4
சடுகுடு_ஆட்டம்,பலப்படுத்தும் பயிற்சி முறைகள் ….,4
சடுகுடு_ஆட்டம்,ஆட்டக்காரர்களுக்கு சில சிறப்புக் குறிப்புக்கள் ….,5
சடுகுடு_ஆட்டம்,சடுகுடு ஆட்டத்தின் விதிகள் ….,4
சடுகுடு_ஆட்டம்,"ஆட்ட அதிகாரிகளும், கடமைகளும் ….",4
சடுகுடு_ஆட்டம்,ஏதோ ஒரு இடத்தில் இந்த ஆட்டம் தோன்றியிருக்க வேண்டும்.,7
சடுகுடு_ஆட்டம்,பெயரும் பிரதேசங்களும் டூ டூ அல்லது குடூ – டூ – டூ என்று வங்காளத்தில் வழங்கப்பட்டது.,13
சடுகுடு_ஆட்டம்,"குடுடு என்று மகாராஷ்டிர மாநிலம், குஜராத் மற்றும் மத்திய பிரதேசத்தில் அழைக்கப்பட்டிருக்கிறது.",9
சடுகுடு_ஆட்டம்,"சடுகுடு என்று தமிழகத்திலும், மைசூர் பகுதியிலும் பெயர் பெற்றிருக்கிறது.",7
சடுகுடு_ஆட்டம்,பலீஞ்சபனம் என்பதாக ஆந்திரப் பிரதேசத்தினர் இதை அழைத்து ஆடினர்.,7
சடுகுடு_ஆட்டம்,"பாடி பாடி என்பதாக கத்திவாட், கட்சு மக்கள் இதை குறிப்பிட்டு ஆடியிருக்கின்றனர்.",9
சடுகுடு_ஆட்டம்,வண்டிகளி என்பதாக கேரள நாட்டில் அழைக்கப்பட்டிருக்கிறது.,5
சடுகுடு_ஆட்டம்,"ஜபார்ககானா என்பதாகவும், சாஞ்சி பக்கி என்பதாகவும் பல திருநாமங்களில் பஞ்சாப் மாநிலத்திலும், அதைச் சுற்றியுள்ள பகுதிகளிலும் ஆடப்பட்டு வந்திருக்கிறது.",14
சடுகுடு_ஆட்டம்,"இயற்கையின் எழில்மிகு தோற்றம் போல, மக்கள் மனதிலும் செயலிலும் பரிணமித்து, பிரபலமாக பயன்பட்டுக் கொண்டே வந்தது வருகிறது.",13
சடுகுடு_ஆட்டம்,அவற்றை ஆங்காங்கே அவர்கள் குறித்துச் சென்றிருக்கிறார்கள்.,5
