work_title,sentence,sentence_length
பேராசிரியர்_அ._ச._ஞாவின்_பதில்கள்,ஞாவின் பதில்கள் பேராசிரியர் அ.,4
பேராசிரியர்_அ._ச._ஞாவின்_பதில்கள்,ஞாவின் பதில்கள் பேராசிரியர் அ.ச.,5
பேராசிரியர்_அ._ச._ஞாவின்_பதில்கள்,"ஞானசம்பந்தன் கங்கை புத்தக நிலையம் பதிமூன்று , தீனதயாளு தெரு, தியாகராயர் நகர் சென்னை பதினேழு .",11
பேராசிரியர்_அ._ச._ஞாவின்_பதில்கள்,⁠முன்னரே இப்படிப்பட்ட அ.ச.ஞா.வின் விடைப் பதிவுகள் வெளியாகியுள்ளன.,9
பேராசிரியர்_அ._ச._ஞாவின்_பதில்கள்,இன்றும் இனியும் என்பது முதலில் வெளிவந்தது.,5
பேராசிரியர்_அ._ச._ஞாவின்_பதில்கள்,அண்மையில் தொட்டனைத்து ஊறும்… வெளிவந்தது.,4
பேராசிரியர்_அ._ச._ஞாவின்_பதில்கள்,இப்போது மூன்றாவதாக இந்நூல் வெளிவருகிறது.,4
பேராசிரியர்_அ._ச._ஞாவின்_பதில்கள்,⁠முதல் நூலிலே பேச்சு நடை இராது எழுத்துரை யாகவே அமைந்தது.,8
பேராசிரியர்_அ._ச._ஞாவின்_பதில்கள்,"ஆங்காங்கே மேடைப் பேச்சு நடையின் எதிரொலியை அடையாளம் காண முடியுமாயினும், முதல் நூல் எழுத்துரையாகவே அமைந்தது.",12
பேராசிரியர்_அ._ச._ஞாவின்_பதில்கள்,தொட்டனைத்து ஊறும்… எழுத்துரையாக இல்லாமல் பேச்சு நடையிலேயே அமைந்தது.,7
பேராசிரியர்_அ._ச._ஞாவின்_பதில்கள்,ஆயினும் எழுத்துரையின் பாங்கு பெரிதும் இடம் பெற்றது.,6
பேராசிரியர்_அ._ச._ஞாவின்_பதில்கள்,இந்த நூலில் மூன்றாவதாக வேறொரு வகை.,5
பேராசிரியர்_அ._ச._ஞாவின்_பதில்கள்,பேச்சொலியை எழுத்தொலியாகப் பதிவு செய்வது இது.,5
பேராசிரியர்_அ._ச._ஞாவின்_பதில்கள்,பல இடங்களில்... இந்த மாதிரியான புள்ளிகள் இருக்கும்.,6
பேராசிரியர்_அ._ச._ஞாவின்_பதில்கள்,நேரில் கேட்கும்போது சொல்லப்படாத வார்த்தைகள் கேட்பவர்க்குப் புலப்பட்டுவிடும்.,6
