work_title,sentence,sentence_length
பாபு_இராஜேந்திர_பிரசாத்,பாபு இராஜேந்திர பிரசாத் என்.,4
பாபு_இராஜேந்திர_பிரசாத்,பாபு இராஜேந்திர பிரசாத் புலவர் என்.,5
பாபு_இராஜேந்திர_பிரசாத்,﻿ விலை ரூ.,3
பாபு_இராஜேந்திர_பிரசாத்,நேருவின் சுயசரிதத்தில் பாபு இராஜேந்திர பிரசாத் ஐந்து இரண்டு.,7
பாபு_இராஜேந்திர_பிரசாத்,விளையும் பயிர் முளையிலேயே தெரியும் பதினொன்று  மூன்று.,6
பாபு_இராஜேந்திர_பிரசாத்,ஆரம்பப்பள்ளி முதல் பல்கலைக்கழகம் வரை படிப்பில் புலியானார் !,6
பாபு_இராஜேந்திர_பிரசாத்,பாபு இராஜேந்திரர் எழுதிய கண்ணீர்க் கடிதங்கள் இருபத்தொன்று ஐந்து.,7
பாபு_இராஜேந்திர_பிரசாத்,குடும்ப சேவையும் ஒரு தவமே !,4
பாபு_இராஜேந்திர_பிரசாத்,வழக்குரைஞர்களின் ஒழுக்கங்கள் ராஜன் பாபு ஓர் உதாரணம் !,6
பாபு_இராஜேந்திர_பிரசாத்,காந்தியடிகள் கைது நாற்பத்து மூன்று எட்டு.,5
பாபு_இராஜேந்திர_பிரசாத்,பீகார் காந்தி ராஜன் பாபு ஐம்பத்து நான்கு ஒன்பது.,7
பாபு_இராஜேந்திர_பிரசாத்,ஐரோப்பிய நாடுகளில் காந்தீய தத்துவப் பிரசாரம் அறுபத்தைந்து பத்து.,7
பாபு_இராஜேந்திர_பிரசாத்,காந்தியிசம் சோசலிசம் ராஜன்பாபு விளக்கம் !,4
பாபு_இராஜேந்திர_பிரசாத்,சுதந்திர இந்தியாவின் முதல் ஜனாதிபதி ராஜன்பாபுவே !,5
பாபு_இராஜேந்திர_பிரசாத்,குடியரசு விழா எண்பது பதிமூன்று .,4
பாபு_இராஜேந்திர_பிரசாத்,இராஜன் பாபு மறைந்தார் !,3
பாபு_இராஜேந்திர_பிரசாத்,வாழ்க அவர் எண்ணங்கள் !,3
பாபு_இராஜேந்திர_பிரசாத்,எண்பத்து நான்கு ﻿பாபு இராஜேந்திர பிரசாத் ஒன்று.,6
பாபு_இராஜேந்திர_பிரசாத்,நிற்பதைக் காட்டிலும் உட்கார்ந்திருக்கலாமே !,3
பாபு_இராஜேந்திர_பிரசாத்,உட்கார்ந்திருப்பதைக் காட்டிலும் படுத்துக் கொண்டிருக்கலாமே !,4
பாபு_இராஜேந்திர_பிரசாத்,என்பதைப் போன்ற மனப்பான்மை பீகார் காங்கிரஸ்காரர்களுக்கு இருந்ததாகத் தோன்றிற்று.,7
பாபு_இராஜேந்திர_பிரசாத்,காரியாலயத்தில் சாமான்கள் அதிகமாயில்லை.,3
பாபு_இராஜேந்திர_பிரசாத்,"ஏனென்றால், அவர்கள் நாற்காலி, மேஜை முதலிய வழக்கமான காரியாலய செளகரியங்கள் இல்லாமலே வேலை நடத்திக் கொண்டு வந்தார்கள்.",13
பாபு_இராஜேந்திர_பிரசாத்,காங்கிரஸ் அங்கு ஆடம்பரமாய் இருக்கவில்லை.,4
