work_title,sentence,sentence_length
பாப்பா_முதல்_பாட்டி_வரை,பாப்பா முதல் பாட்டி வரை புலவர் த.,6
பாப்பா_முதல்_பாட்டி_வரை,பாப்பா முதல் பாட்டி வரை த.,5
பாப்பா_முதல்_பாட்டி_வரை,"கோவேந்தன் விக்னேஷ் வெளியீடு பத்தொன்பது , நியூ காலனி, ஜோசியர் தெரு, நுங்கம்பாக்கம், சென்னை அறுநூறு  முப்பத்து நான்கு.",13
பாப்பா_முதல்_பாட்டி_வரை,﻿பதிப்புரை தலைப்பைக் கொண்டு நூலைக் கணித்து விடக்கூடாது கணித்து விட முடியாது என்பதற்கு இந்நூல் ஒரு சான்றாத விளக்குகிறது.,14
பாப்பா_முதல்_பாட்டி_வரை,"﻿குழந்தை வளர்ப்பில் கொள்ளவேண்டிய, காட்ட வேண்டிய அக்கரை, உணவு, சிகிச்சை எனவும் விரிவாக எடுத்துரைக்கப்பட்டுள்ளது.",11
பாப்பா_முதல்_பாட்டி_வரை,"ஒவ்வொரு வீட்டிலும் குடும்பத்திலும் இருக்க வேண்டிய ஒப்பற்ற, அரிய மருத்துவ விளக்க நூலாகும் இது.",11
பாப்பா_முதல்_பாட்டி_வரை,"பல்வகையான நோய்கள், குழந்தைப்பேறு, வளர்ச்சி, பராமரிப்பு, பாதுகாப்பு, ஊட்டச்சத்து, என மிகத் தெளிவாகவே விளக்கப்பட்டுள்ளது.",11
பாப்பா_முதல்_பாட்டி_வரை,பதிப்பகத்தார் உட்தலைப்புகள் ஒன்று.,3
பாப்பா_முதல்_பாட்டி_வரை,குழந்தை ஆறு இரண்டு.,3
பாப்பா_முதல்_பாட்டி_வரை,குழந்தைகள் தோட்டப்பள்ளி மயிலாப்பூர் பதிமூன்று  மூன்று.,5
பாப்பா_முதல்_பாட்டி_வரை,குழந்தை நோய்கள் பதினான்கு  நான்கு.,4
பாப்பா_முதல்_பாட்டி_வரை,குழந்தைப் பள்ளி ஐம்பத்தெட்டு ஐந்து.,4
பாப்பா_முதல்_பாட்டி_வரை,குழந்தைப் பாடல் அறுபத்து மூன்று ஆறு.,5
பாப்பா_முதல்_பாட்டி_வரை,குழந்தை வளர்ப்பு அறுபத்து நான்கு ஏழு.,5
பாப்பா_முதல்_பாட்டி_வரை,கர்ப்பிணிகளுக்கு வரப்பிரசாதம் எழுபத்தொன்பது எட்டு.,4
பாப்பா_முதல்_பாட்டி_வரை,சிசேரியன் ஏன் அவசியம்?,3
பாப்பா_முதல்_பாட்டி_வரை,கர்ப்பப் பைக்கு நீங்களே காவல் தொன்னூற்றாறு பத்து.,6
பாப்பா_முதல்_பாட்டி_வரை,கருமுட்டை தானம் குழந்தை கொடுக்கும் நூற்றி ஒன்று பதினொன்று .,7
பாப்பா_முதல்_பாட்டி_வரை,பெண்களே... டென்ஷன் வேண்டாம் நூற்றி ஒன்பது பனிரண்டு .,6
பாப்பா_முதல்_பாட்டி_வரை,பெண்களே கோபத்தை அடக்காதீர்கள் நூற்றி பதினான்கு  பதிமூன்று .,6
பாப்பா_முதல்_பாட்டி_வரை,"குழல் இனிது, யாழ் இனிது மழலைச் சொல் இனிக்க... நூற்றி இருபது பதினான்கு .",10
பாப்பா_முதல்_பாட்டி_வரை,"தாய்க்குப் பெண்ணாய், குழந்தைக்குத் தாயாய் நூற்றி இருபத்தாறு பதினைந்து .",7
பாப்பா_முதல்_பாட்டி_வரை,புட்டிப் பால் வேண்டவே வேண்டாம் !,4
பாப்பா_முதல்_பாட்டி_வரை,நூற்றி முப்பத்தைந்து பதினாறு .,3
பாப்பா_முதல்_பாட்டி_வரை,சோதனைக் குழாய் உருவாக்கும் குழந்தைகள் நூற்றி நாற்பத்து மூன்று பதினேழு .,8
பாப்பா_முதல்_பாட்டி_வரை,குழந்தைகள் அறுவைசிகிச்சை பயப்பட வேண்டாம் நூற்றி ஐம்பத்து மூன்று பதினெட்டு .,8
பாப்பா_முதல்_பாட்டி_வரை,பிஞ்சு இதயத்துக்கு மறு உயிர் கொடுக்க முடியும் நூற்றி அறுபத்து மூன்று பத்தொன்பது .,10
பாப்பா_முதல்_பாட்டி_வரை,மூக்குதான் வி.ஐ.பி. நூற்றி எழுபது இருபது.,7
பாப்பா_முதல்_பாட்டி_வரை,பழுதற்ற பல்லே பயனுள்ள செல்வம் நூற்றி எண்பது இருபத்தொன்று.,7
பாப்பா_முதல்_பாட்டி_வரை,முதுகு வலி வருவது ஏன்?,4
பாப்பா_முதல்_பாட்டி_வரை,நூற்றி எண்பத்தேழு இருபத்திரண்டு.,3
பாப்பா_முதல்_பாட்டி_வரை,தோலைப் பராமரித்தால் தொல்லை தராது நூற்றி தொன்னூற்று நான்கு இருபத்து மூன்று.,9
பாப்பா_முதல்_பாட்டி_வரை,இதயத்தின் மீதும் கண் இருக்கட்டும் நூற்றி தொன்னூற்றொன்பது இருபத்து நான்கு.,8
பாப்பா_முதல்_பாட்டி_வரை,அப்பொழுதே அது வளர்ந்து நல்ல குடியாக இயலும்.,6
பாப்பா_முதல்_பாட்டி_வரை,"பிறந்த பிறகு ஏற்படுவதைக் காட்டிலும், பிறக்கும் முன்னரே குழந்தையின் உடல் வளர்ச்சியில் மாறுதல்கள் மிகுதியாக ஏற்படுகின்றன.",12
பாப்பா_முதல்_பாட்டி_வரை,"அதனால் கர்ப்பிணிகள், அடிக்கடி மருத்துவரிடம் சென்று உடல்நிலையைப் பரிசோதித்துக் கொள்ள வேண்டும்.",9
பாப்பா_முதல்_பாட்டி_வரை,"மருத்துவர்கள் பரிசோதனை செய்து, அவர்களுக்கு வேண்டிய உணவுத் திட்டத்தை விளக்கிக் கூறுவார்கள்.",9
பாப்பா_முதல்_பாட்டி_வரை,"ஏதேனும் நோய் காணின், அதை நீக்குவார்கள்.",5
பாப்பா_முதல்_பாட்டி_வரை,"எடுத்துக்காட்டாக, கிரந்தி நோய் உள்ள பெண்கள் கருப்பமுற்ற தொடக்கத்திலேயே தக்கவாறு சிகிச்சை செய்துகொண்டால் தான் குழந்தை நலமாகப் பிறக்கும்.",14
பாப்பா_முதல்_பாட்டி_வரை,இல்லையெனில் கருச்சிதைவு உண்டாகும்.,3
பாப்பா_முதல்_பாட்டி_வரை,அல்லது இறந்து பிறக்கும்.,3
பாப்பா_முதல்_பாட்டி_வரை,அல்லது குழந்தை ﻿பிறந்து சில வாரங்களா வதற்குள் இறந்து விடும்.,8
பாப்பா_முதல்_பாட்டி_வரை,கர்ப்பிணி சத்துள்ள சீருணவு உண்ணவேண்டும்.,4
பாப்பா_முதல்_பாட்டி_வரை,மருத்துவர் தவிர்க்கும்படி குறிப்பிடும் சிலவகை உணவுகளை உண்ணலாகாது.,6
பாப்பா_முதல்_பாட்டி_வரை,"கர்ப்பிணிகள் வைட்டமின்களையும், மீன் எண்ணைய் போன்ற சிறப்பு உணவுகளையும் உண்ணவேண்டும் என்று மருத்துவர் கூறுவர்.",11
பாப்பா_முதல்_பாட்டி_வரை,மேலும் அவர்கள் சுகாதார விதியின்படியே ஒழுகவேண்டும்.,5
பாப்பா_முதல்_பாட்டி_வரை,இவ்வாறு நடந்துகொண்டால் குழந்தை நல்லவிதமாகப் பிறக்கும்.,5
பாப்பா_முதல்_பாட்டி_வரை,"குழந்தை பிறந்ததும், முதிர்ந்தவர்களினின்றும் பல விஷயங்களில் மாறுபட்டிருக்கும்.",6
பாப்பா_முதல்_பாட்டி_வரை,"குழந்தையின் தலை அதன் உடம்பின் உயரத்தில், நாலில் ஒரு பாகமாகவும், முதிர்ந்தவர் தலையில் ஏழில் ஒரு பாகமாகவுமிருக்கும்.",13
பாப்பா_முதல்_பாட்டி_வரை,குழந்தையின் தலையின் சுற்றளவு மார்பின் சுற்றளவிலும் பெரியதாயிருக்கும்.,6
பாப்பா_முதல்_பாட்டி_வரை,"கால்கள் கைகளிலும், நீளம் குறைந்து காணும்.",5
பாப்பா_முதல்_பாட்டி_வரை,முதிர்ந்தவர் ஒரு நிமிஷத்தில் இருபது தடவை மூச்சிழுப்பர்.,6
பாப்பா_முதல்_பாட்டி_வரை,ஆனால் குழந்தை ஐம்பத்தைந்து தடவை மூச்சிழுக்கும்.,5
பாப்பா_முதல்_பாட்டி_வரை,"குழந்தை பிறந்ததும் உட்கார வைத்தால், அதன் உயரம் பதினான்கு  அங்குலமிருக்கும்.",8
பாப்பா_முதல்_பாட்டி_வரை,குழந்தையின் மார்புச் சுற்றளவு சு.,4
பாப்பா_முதல்_பாட்டி_வரை,வயிற்றின் சுற்றளவு தலையினளவாக இருக்கும்.,4
பாப்பா_முதல்_பாட்டி_வரை,"குழந்தையின் தோல், ஒருவித வெண்பிசின் போன்ற பொருளால் மூடப்பட்டிருக்கும்.",7
பாப்பா_முதல்_பாட்டி_வரை,"குழந்தையைக் குளிப்பாட்டிய பின்னும், அப்பொருள் தங்கியிருக்குமாயின், சிறிது நல்லெண்ணெய் தடவித் துணியால் மெதுவாகத் துடைத்து நீக்க வேண்டும்.",13
பாப்பா_முதல்_பாட்டி_வரை,குழந்தை பிறந்தவுடன் பார்த்தால் அதன் இரைப்பை வயிற்றுள் சாய்வாக இருக்கும்.,8
பாப்பா_முதல்_பாட்டி_வரை,அதனால் எளிதில் வாந்தி ஏற்படக்கூடும்.,4
பாப்பா_முதல்_பாட்டி_வரை,குழந்தையின் வாயில் உமிழ் நீர் ஊறுவதில்லை.,5
பாப்பா_முதல்_பாட்டி_வரை,"அதனால், குழந்தையால் ஸ்டார்ச்சைச் செரித்துக்கொள்ள முடியாது.",5
பாப்பா_முதல்_பாட்டி_வரை,பற்கள் முளைக்கும் போதே உமிழ்நீர் சுரக்கத் தொடங்கும்.,6
பாப்பா_முதல்_பாட்டி_வரை,"குழந்தையின் நுரையீரல், சிறிது சிறிதாக விரிந்து, ஆறு வயதிலேயே முழு விரிவு பெறுகின்றது.",10
பாப்பா_முதல்_பாட்டி_வரை,குழந்தையின் மூளை ஆறு வயதுவரை விரைவாகப் பருக்கின்றது.,6
பாப்பா_முதல்_பாட்டி_வரை,உச்சப் பருமன் வளர்ச்சி அடைவது முதல் ஆண்டிலாகும்.,6
பாப்பா_முதல்_பாட்டி_வரை,ஆறாவது ஆண்டுக்குப் பின் மெதுவாகவே பருத்து வரும்.,6
பாப்பா_முதல்_பாட்டி_வரை,குழந்தையின் மூளையில் மடிப்புக்கள் நாளடைவிலேயே உண்டாகின்றன.,5
பாப்பா_முதல்_பாட்டி_வரை,"சில காலம் சென்ற பின்னரே, அது பார்கவும், கேட்கவும், முகரவும், சுவைக்கவும் கூடியதாக ஆகும்.",11
பாப்பா_முதல்_பாட்டி_வரை,"குழந்தைக்கு முதலில் கருமை, வெண்மை தவிர வேறு நிறவேறுபாடு தெரியாது இரண்டு மூன்று மாதம் கழித்தே தெரியும்.",13
பாப்பா_முதல்_பாட்டி_வரை,"அது பிறந்ததும், அழவும், கொட்டாவி விடவும் வல்லது.",6
பாப்பா_முதல்_பாட்டி_வரை,"ஆனால் பசிக்கிறது என்றும், உறக்கம் வருகிறது என்றும் தெரிந்து கொள்ளாது.",8
பாப்பா_முதல்_பாட்டி_வரை,"அதன் பசியும், உறக்கமும், வெறும் மறிவினைகளாலேயே நடைபெறுகின்றன.",6
பாப்பா_முதல்_பாட்டி_வரை,"ஒருவாரம் சென்றபின்னரே, இந்நிலை அடையும்.",4
பாப்பா_முதல்_பாட்டி_வரை,"குழந்தை பிறந்தபோது வெயிற்காலமாயின், குழந்தைக்கு அதிகமான துணிகளைப் போர்த்தி, அதிக வெப்பமடையச் செய்யக்கூடாது.",10
பாப்பா_முதல்_பாட்டி_வரை,"அப்படிச் செய்தால், இசிவு ஏற்படலாம்.",4
பாப்பா_முதல்_பாட்டி_வரை,குழந்தையின் மலம் கருப்பச்சை நீர் போலிருக்கும்.,5
பாப்பா_முதல்_பாட்டி_வரை,உணவு உண்ணத் தொடங்கிய பின்னரே அது பழுப்பு நிறமாகவும் கட்டியாகவும் ஆகும்.,9
பாப்பா_முதல்_பாட்டி_வரை,"குழந்தை பிறந்ததும் கொப்பூழ்க் கொடியில் ஒரு பகுதி குழந்தையிடமிருக்குமாறு விட்டு விட்டு, அறுத்து மருந்து வைத்துக் கட்டுவர்.",13
பாப்பா_முதல்_பாட்டி_வரை,"எஞ்சியுள்ள பகுதி, சாதாரணமாக ஒரு வாரத்தில் சுருங்கிப் பின் விழுந்துவிடும்.",8
பாப்பா_முதல்_பாட்டி_வரை,"பிறந்த குழந்தையைப் படுக்க வைத்தால், முதிர்ந்தவர்போல் காலை நீட்டிப் படுக்க அதனால் முடியாது.",10
