work_title,sentence,sentence_length
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,தொழிலியல் விஞ்ஞானி ஜி.,3
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,தொழிலியல் விஞ்ஞானி ஜி.டி.,4
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,"ஆனால், கண்களால் காண முடியாதவற்றை விஞ்ஞானம் நம்புவதில்லை.",6
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,கண்களால் காண முடியும் என்பனவற்றைப் பற்றிய ஆராய்ச்சியும் தேடுதலும்தான் விஞ்ஞானத்தின் அடிப்படை.,9
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,"நாயுடு அடையாளங் களாக நிறுவிக் காட்டி, அவை இயங்கவும் வழிகாட்டி மறைந்தார்.",9
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,தாம் கண்டுபிடித்தவைகளை உலகுக்குக் கொடைகளாக வழங்கிவிட்டு மற்ற விஞ்ஞானிகள் மறைந்தார்கள் !,8
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,"ஆனால், நமது நாயுடுதான் தனது கண்டுபிடிப்புகளை, தனது உயிர்வாழ் காலத்திலேயே இயக்கி, மக்களையும் அதன் மூலமாக வாழவும் வைத்தார்.",14
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,அதற்கு அவர் நிறுவிய பல்துறை தொழிற்சாலைகளே சான்றுகளாகும்.,6
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,உழைப்பின் வார உறுதிகள் உளவோ?,4
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,"அந்த மேதையின் அறிவாற்றலை, நோபல் பரிசு பெற்ற விஞ்ஞானியான, சர்.சி.வி.",10
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,"இராமன் மட்டுமன்று, உலக நாடுகளின் அறிஞர்கள் எல்லாம் பாராட்டி வியந்தார்கள்.",8
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,அத்தகைய ஒரு தொழிலியல் விஞ்ஞானி ஒருவர் பற்றிய நூல்தான் இந்த நூல் !,9
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,வள்ளலார் நூலகம் இந்த நூலை வெளியிடுவதில் பெரும் பேறு பெறுகிறது.,8
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,தமிழ்நாடும் தமிழ்ப் பெருமக்களும் இந்த வரலாற்று நூலுக்கு ஆதரவு காட்டுமாறு பணிவன்புடன் வேண்டுகிறோம்.,10
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,கலைமணி உள்ளே உள்ளவை ஒன்று.,4
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,ஏழு ⁠ இரண்டு.,3
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,படிக்காத மேதை நாயுடு !,3
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,பதினேழு  ⁠பார் போற்றும் விஞ்ஞானி ஆனார்.,5
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,நம்பிக்கை நாணயம் நேர்மை.,3
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,இருபத்தெட்டு ⁠ நா நலம் அறம் பிறழா நெஞ்சர் !,7
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,பேருந்து தொழிலில் கூட்டுறவு !,3
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,உலகம் சுற்றிய விஞ்ஞானி ஜிடி நாயுடு.,5
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,இரண்டாம் உலகப் பயணத்தில்.,3
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,"அறுபத்து மூன்று ⁠மன்னர் எட்டாம் எட்வர்டு, நேரு சந்திப்பு ஏழு.",8
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,ரேசண்ட் பிளேடு கண்டுபிடித்தார்.,3
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,எழுபத்தாறு ⁠அமெரிக்கா பிரிட்டன் வணிகப் போட்டி !,5
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,தேர்தலில் ஒட்டுப் பதிவு மெஷின்.,4
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,எண்பத்தேழு ⁠எடிசன் கைவிட்டார் !,3
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,அமெரிக்கா சென்ற தொழில் பிரமுகர்.,4
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,தொன்னூற்று மூன்று ⁠ பொறியியல் மேதையாகத் திரும்பினார் !,6
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,தொழில் துறை வளர்ச்சி ஒன்றே.,4
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,நூற்றி இரண்டு ⁠ நாட்டின் வறுமையை நீக்கும் வழி !,7
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,நான்காண்டு காலம் பி.இ. கல்வியை.,5
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,நூற்றி பதினொன்று  ⁠ நாயுடு ஆறுவாரமாக மாற்றினார் !,6
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,விந்தைகள் பல செய்த.,3
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,நூற்றி இருபத்தேழு ⁠விவசாய விஞ்ஞானி !,4
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,சித்த வைத்தியர் ஜி.டி.,4
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,நூற்றி நாற்பது ⁠ ஜெர்மன் பேச்சு ஆய்வுக்கு அழைப்பு !,7
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,மாணவர்களுக்கு ஜி.டி.,3
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,நூற்றி நாற்பத்தொன்பது ⁠ ஆற்றிய ஒழுக்க அறிவுரைகள் !,6
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,கொடை வள்ளல் நாயுடு.,3
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,நூற்றி அறுபத்தாறு ⁠வாரி வழங்கிய பட்டியல் !,5
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,மில் துணி சிறந்ததா?,3
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,நூற்றி எழுபத்தேழு ⁠தந்தை பெரியார் நாயுடு போட்டி !,6
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,நூற்றி எண்பத்தொன்று ⁠ஜி.டி.நாயுடு மறைந்தார் !,6
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,அதே காய்கள் அங்காடிகளிலே விற்பனையாகும் போதும் நாம் அதனதன் அளவையும் அடிக்கடி கண்டிருக்கிறோம்.,10
