work_title,sentence,sentence_length
புகழ்பெற்ற_புதுக்கவிஞர்கள்,செளராஷ்டிரா சந்து மேலமாசி வீதி மதுரை ஒன்று அன்னம் புத்தகமையம் ஐம்பத்தொன்று ஒன்று தெற்கு உஸ்மான் சாலை தி.,14
புகழ்பெற்ற_புதுக்கவிஞர்கள்,புதுக்கவிதையில் புரிந்து கொள்ள என்ன இருக்கிறது?,5
புகழ்பெற்ற_புதுக்கவிஞர்கள்,口 பண்டைக் காலத்தில் கவிஞனுக்கு எல்லாம் தெரிந்திருக்க வேண்டும் அவன் சகலகலா வல்லவன்.,10
புகழ்பெற்ற_புதுக்கவிஞர்கள்,இளங்கோ கவிஞர் மட்டுமல்லர் இசை மேதை நாடகாசிரியர் வானநூல் வல்லுநர் நவமணிகளின் குண வேறுபாடுகளை உணர்ந்தவர்.,12
புகழ்பெற்ற_புதுக்கவிஞர்கள்,மைக்கேல் ஏஞ்சலோ ஓவியர் சிற்பி கவிஞர்.,5
புகழ்பெற்ற_புதுக்கவிஞர்கள்,லியனார்டோ டாவின்சி ஓவியர் சிற்பி கட்டிட மேதை பொறிஞர் இயற்பியல் அறிஞர் கவிஞர்.,10
புகழ்பெற்ற_புதுக்கவிஞர்கள்,அறிவியல் மேதையான கலீலியோ கவிஞரும் கூட.,5
புகழ்பெற்ற_புதுக்கவிஞர்கள்,கெதே மாகவிஞர் இசைமேதை நாடகாசிரியர் அரசியல் அறிஞர்.,6
புகழ்பெற்ற_புதுக்கவிஞர்கள்,ஷேக்ஸ்பியர் உலகம் அறிந்த தெல்லாம் அறிந்தவர்.,5
புகழ்பெற்ற_புதுக்கவிஞர்கள்,﻿ஒவ்வொரு கலையிலும் சிறப்புத் துறைகள் தோன்றிக்கிளைத்தன.,5
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"இப்பாதிப்பு கவிதையிலும் தனித் தன்மை வாய்ந்த, சிறப்புப் பிரிவுகளைத் தோற்றுவித்தது.",8
புகழ்பெற்ற_புதுக்கவிஞர்கள்,அவன் கவிதை எழுதியது மூன்றாண்டுகள் மட்டுமே.,5
புகழ்பெற்ற_புதுக்கவிஞர்கள்,அம் மூன்றாண்டுகளில் அவன் எழுதிய கவிதைகள் ஐரோப்பியக் கவிதையுலகையே தலை கீழாகப் புரட்டிவிட்டன.,10
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"என்றாலும், ரெம்போ என்னும் உதய சூரியனுக்கு விடிவெள்ளியாக முன்னால் நின்றவர் பிரெஞ்சு மகாகவி போதலேர் என்பதையும் குறிப்பிட்டாக வேண்டும்.",14
புகழ்பெற்ற_புதுக்கவிஞர்கள்,கவிதைச் சொற்களின் இயல்பான பொருளையே மாற்றினான்.,5
புகழ்பெற்ற_புதுக்கவிஞர்கள்,உரை நடையிலேயே உயர்ந்த கவிதைகளை எழுதினான்.,5
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"﻿ரெம்போவின் தாக்கம் பிரெஞ்சுக் கவிதை மீதும், மற்ற ஐரோப்பியக் கவிதைகள் மீதும் அளவிடமுடியாத அளவு இருந்தது.",12
புகழ்பெற்ற_புதுக்கவிஞர்கள்,உளவியல் அறிஞரான ஃப்ராய்டின் ஆய்வுகள் கலையிலக்கியத் துறையில் புரட்சிகரமான மாற்றங்களைத் தோற்றுவித்தன புற மெய்ம்மையிய இயக்கம் தோன்றியது.,13
புகழ்பெற்ற_புதுக்கவிஞர்கள்,எனவே புற மெய்ம்மை இயக்க முன்னோடி ரெம்போதான் என்பதில் எந்தவித ஐயப்பாடும் இல்லை.,10
புகழ்பெற்ற_புதுக்கவிஞர்கள்,இவன் பழமையில் நம்பிக்கையற்றவன்.,3
புகழ்பெற்ற_புதுக்கவிஞர்கள்,தன்னையே அழித்துக்கொள்ளும் உலகப் பெரும்போருக்கு எதிரான மக்களுணர்ச்சி பெற்றெடுத்த குழந்தையாக இவனைக் குறிப்பிடலாம்.,10
புகழ்பெற்ற_புதுக்கவிஞர்கள்,இவனுடைய கவிதைகளில் இருண்மைக் கூறு மிக அதிகம்.,6
புகழ்பெற்ற_புதுக்கவிஞர்கள்,என் பாடல்கள் இறுக்கமும் சுருக்கமும் மிக்கவை.,5
புகழ்பெற்ற_புதுக்கவிஞர்கள்,இவற்றை அறிந்து கொள்ளுதல் என்பதைவிட உள்ளுணர்வால் உணர்ந்து கொள்ளுதலே படிப்போரால் இயலும் என்று ரில்க்கே ஓரிடத்தில் குறிப்பிடுகிறான்.,13
புகழ்பெற்ற_புதுக்கவிஞர்கள்,அவனுடைய உண்மையான உலகம் கண்ணுக்குத் தெரியாத மெய்ப்பொருள் உலகமே.,7
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"அவ்வுலகின் உண்மையை உணர்ந்து துய்க்க, பொய்யான இப்பருப் பொருள் உலகில், அன்பும் மனிதத் தன்மையுமே வழி என்று குறிப்பிடுகிறான்.",14
புகழ்பெற்ற_புதுக்கவிஞர்கள்,இம் முயற்சியில் தேவதைகளையும் துணைக்கழைக்கிறான்.,4
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"இதே ஆன்மீகத் தேடல், பேகய், டி.",5
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"லாரன்ஸ், டிலான் தாமஸ், ராபர்ட் லோவல் ஆகியோரின் படைப்புக்களில் வெவ்வேறு வடிவம் கொள்ளுகின்றன.",10
புகழ்பெற்ற_புதுக்கவிஞர்கள்,இதற்கு நேர்மாறாகச் சமதர்மக் கவிஞர்கள் ஒரு பூலோக ﻿சொர்க்கத்தைத் தம் கற்பனையில் படைக்கத் தொடங்கினர்.,11
புகழ்பெற்ற_புதுக்கவிஞர்கள்,மார்க்சியக் கவிஞர்களுள் குறிப்பிடத்தக்கவர் ஜெர்மன் நாட்டைச் சேர்ந்த பெர்டோல்ட் ப்ரெக்ட்.,8
புகழ்பெற்ற_புதுக்கவிஞர்கள்,ரில்க்தனிமனிதனின் ஆன்ம தரிசனத்தைப் பாடியவர்.,4
புகழ்பெற்ற_புதுக்கவிஞர்கள்,ரில்க்கின் கவிதை அறிவை மயக்கும் புதிர்க்கவிதை.,5
புகழ்பெற்ற_புதுக்கவிஞர்கள்,ப்ரெக்டின் கவிதை அன்றாட வாழ்க்கையை ஆய்வு செய்யும் நடப்பியக் கவிதை இதைப் புதிய மெய்ம்மையியம் என்றும் சொல்லலாம்.,13
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"தற்பெருமை, தத்துவார்த்தம், பிரபஞ்ச ரகசியம், அடிமனக் கற்பனை என்பவற்றைப் பாடு பொருளாகக் கொண்டுவரும் கவிதைகட்கு எதிரானது நடப்பியக்கவிதை.",13
புகழ்பெற்ற_புதுக்கவிஞர்கள்,நேர்ப்படும் உண்மைகளை உள்ளது உள்ளபடியாகத் தரமான கவிதைகளில் அறிவார்ந்த சிந்தனையோடு வெளிப்படுத்த வேண்டும் என்று நடப்பியற் கவிஞர்கள் விரும்பினர்.,14
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"இத்தாலி நாட்டைச் சேர்ந்த டி அன்னன்ஸியோ, மாரினெட்டி ஆகிய இரு கவிஞர்களும் ஃபாசிலியத்தின் தத்துவத் தந்தைகளாகக் கருதப்படுகின்றனர்.",13
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"முன்னோக்கியமும், ஃபாசிஸமும் தனிமனித சுதந்திரத்தை முற்றாக வெறுப்பவை.",6
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"விளாடிமிர் மாயகோவ்ஸ்கி ருசியப்பொதுவுடைமைக் கொள்கையால் கவரப்பட்டு, அதன் புரட்சிக் குரலாக ஒலித்தவர்.",9
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"இந்த நூற்றாண்டுக் கவிஞர்களுள், அதிகமாக உலக இலக்கிய வாதிகளின் கவனத்தைக் கவர்ந்தவர்கள் இருவர் அவர்கள் டி.",12
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"எலியட்டும், எஸ்ரா பவுண்டும்.",3
புகழ்பெற்ற_புதுக்கவிஞர்கள்,எலியட் கிறித்தவ சமயத்தின்பால் அதிக ஈடுபாடு கொண்ட ஆன்மீகக் கவிஞர்.,8
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"ஆழ்ந்தகன்ற பெரும்புலமையும், மரபிலக்கியப் பயிற்சியும் மிக்கவர்.",5
புகழ்பெற்ற_புதுக்கவிஞர்கள்,எலியட்டின் சமகாலத்தவரும் நண்பருமான எஸ்ரா லூமிஸ் பவுண்ட் சிறந்த கவிஞர் பன்மொழி வல்லுநர் பல்கலை அறிஞர் சீர்திருத்தவாதி.,13
புகழ்பெற்ற_புதுக்கவிஞர்கள்,ஜப்பானிய ஹைக்கூ கவிதைகளின் சிறப்பை உலகறியச்செய்தவர்.,5
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"பெருங்கவிஞர் யேட்ஸ், எலியட் போன்றோரின் கவிதைகளில் தமது கத்தரிக் கோலை நீட்டிச் செம்மைப்படுத்தியவர்.",10
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"யாரும் நெருங்குவதற்கு அஞ்சிய, பிடிவாதமான முரட்டு இலக்கியமேதை.",6
புகழ்பெற்ற_புதுக்கவிஞர்கள்,கவிதைத்துறையில் படிம இயக்கத்தைத் தோற்றுவித்தவர்.,4
புகழ்பெற்ற_புதுக்கவிஞர்கள்,ஃபாசிஸத்தை ஆதரித்துப் பிரசாரம் செய்தவர் முசோலினியின் நண்பர்.,6
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"கண்டபடி மனம்போன போக்கில் எழுதப்பட்ட புதுக்கவிதை இவரால் செறிவும், இறுக்கமும், செம்மையும் நுட்பமும், வேலைப்பாடும் மிக்கதாக மாறியது.",13
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"ஸ்பானிஷ் மொழிக்கவிஞர்களான லார்காவும், பாப்லோ நெருடாவும் குறிப்பிடத்தக்கவர்கள்.",6
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"இவர்களுடைய படைப்புக்கள் பிரெஞ்சு, ஆங்கிலக் கவிஞர்களின் படைப்பினின்றும் வேறுபட்டவை.",7
புகழ்பெற்ற_புதுக்கவிஞர்கள்,ஆனால் லார்கா எந்த இலக்கியக் கட்சியிலும் ஈடுபாடு காட்டவில்லை.,7
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"மரபிலும், புதுமையிலும் காணப்பட்ட நல்ல அம்சங்கள் யாவும், அவனையும் அறியாமல் லார்காவின் படைப்புக்களில் இடம்பெற்றன.",11
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"லார்கா புதுக்கவிஞனாகவும், அதேசமயத்தில் மரபோடு கூடிய கிராமியப்பாடல் பாடும் கவிஞனாகவும் விளங்கியது வியப்பிற்குரியது.",10
புகழ்பெற்ற_புதுக்கவிஞர்கள்,பாப்லோ நெருடா சிலிநாட்டுக் கவிஞன்.,4
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"அரசியல் வெளிப்பாட்டியமும், நடப்பியமும் இவன் கவிதைக் கொள்கைகள்.",6
புகழ்பெற்ற_புதுக்கவிஞர்கள்,பொதுவுடைமைக் கட்சியைச் சார்ந்த கவிஞர்களுள் முதன் முதலாக நோபெல் பரிசு பெற்றவன் நெருடா.,10
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"இருபதாம் நூற்றாண்டைச் சேர்ந்த ஆங்கிலக் கவிஞர்களுள், எலியட்டுக்கு அடுத்தாற்போலக் குறிப்பிடத்தக்கவர்கள், டபிள்யூ.",9
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"ஆடனும், டைலான்தாமசும் ஆவர்.",3
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"ஆடன் தீவிர மார்க்சியவாதியாக இருந்து, இருப்பியல் தத்துவத்தில் நுழைந்து இறுதியில் ஆன்மீகவாதியாக மாறியவர்.",10
புகழ்பெற்ற_புதுக்கவிஞர்கள்,இது மீண்டும் இயற்கைக்குத் திரும்புதல் என்னும் குசோவின் கொள்கையைச் சார்ந்தது.,8
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"இன்றும் கவிதையின் செயல்பாடும் பயனும் அப்படியே உள்ளன என்றாலும், அணுகு முறை மாறியிருக்கிறது.",10
புகழ்பெற்ற_புதுக்கவிஞர்கள்,இன்றைய நாகரிகத்தில் கவிதையின் தலையாய சின்னங்கள் மதிப்பிழந்து போயின.,7
புகழ்பெற்ற_புதுக்கவிஞர்கள்,பாம்பும் சிங்கமும் வல்லூறும் வட்டக் காட்சிக் கொட்டகைக்குச் சென்றுவிட்டன.,7
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"எருதுகளும், கரடிகளும், மீன்களும் கூண்டுக்குள் அடைக்கப்பட்டுவிட்டன.",5
புகழ்பெற்ற_புதுக்கவிஞர்கள்,வேகக்குதிரைகளும் வேட்டை நாய்களும் பந்தய அரங்கிற்குக்கொண்டுசெல்லப்பட்டன.,5
புகழ்பெற்ற_புதுக்கவிஞர்கள்,தூய காடுகளெல்லாம் அழிக்கப்பட்டு அறுப்பு ஆலைக்கு அனுப்பப்பட்டன.,6
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"காதல் நிலவு, எரிந்து தணிந்த கோளாகிவிட்டது.",5
புகழ்பெற்ற_புதுக்கவிஞர்கள்,பெண்கள் எடுபிடிகளாக மாற்றப்பட்டனர்.,3
புகழ்பெற்ற_புதுக்கவிஞர்கள்,கவிதை வளர்ந்து கொண்டே இருக்கிறது.,4
புகழ்பெற்ற_புதுக்கவிஞர்கள்,இக்கணிப் பொறியுகத்தில் கவிஞனின் சிந்தனைகள் செயற்கைக் கோளில் ஏறி அண்டத்தில் பவனி வருகின்றன.,10
புகழ்பெற்ற_புதுக்கவிஞர்கள்,புதனில் தொடங்கவிருக்கும் புது வாழ்வைப் பற்றிக் கவிஞன் சிந்திக்கத் தொடங்கி விட்டான்.,9
புகழ்பெற்ற_புதுக்கவிஞர்கள்,கவிதை ஒரு தொடர் விளைவு.,4
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"அடுத்துப் புதுக் கவிதையில் புரிந்து கொள்ள என்ன இருக்கிறது? என்று கூறுவோருக்கும், சில விளக்கங்களைக் கூற விரும்புகிறேன்.",13
புகழ்பெற்ற_புதுக்கவிஞர்கள்,மரபுக் கவிதைகளில் வெள்ளைப்பாட்டு இருப்பது போல் புதுக் கவிதைகளிலும் வெள்ளைப்பாட்டு உண்டு.,9
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"இன்று தமிழில் வெளியாகும் புதுக் கவிதைகளில் நூற்றுக்குத் தொண்ணூறு, கவிதைகளே அல்ல.",9
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"அவை அலங்கரிக்கப்பட்ட உரைநடையும், துணுக்குகளும்தான்.",4
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"புதுக் கவிதைக்குரிய பண்புகளோடு வெளிவரும் கவிதைகளைப் படிக்கும் போது, அவற்றிலிருந்து நாம் புரிந்து கொள்ள வேண்டியது ஏராளமாக இருக்கும்.",14
புகழ்பெற்ற_புதுக்கவிஞர்கள்,நிலவு வேலிக்குள் அடைக்கப்பட்டது என் காதலும் மடிந்தது.,6
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"இக்காதல் வரிகளின் அவலச்சுவை, நம் உள்ளத்தில் முள்ளாகத் தைக்கிறது.",7
புகழ்பெற்ற_புதுக்கவிஞர்கள்,இது ஒரு ஸ்பானிய நாட்டுப் பாடல்.,5
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"இப்புதிர்ச் சுவை, புகழ்பெற்ற மேட்டர்லிங்க் நாடகத்திலும் கிடையாது என்று வியந்து பாராட்டுகிறான்.",9
புகழ்பெற்ற_புதுக்கவிஞர்கள்,இசை சிற்பங்களின் மூச்சு ஓவியங்களின் பேச்சு இதயத்தின் வெளிவளர்ச்சி ரில்க்கின் இந்த வரிகளைப்பற்றி முடிவில்லாமல் சிந்தித்துக் கொண்டே இருக்கலாம்.,14
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"இதில் கூறப்பட்ட செய்திகளைப் புரிந்து கொள்ள வேண்டுமானால், எகிப்தியத் தொன்மமும், கிறித்துவ விவிலியமும் படித்திருக்க வேண்டும்.",12
புகழ்பெற்ற_புதுக்கவிஞர்கள்,எஸ்ரா பவுண்டின் கவிதைப்பூட்டைத் திறவுகோலின் துணையில்லாமல் திறக்கமுடியாது.,6
புகழ்பெற்ற_புதுக்கவிஞர்கள்,பேரகராதி மற்றும் பன்மொழிச் சிற்றகராதிகளின் துணையும் வேண்டும்.,6
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"பவுண்டின் சமகால நண்பர்கள் அவர்களிடம் அவர் கொண்டிருந்த நட்பு, அந்தரங்கம் யாவும் தெரிந்திருக்க வேண்டும்.",11
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"இவ்வளவும் போதாது இசையறிவும், சிற்ப ஓவியக் கலையறிவும் வேண்டும். புதுக் கவிதையில் புரிந்து கொள்ள எவ்வளவோ இருக்கிறது.",13
புகழ்பெற்ற_புதுக்கவிஞர்கள்,கவிதையின் தோற்றம் பற்றிப் பண்டை நாள் தொட்டுப் பல்வேறு கருத்துக்கள் பல்வேறு கவிஞர்களாலும் அறிஞர்களாலும் வெளியிடப்பட்டுள்ளன.,12
புகழ்பெற்ற_புதுக்கவிஞர்கள்,கிரேக்க ஞானி சாக்ரட்டீஸ்.,3
புகழ்பெற்ற_புதுக்கவிஞர்கள்,கவிஞர்கள் சாமியாடியைப் போன்றவர்கள்.,3
புகழ்பெற்ற_புதுக்கவிஞர்கள்,﻿கவிதை ஆவேசம் பெறுவதற்காகச் சில கவிஞர்கள் மதுவையும் மற்ற போதைப் பொருள்களையும் நாடுவதுண்டு.,10
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"நம் கண்ணுக்கு முதன்முதலில் எந்தப் பொருள் தென்படுகிறதோ, அதுவே நம் அறிவை நடத்திச் செல்லும் குறியீடாக அமையும்.",13
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"உள்ளம் தீவிரமாக உணர்ச்சிவசப்படும் போது, கவிதை தானாக ஊற்றெடுத்துக் கரைபுரண்டு வருவதாக ஆங்கிலக் கவிஞர் வோர்ட்ஸ் வொர்த் குறிப்பிடுகிறார்.",14
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"கவிதை கவிஞனுள்ளத்தில் தானாகக் கருக்கொண்டு, கற்பனை வடிவம் பெற்றுப் பக்குவமடைந்து பொங்கி வரவேண்டும்.",10
புகழ்பெற்ற_புதுக்கவிஞர்கள்,புதிதாக அடிமனக் கோட்பாடு இவர்கள் கருத்துக்களோடு சேர்கின்றது.,6
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"பொதுவுடைமைக் கொள்கையாளனும், முன்னோக்கிய வாதியுமான மாயகோவ்ஸ்கி, கவிதைத் தோற்றம் பற்றிச் சுவையான கருத்தொன்றைக் கீழ்க்கண்டவாறு வெளியிடுகிறார்.",12
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"என் நடையில் வேகம் கூடும்போது, நான் வேகமாக முணுமுணுக்கிறேன்.",7
புகழ்பெற்ற_புதுக்கவிஞர்கள்,"﻿ இப்படியே தன்னைத்தானே செதுக்கிக் கொண்டு, கவிதைக்கு அடிப்படையான சந்தம் பீறிட்டுக் கிளம்புகிறது.",10
புகழ்பெற்ற_புதுக்கவிஞர்கள்,அவ்வாறு கிளம்பும் அந்த ஓசையிலிருந்து சொற்கள் வடிவம் பெறுகின்றன.,7
புகழ்பெற்ற_புதுக்கவிஞர்கள்,பீறிட்டுக் கிளம்பும் அந்தச் சந்த ஓசை எங்கிருந்து வருகிறது என்று யாருக்குத் தெரியும்?,10
புகழ்பெற்ற_புதுக்கவிஞர்கள்,என் படைப்புக்கள் எல்லாமே என் கேட்கும் செயல் என்பது அவள் கருத்து.,9
புகழ்பெற்ற_புதுக்கவிஞர்கள்,ஜெர்மானியக் கவிஞர்ரில்க்கின் அனுபவம் இவர்களினின்றும் சற்று மாறுபட்டது.,6
புகழ்பெற்ற_புதுக்கவிஞர்கள்,இதற்குமுன் அனுபவித்திராத ஓர் உணர்ச்சி வெள்ளம் அவனுள் தலையாகப் பரவுவதை உணர்ந்தான்.,9
