work_title,sentence,sentence_length
திரும்பி_வந்த_மான்_குட்டி,திரும்பி வந்த மான் குட்டி குழந்தைக் கவிஞர் அழ.,7
திரும்பி_வந்த_மான்_குட்டி,"அவர் களுடைய எட்டுக் கதைகளைத் தேர்ந்தெடுத்து, இப் புத்தகமாக வெளியிட்டுள்ளோம்.",8
திரும்பி_வந்த_மான்_குட்டி,இதில் இடம்பெற்றுள்ள சில கதைகள் கோகுலம் மாத இதழில் வெளிவந்தவை.,8
திரும்பி_வந்த_மான்_குட்டி,அந்தக் கதைகளை இப்புத்தகத்தின் மூலமாக வெளியிட அனுமதி தந்த பரதன் பப்ளிகேஷன் நிறுவனத்திற்கு எங்கள் நன்றியைத் தெரிவித்துக் கொள்கிறோம்.,14
திரும்பி_வந்த_மான்_குட்டி,"குழந்தைக் கவிஞரின் மற்ற நூல்களைப் போலவே இந்நூலையும், சிறுவர்கள் விரும்பிப் படித்துப் பயன்பெறுவார்கள் என நம்புகிறோம்.",12
திரும்பி_வந்த_மான்_குட்டி,பதிப்பகத்தார் பொருளடக்கம் ஒன்று.,3
திரும்பி_வந்த_மான்_குட்டி,திரும்பி வந்த மான்குட்டி ஐந்து இரண்டு.,5
திரும்பி_வந்த_மான்_குட்டி,வித்தைக் குரங்கு அறுபத்தெட்டு திரும்பி வந்த மான்குட்டி ஒரு காடு.,8
திரும்பி_வந்த_மான்_குட்டி,அந்த காட்டிலே ஒரு மரத்தடியில் இரண்டு புள்ளி மான்கள் படுத்திருந்தன.,8
திரும்பி_வந்த_மான்_குட்டி,"அவற்றிலே ஒன்று அம்மா மான், மற்றொன்று குட்டி மான்.",7
திரும்பி_வந்த_மான்_குட்டி,"அம்மாமான் தன் குட்டியைப் பார்த்து, நீ எப்போதும் என் கூடவே இருக்கணும்.",9
திரும்பி_வந்த_மான்_குட்டி,தனியாக எங்கேயும் போய்விடாதே ! என்றது.,4
திரும்பி_வந்த_மான்_குட்டி,"ஏம்மா, தனியாகப் போகப்படாதா? என்று கேட்டது குட்டிமான்.",6
திரும்பி_வந்த_மான்_குட்டி,"நல்லவேளையாக இந்தக் காட்டிலே சிங்கம், புலியெல்லாம் இல்லை.",6
திரும்பி_வந்த_மான்_குட்டி,"இருந்தால், நம்மை அடித்துச் சாப்பிட்டுவிடும்.",4
திரும்பி_வந்த_மான்_குட்டி,ஆனாலும் வேட்டைக் காரர்களால் நமக்கு எந்த நேரமும் ஆபத்து வரலாம். வேட்டைக்காரர்களால் ஆபத்தா !,10
திரும்பி_வந்த_மான்_குட்டி,"எப்படி அம்மா? உன்னைப்போல் சின்னக் குட்டியாக இருந்த போது, நான் ஒரு வேட்டைக்காரனிடம் சிக்கிக் கொண்டு, படாதபாடு பட்டேன்.",14
திரும்பி_வந்த_மான்_குட்டி,அது மாதிரி உனக்கும் வந்துவிடக் கூடாது.,5
திரும்பி_வந்த_மான்_குட்டி,"அதற்காகத்தான்.... அம்மா மான் சொல்லிக் கொண்டிருக்கும்போதே, குட்டிமான் குறுக்கிட்டது.",7
திரும்பி_வந்த_மான்_குட்டி,"ஏனம்மா, உன்னை வேட்டைக்காரன் பிடித்துப் போய் விட்டானா?",6
திரும்பி_வந்த_மான்_குட்டி,"அப்புறம், எப்படித் தப்பி வந்தாய்? குட்டியாக இருந்த போது, ஒருநாள், நான் துள்ளிக் குதித்துச் சென்று கொண்டிருந்தேன்.",13
திரும்பி_வந்த_மான்_குட்டி,"ஒரு புதரைத் தாண்டி, அந்தப் பக்கமாக கால்களை வைத்தேன்.",7
திரும்பி_வந்த_மான்_குட்டி,என் கால்கள் அங்கு விரித்து வைத்திருந்த வலையில் சிக்கிக் கொண்டன.,8
திரும்பி_வந்த_மான்_குட்டி,என்ன என்னவோ செய்து பார்த்தேன்.,4
