work_title,sentence,sentence_length
அறிவுக்_கனிகள்,அறிவுக் கனிகள் பொ.,3
அறிவுக்_கனிகள்,அறிவுக் கனிகள் இழுக்கல் உடையுழி ஊற்றுக்கோ லற்றே ஒழுக்க முடையார் வாய்ச்சொல் ﻿பொ.,10
அறிவுக்_கனிகள்,திருகூடசுந்தரம் எழுதிய நூல்கள் விவாகமானவர்கட்கு ஒரு யோசனை குழந்தை எப்படிப் பிறக்கிறது?,9
அறிவுக்_கனிகள்,கேள்வியும் பதிலும் அப்பாவும் மகனும் அண்ணனும் தங்கையும் தந்தையும் மகளும் விஞ்ஞானப் பெரியார்கள் சைவ உணவு எது?,13
அறிவுக்_கனிகள்,ஆங்கிலக் கவிதை மலர்கள் இதய உணர்ச்சி மந்தரை சூழ்ச்சி விஞ்ஞானம் எதற்கு?,9
அறிவுக்_கனிகள்,"அவினாசிலிங்கம் செட்டியார், பி.ஏ., பி.ல்., எம்.பி.",8
அறிவுக்_கனிகள்,காந்தி நிலையம் தியாகராய நகர் — சென்னை பதினேழு  விலை ரூ.,9
அறிவுக்_கனிகள்,ஓர் ஆயிரத்து எண்ணூற்று தொன்னூற்றொன்று ம் ஆண்டில் பிறந்தவர்.,7
அறிவுக்_கனிகள்,ஐந்து வது பாரம் முதலே முதற் பரிசு பெற்றர்.,7
அறிவுக்_கனிகள்,ஏ. இல் பல்கலைக் கழகத் தங்கப் பதக்கம் பெற்றார்.,7
அறிவுக்_கனிகள்,ஓர் ஆயிரத்து தொள்ளாயிரத்து இருபத்தொன்று ல் வக்கீல் வேலையை விட்டு ஒத்துழையாமை இயக்கத்தில் ஈடுபட்டார்.,11
அறிவுக்_கனிகள்,திருநெல்வேலி ஜில்லாவிலும் செட்டி நாட்டிலும் காந்திய இயக்கத்தை வேரூன்றச் செய்தார்.,8
அறிவுக்_கனிகள்,காந்தியடிகளின் கட்டுரைகளை முதன் முதலில் தமிழில் மொழி பெயர்த்தவர்.,7
அறிவுக்_கனிகள்,"திருநெல்வேலி நகர சபையில் அங்கத்தினராகவும், தேவகோட்டை நகர சபையில் வைஸ் சேர்மனாகவும் இருந்து சமூக சேவை செய்தார்.",13
அறிவுக்_கனிகள்,தீண்டாமை விலக்குக்குந் தீவிரமாக உழைத்தார்.,4
