work_title,sentence,sentence_length
ஒரே_உரிமை,கலை என்று சொல்லப்படுகின்றவையெல்லாம் முதலில் பொழுதுபோக்குக்காகத் தோன்றியவைகளே.,6
ஒரே_உரிமை,கலைகளில் சிறந்த கதையும் இப்படித் தோன்றியதே.,5
ஒரே_உரிமை,"அது முதற் கொண்டே, புற்றீசல் போல் பொழுது போக்குக்காகத் தோன்றிய கலைகள், விண்மீன்கள் போல் அழியாத வாழ்வு பெறலாயின.",14
ஒரே_உரிமை,கல்லிலும் சொல்லிலும் பிறவற்றிலும் நிலைத்து நின்று தலைமுறை தலைமுறையாக நூற்றாண்டு நூற்றாண்டாக வாழ்வு பெற்றன.,11
ஒரே_உரிமை,சொல் வடிவாக வாழும் கலைகளுக்குத் தனிப்பட்ட பெரிய ஆற்றல் உண்டு.,8
ஒரே_உரிமை,"வாழ்வுக்காகக் கொண்ட வில்லையும், வாழ்க்கைப் பண்பாட்டுக்காகக் கொண்ட சொல்லையும் ஒப்பிட்டுத் திருவள்ளுவர் ஒரு சிறந்த உண்மையை உணர்த்துகிறார்.",13
ஒரே_உரிமை,வில்லைக் கருவியாகக் கொண்டவர்கள் பகையானாலும் கவலை இல்லை சொல்லைக் கருவியாகக் கொண்டவர்களின் பகை பொல்லாதது என்கிறார்.,12
ஒரே_உரிமை,"வில்லே ருழவர் பகைகொளினும், கொள்ளற்க சொல்லே குழவர் பகை என்று அறிவுரை கூறுகிறார்.",10
ஒரே_உரிமை,இந்த அறிவுரை அரசனுக்குக் கூறப்பட்டது என்று விட்டுவிடக் கூடாது.,7
ஒரே_உரிமை,அரசன் என்று ஒருவன் இல்லாத குடியரசு முறைக்கும் இந்த அறிவுரை பொருந்தும்.,9
ஒரே_உரிமை,சமூகம்என்ற அமைப்புக்கும் இந்த அறிவுரை பொருத்தமுடையதே.,5
ஒரே_உரிமை,நீ நிலைகுலைந்து அழியப் போகிறாயே ! என்று இரக்கம் பிறக்கிறது.,7
ஒரே_உரிமை,விந்தன் எய்யும் சொல்லம்புகள் குறி தவறாமல் பாய்கின்றன.,6
ஒரே_உரிமை,சமூகத்தை அவர் சிற்சில இடங்களில் தான் நேராகத் தாக்குகிறார்.,7
ஒரே_உரிமை,"பல இடங்களில் அவர் அம்பு தொடுப்பதே இல்லை இன்றிருக்கும் நிலைமையை எடுத்துக் காட்டி, பேசாமல் கதை சொல்கிறார்.",13
ஒரே_உரிமை,அவர் படைக்கும் பாத்திரங்களும் பெரும்பாலும் அப்பாவி களே.,6
ஒரே_உரிமை,அவர்களுக்குச் சமூகத்தின்மேல் வயிற்றெரிச்சல் தோன்றுவதே இல்லை.,5
ஒரே_உரிமை,ஆனால் நமக்கு மட்டும் வயிற்றெரிச்சல் தோன்றுகிறது ஆத்திரம் பொங்குகிறது.,7
ஒரே_உரிமை,ஆனால் அவர்களைப் பற்றிப் படிக்கும் மனங்கள்.,5
ஒரே_உரிமை,புரட்சி மனங்களாக மாறுகின்றன.,3
ஒரே_உரிமை,அவளைக் கண்டதும் அவன் முகம் மலர்ந்தது— சூரியனைக் கண்ட தாமரையைப்போல் அல்ல.,9
ஒரே_உரிமை,சோற்றைக் கண்ட ஏழையைப் போல.,4
ஒரே_உரிமை,அவர் தம்முடைய காரியங்களை யெல்லாம் முடித்துக் கொண்டு நைவேத்தியத்துக்காகக் காத்துக் கொண்டிருக்கும் கல்லுப் பிள்ளையாரைப் போல உட்கார்ந்திருப்பார்.,13
ஒரே_உரிமை,பொருளாதார ஏற்றத் தாழ்வு என்ன என்ன தீமை செய்கிறது என்பதை ஆசிரியர் பல இடங்களில் படம் பிடித்துக் காட்டுகிறார்.,14
ஒரே_உரிமை,"காதல் எதன்மேல், எதுவரையில் என்றெல்லாம் கதைகள் விளக்குகின்றன.",6
ஒரே_உரிமை,கவிதையிலே காவியத்திலே கதைகளிலே சாகாத காதல் வாழ்க்கையிலே பணப் போரில் சாவதை ஆசிரியர் எடுத்துக்காட்டுவது போற்றத்தக்கது.,12
ஒரே_உரிமை,... நூற்றி நாற்பத்து நான்கு ﻿ஒரே உரிமை எங்கள் கிராமத்தில் எனக்குக் கொஞ்சம் நிலம் இருக்கிறது.,11
ஒரே_உரிமை,சென்ற தை மாத அறுவடையின் போது நான் அங்கே போயிருந்தேன்.,8
ஒரே_உரிமை,வயலில் மும்முரமாக வேலை நடந்து கொண்டிருந்தது.,5
ஒரே_உரிமை,களத்துமேட்டில் நின்றபடி நான் வேலையாட்களைக் கவனித்துக் கொண்டிருந்தேன்.,6
