work_title,sentence,sentence_length
பிள்ளையார்_சிரித்தார்,பிள்ளையார் சிரித்தார் கே. பி.,4
பிள்ளையார்_சிரித்தார்,பிள்ளையார் சிரித்தார் இரண்டு.,3
பிள்ளையார்_சிரித்தார்,ஓடிப்போன ராஜா மூன்று.,3
பிள்ளையார்_சிரித்தார்,சிதம்பர ரகசியம் நான்கு.,3
பிள்ளையார்_சிரித்தார்,சுதந்தர மிட்டாய் ஐந்து.,3
பிள்ளையார்_சிரித்தார்,கார்த்திகேயன் கனவு ஆறு.,3
பிள்ளையார்_சிரித்தார்,"பொன் வாத்து ஒன்று பிள்ளையார் சிரித்தார் மிகச் சிறிய ஊராக இருந்தாலும், சங்கரபுரம் சிறந்த புண்ணிய சிவஸ்தலம்.",13
பிள்ளையார்_சிரித்தார்,"அழகான ஊருக்குச் சோபை அளிப்பதேபோல், மத்தியில் ஏகாம்பரேசுவரருடைய ஆலயம் எழும்பி நின்றது.",9
பிள்ளையார்_சிரித்தார்,ஊரைச் சுற்றிலும் வேலி போட்டாற்போல் வளமான மணியாறு ஒடிக் கொண்டிருந்தது.,8
பிள்ளையார்_சிரித்தார்,அநேகமாய் ஏழைச் சர்மாவைத் தவிர அந்த ஊரில் எல்லோருமே சுக ஜீவனம் செய்பவர்கள் என்றே சொல்ல வேண்டும்.,13
பிள்ளையார்_சிரித்தார்,அக்கிரகாரத்தின் கோடியிலே வளைவு திரும்பியதும் காணப்படும் பாதி வேய்ந்த கூரை வீடுதான் சர்மாவினுடையது.,10
பிள்ளையார்_சிரித்தார்,இல்லை என்று தன் கணவர் அறிய அவள் குறை ஏதும் வைட்பதில்லை.,9
பிள்ளையார்_சிரித்தார்,"ஆனல், ஒரு நாள் அதை அவரும் உணரும் சந்தர்ப்பம் ஒன்று எப்படியோ ஏற்பட்டுவிட்டது !",10
பிள்ளையார்_சிரித்தார்,சர்மா துடிதுடித்துப் போனார்.,3
பிள்ளையார்_சிரித்தார்,இப்படி எத்தனை நாள்கள் என் பொருட்டுத் தாயும் குழந்தைகளும் பட்டினி கிடந்திருப்பார்களோ !,9
பிள்ளையார்_சிரித்தார்,என்று எண்ணிப் பார்க்கக்கூட அவர் மனம் தாளவில்லை.,6
பிள்ளையார்_சிரித்தார்,தம்மையும் மீறி ஹோ வென்று அழுதுவிட்டார்.,5
பிள்ளையார்_சிரித்தார்,அவரது அந்த வேதனைக் கண்ணிர் வெண்ணீறணிந்த கைலைநாதனது மேனியைக் கொதிநீராகப் பட்டுப் பொசுக்கியிருக்க வேண்டும்.,11
பிள்ளையார்_சிரித்தார்,"இனித் தாமதித்தால், தம் பக்துன் உயிர் வாடிப்போகும் என்பதை உணர்ந்தார் பரமன்.",9
பிள்ளையார்_சிரித்தார்,அவன் பெயர் தனபாலன்.,3
பிள்ளையார்_சிரித்தார்,பெயருக்கேற்றபடி அவனிடம் மிகுந்த செல்வம் மண்டிக் கிடந்தது என்னவோ உண்மைதான்.,8
