work_title,sentence,sentence_length
நாடக_மேடை_நினைவுகள்,கற்றவர்களால் நாடகக் கலை வெறுத்து ஒதுக்கப்பட்டது.,5
நாடக_மேடை_நினைவுகள்,இத்தகைய காலக் கட்டத்தில் பம்மல் சம்பந்த முதலியார் தமிழ் நாடகத் துறைக்குள் நுழைந்தார்.,10
நாடக_மேடை_நினைவுகள்,தமிழ் நாடகத்திற்குப் புத்துணர்வும் புதுப்பொலிவும் தந்தார்.,5
நாடக_மேடை_நினைவுகள்,"அவர் இதிகாச நாடகங்களையும், புராண நாடகங்களையும் நடத்தி வந்த தொழில்முறை நாடகக் குழுவினரின் போக்கையும் மாற்றினார்.",12
நாடக_மேடை_நினைவுகள்,அவர்கள் வரலாறு மற்றும் சமூக நாடகங்கள் நடிக்கத் தூண்டுகோலாக அமைந்தார்.,8
நாடக_மேடை_நினைவுகள்,"நாடக நடிகர்களைக் கூத்தாடிகள் என்று அழைக்கப்பட்ட வழக்கத்தை மாற்றி, அவர்களைக் கலைஞர்கள் என்று சிறப்பாகக் குறிப்பிடும் நிலைக்கு உயர்த்தினார்.",14
நாடக_மேடை_நினைவுகள்,தமிழ் நாடக வரலாற்றில் பம்மல் சம்பந்த முதலியாரின் பங்களிப்பு மிகவும் சிறப்பாகக் குறிப்பிடத்தக்கது.,10
நாடக_மேடை_நினைவுகள்,அவர் காலத்துத் தமிழ் நாடகங்களில் பாடல்கள் அதிகமாக இருந்தன.,7
நாடக_மேடை_நினைவுகள்,அத்துடன் பாடல்களின் விளக்க உரையாடல்கள் மிகவும் குறைந்த அளவில் இடம் பெற்றிருந்தன.,9
நாடக_மேடை_நினைவுகள்,பம்மல் சம்பந்த முதலியார் ஆங்கில நாடகங்களின் அமைப்பைப் பின்பற்றி உரைநடையில் நாடகங்களைப் படைத்தார்.,10
நாடக_மேடை_நினைவுகள்,"மாநிலக் கல்லூரியிலும் பின்னர்ச் சட்டக் கல்லூரியிலும் படித்து பி.ஏ., பி.எல்.",10
நாடக_மேடை_நினைவுகள்,"சில காலம் வழக்கறிஞராகவும், நீதியரசராகவும் பணியாற்றினார்.",5
நாடக_மேடை_நினைவுகள்,"பம்மல் சம்பந்த முதலியார், நாடகத்திற்கு ஆற்றிய தொண்டு தமிழர்கள் என்றும் நினைவில் வைக்கத் தக்கது.",11
நாடக_மேடை_நினைவுகள்,"உயர் குடியில் பிறந்தவர்களையும் புகழ் பெற்ற அரசியல்வாதிகளையும், அறிஞர்களையும் பம்மல் சம்பந்த முதலியார் தம்முடைய நாடகங்களில் நடிக்கச் செய்தார்.",14
நாடக_மேடை_நினைவுகள்,அவர்களில் குறிப்பிடத் தக்கவர்கள் ﻿சர்.,4
நாடக_மேடை_நினைவுகள்,"இராமசாமி அய்யர், தேசிய இயக்கத்தின் தலைவராக விளங்கிய சத்தியமூர்த்தி, முன்னாள் மத்திய நிதி அமைச்சர் ஆர்.கே.",13
நாடக_மேடை_நினைவுகள்,சண்முகம் செட்டியார் முதலியோர் ஆவார்கள்.,4
நாடக_மேடை_நினைவுகள்,அக்காலத்தில் நீதி மன்றத்தில் நீதியரசராகப் பணியாற்றிய பி.வி.,7
நாடக_மேடை_நினைவுகள்,சீனிவாச அய்யங்கார் அவர்கள் பம்மல் சம்பந்தனாரின் நாடகப் பணிக்குத் துணை செய்தார்.,9
நாடக_மேடை_நினைவுகள்,"இலங்கையில் அவருடைய நாடகங்களைப் பார்த்த கலையரசு சொர்ணலிங்கம் என்பவர், பிற்காலத்தில் ஈழத்துத் தமிழ் நாடக வளர்ச்சிக்குப் பாடுபட்டார்.",13
நாடக_மேடை_நினைவுகள்,அவர் பம்மல் சம்பந்த முதலியாரைத் தன்னுடைய ஆசான் என்று குறிப்பிட்டுள்ளார்.,8
நாடக_மேடை_நினைவுகள்,அக்காலத்தில் நடத்தப்பட்ட நாடகங்கள் அனைத்தும் இன்பியல் முடிவுடையன.,6
நாடக_மேடை_நினைவுகள்,"சம்பந்த முதலியார் அந்நிலையை மாற்றி ஆங்கில நாடகங்கள் அமைப்பைப் போன்று, இன்பியலும் துன்பியலும் கலந்து வரும் நாடகங்களைப் படைத்தார்.",14
நாடக_மேடை_நினைவுகள்,தமிழ் நாடக மேடையில் செய்த பெரிய புரட்சி இதுவாகும்.,7
நாடக_மேடை_நினைவுகள்,"ஆங்கில நாடகங்களையும், வடமொழி நாடகங்களையும் அரங்கேற்றும்போது அவற்றைத் தமிழ்ச் சூழலுக்கு ஏற்றவாறு மாற்றி அமைத்தார்.",11
நாடக_மேடை_நினைவுகள்,அதன் விளைவாக வேற்று மொழி நாடகங்கள் தமிழர்களுக்கு அந்நிய நாடகங்களாக ஆகாமல் தடுத்தார்.,10
நாடக_மேடை_நினைவுகள்,"பம்மல் சம்பந்த முதலியார் ஆங்கிலம், வடமொழி, பிரெஞ்சு, செர்மன், லத்தீன் முதலிய மொழிகளிலிருந்து நாடகங்களைத் தமிழில் மொழி பெயர்த்தார்.",14
நாடக_மேடை_நினைவுகள்,"அவருடைய மொழிபெயர்ப்பு, தமிழ் நாடகக் கலைக்குக் கிடைத்த பெருஞ் செல்வமாகும்.",8
நாடக_மேடை_நினைவுகள்,பிறநாட்டு நல்லறிஞர் சாத்திரங்கள் தமிழில் மொழி பெயர்க்க வேண்டும் என்ற மகாகவி பாரதியாரின் கருத்தை மெய்ப்பித்துள்ளார்.,12
நாடக_மேடை_நினைவுகள்,அந்நாட்களில் தமிழ் நாடகங்கள் விடிய விடிய நடக்கும்.,6
நாடக_மேடை_நினைவுகள்,இவ்வாறு நாடகத்திற்குரிய கால எல்லையை வரன்முறை செய்தவர் பம்மல் சம்பந்த முதலியார் என்பது குறிப்பிடத்தக்கது.,11
நாடக_மேடை_நினைவுகள்,நாடகங்களை எழுதுகின்ற ஆசிரியர்கள் அவர்கள் படைத்துள்ள நாடக மாந்தர்களின் உள்ளுணர்வுப் போராட்டங்களை விவரிக்க வேண்டும்.,11
நாடக_மேடை_நினைவுகள்,அவ்வாறு விவரிக்கும்போது அந்நாடகங்களைப் பார்க்கின்ற மாந்தர்களுடைய மனங்களும் தூய்மை பெறும் என்று நாடக ஆய்வாளர்கள் கூறுகின்றனர்.,12
நாடக_மேடை_நினைவுகள்,"பம்மல் சம்பந்த முதலியார் இயற்றிய மனோகரா, இரு நண்பர்கள் முதலியவை இவ்வகையைச் சார்ந்தவை.",10
நாடக_மேடை_நினைவுகள்,பம்மல் சம்பந்த முதலியார் தொன்னூற்று நான்கு நாடகங்கள் எழுதியுள்ளார்.,7
நாடக_மேடை_நினைவுகள்,அவை பின்வருமாறு ஒன்று.,3
