work_title,sentence,sentence_length
வேண்டும்_விடுதலை,﻿வேண்டும் விடுதலை — பாவலரேறு பெருஞ்சித்திரனார் ﻿ பதிப்பு ⁠ முதல் பதிப்பு தி.பி.,12
வேண்டும்_விடுதலை,தமிழ்த் தேச முயற்சிக்குத் தந்தையாக வரலாற்றில் குறிப்பிடத்தக்க ஐயா அவர்களின் போராட்ட முயற்சிகள் எதிர்கால இளைஞர்களுக்குப் போர்வாள் !,13
வேண்டும்_விடுதலை,அவரின் ஆற்றல் சான்ற எழுத்துகள் தமிழ்இன உணர்வினர் பட்டைத் திட்டிக் கொள்ளுகிற கற்பாறை !,10
வேண்டும்_விடுதலை,அவரின் நெஞ்சுறுதி தமிழர்களுக்கு உள்ளவூற்றம் !,4
வேண்டும்_விடுதலை,அதேபோது இவைகுறித்துப் பாவலரேறு அவர்கள் எழுதிய நூற்றுக்கும் மேலான பாடல்கள் இத் தொகுப்புள் இடம்பெறவில்லை.,11
வேண்டும்_விடுதலை,அவை கணிச்சாறு — எனும் பாவலரேறு பெருஞ்சித்திரனார் பாடல்கள் தொகுப்பில் நாட்டுரிமை எனும் தலைப்பின் கீழ் இடம்பெற்றுள்ளன.,13
வேண்டும்_விடுதலை,இத் தொகுப்பு நூலுக்கு ஐயா அவர்கள் எழுதிய வேண்டும் விடுதலை — எனும் ஆசிரியவுரைத் தலைப்பே இடம்பெற்றிருக்கிறது.,13
வேண்டும்_விடுதலை,"இந் நூலுக்கானத் தொகுப்பு அச்சாக்க முயற்சிகளில் பெரும்பங்கேற்று உழைத்த உயர்திருவாளர்கள் புலவர் கு. அண்டிரன், தென்மொழி ஈகவரசன், கி.",14
வேண்டும்_விடுதலை,"பிறைநுதல், அரசி, மா.",3
வேண்டும்_விடுதலை,"தமிழ்மொய்ம்பன், கு.பி.",3
வேண்டும்_விடுதலை,சுடரொளி — ஆகியோர்க்குத் தென்மொழி பதிப்பகம் உளம் நிறைந்த நன்றியைத் தெரிவித்துக் கொள்கின்றது.,10
வேண்டும்_விடுதலை,மீனம் பத்தொன்பது  — தென்மொழி பதிப்பகம் உள்ளுறை எண்.,7
வேண்டும்_விடுதலை,﻿ தமிழகப் பிரிவினை தேவையே ﻿ நேரம் வந்துவிட்டது படைமுகத்துக்கு வாருங்கள் !,9
வேண்டும்_விடுதலை,தென்மொழிக் கொள்கைச் செயற்பாட்டு மாநாடு !,4
வேண்டும்_விடுதலை,கொள்கைச் சிறப்புடைய முதல் விடுதலை மாநாடு.,5
வேண்டும்_விடுதலை,﻿ இரண்டாவது தமிழ்கப் பிரிவினை மாநாட்டு நிகழ்ச்சி ﻿ வெறும் கருத்தரங்குகளால் இதுவரை எந்தப் பயனும் விளைந்ததில்லை !,13
வேண்டும்_விடுதலை,﻿ மூன்றாம் விடுதலை மாநாட்டுக்கு முன்னும் பின்னும் ﻿ தனிநாடு கோரிக்கை அனைத்துலகச் சட்டப்படி குற்றமன்று !,12
வேண்டும்_விடுதலை,﻿ தேசியம் பேசும் திருடர்கள் ﻿ அரசியலை விட்டு விலகித் தமிழக விடுதலைக்குப்பாடுபடுங்கள் !,10
வேண்டும்_விடுதலை,﻿ இந்தியாவில் தேசிய இனங்களின் எழுச்சிகள் ﻿ தமிழக விடுதலைக் கோரிக்கையே தமிழிழத்தையும் வென்றெடுக்க வல்லது !,12
வேண்டும்_விடுதலை,﻿ தொடர்வண்டிப் போராட்டத்தைத் தொடர்ந்து படிப்படியாகத் தனித்தமிழ்நாட்டுப் போராட்டத்தை முன்வைக்க வேண்டும்.,9
வேண்டும்_விடுதலை,"﻿ தென்மொழி, தமிழ்நிலம் ஆசிரியர் தமிழ்நாட்டு பிரிவினை உணர்வைத் தூண்டிவருகிறார்.",8
வேண்டும்_விடுதலை,தமிழ்நாட்டுப் பற்றுக் கொள்ளுங்கள் !,3
வேண்டும்_விடுதலை,﻿ தமிழருக்கு வாழ்வுரிமைகளும் தனிநாடும் கிடைத்துவிடக் கூடாதென்பதே இந்தியாவின் கொள்கை ﻿ தமிழ்நாட்டு விடுதலையே உரிமை அரசியலை மீட்டெடுக்கும் !,14
