work_title,sentence,sentence_length
புறநானூற்றுச்_சிறுகதைகள்,புறநானூற்றுச் சிறுகதைகள் நா.,3
புறநானூற்றுச்_சிறுகதைகள்,﻿புறநானூற்றுச் சிறு கதைகள் நா.,4
புறநானூற்றுச்_சிறுகதைகள்,இவை புறநானூற்றுச் சிறுகதைகள் என்ற தொடராகச் சுதேசமித்திரன் வார மலரில் முன்பு நான் எழுதியவை.,11
புறநானூற்றுச்_சிறுகதைகள்,மாணவர்களிடையே அதற்கு நல்ல வரவேற்பு இருந்தது.,5
புறநானூற்றுச்_சிறுகதைகள்,பல பதிப்புக்கள் துணைப்பாடமாக அந்நூல் இருந்தது.,5
புறநானூற்றுச்_சிறுகதைகள்,சரியான முறையிலும் எளிமையான விதத்திலும் மக்களுக்கு வழங்கப்பட்டால் சங்க இலக்கியப் பாடல்களைப் பற்றிய பயம் அறவே நீங்கிவிடும்.,13
புறநானூற்றுச்_சிறுகதைகள்,ஒன்றைப் பற்றிய தயக்கத்தையும் பயத்தையும் நீக்குவதற்குப் பல வழிகள் உள்ளன.,8
புறநானூற்றுச்_சிறுகதைகள்,அவற்றில் மிகச் சிறந்தது எளிமைப்படுத்தி எல்லாரையும் இரசிக்கச் செய்வது.,7
புறநானூற்றுச்_சிறுகதைகள்,எளிமைப் படுத்தி எல்லாரையும் இரசிக்கப் பழக்கப்படுத்தி விட்டுவிட்டால் தொன்னூலுக்கு அஞ்சித் தடுமாறும் நிலைமை மெல்ல மெல்ல மறைந்துவிடும்.,13
புறநானூற்றுச்_சிறுகதைகள்,இரசிகத் தன்மைப் பயிற்சியைப் போல் பயத்தையும் தயக்கத்தையும் போக்க வேறெதனாலும் முடியாது.,9
புறநானூற்றுச்_சிறுகதைகள்,இரசிகத் தன்மையை வளர்க்கும் முயற்சிகளில் இந்த நூலும் ஒன்று என்று பெருமிதத்தோடு கூறிக் கொள்கிறேன்.,11
புறநானூற்றுச்_சிறுகதைகள்,இதை இப்போது தமிழ்ப் புத்தகாலயத்தார் நூலாகக் கொண்டு வருகிறார்கள்.,7
புறநானூற்றுச்_சிறுகதைகள்,தீபம் பதினான்கு  நான்கு ஓர் ஆயிரத்து தொள்ளாயிரத்து எழுபத்தெட்டு நா.,8
புறநானூற்றுச்_சிறுகதைகள்,ஒரு சொல் இரண்டு.,3
புறநானூற்றுச்_சிறுகதைகள்,இது ஒரு வாழ்வா?,3
புறநானூற்றுச்_சிறுகதைகள்,ஊசி முனை நான்கு.,3
புறநானூற்றுச்_சிறுகதைகள்,பரணர் கேட்ட பரிசு ஆறு.,4
புறநானூற்றுச்_சிறுகதைகள்,அடிப்படை ஒன்றுதான் ஏழு.,3
புறநானூற்றுச்_சிறுகதைகள்,நட்பின் கதை எட்டு.,3
புறநானூற்றுச்_சிறுகதைகள்,தலை கொடுத்த தர்மம் பதினொன்று .,4
புறநானூற்றுச்_சிறுகதைகள்,பறவையும் பாவலனும் பனிரண்டு .,3
புறநானூற்றுச்_சிறுகதைகள்,எளிமையும் வலிமையும் பதிமூன்று .,3
புறநானூற்றுச்_சிறுகதைகள்,புலவர் தூது பதினான்கு .,3
