work_title,sentence,sentence_length
இந்திய_நாத்திகமும்_மார்க்சீயத்_தத்துவமும்,இந்திய நாத்திகமும் மார்க்சீயத் தத்துவமும் நா.,5
இந்திய_நாத்திகமும்_மார்க்சீயத்_தத்துவமும்,﻿இந்திய நாத்திகமும் மார்க்சீயத் தத்துவமும் பேராசிரியர் நா.,6
இந்திய_நாத்திகமும்_மார்க்சீயத்_தத்துவமும்,"வானமாமலை விலை ரூ. அச்சிட்டவர் நியூ செஞ்சுரி பிரிண்டர்ஸ், சென்னை",8
இந்திய_நாத்திகமும்_மார்க்சீயத்_தத்துவமும்,உள்ளடக்கம் ⁠ முன்னுரை நான்கு ஒன்று.,5
இந்திய_நாத்திகமும்_மார்க்சீயத்_தத்துவமும்,இந்தியத் தத்துவச் சிந்தனை முழுவதும் கடவுள் கொள்கையா?,6
இந்திய_நாத்திகமும்_மார்க்சீயத்_தத்துவமும்,கடவுள் கருத்தின் துவக்கமும் காத்திகத்தின் தோற்றமும் இருபது நான்கு.,7
இந்திய_நாத்திகமும்_மார்க்சீயத்_தத்துவமும்,ஈஸ்வர வாதமும் இயற்கை வாதமும் இருபத்து நான்கு ஐந்து.,7
இந்திய_நாத்திகமும்_மார்க்சீயத்_தத்துவமும்,"ஆனால் இந்நூல் அந்நூலின் சுருக்கமோ, மொழிபெயர்ப்போ அன்று.",6
இந்திய_நாத்திகமும்_மார்க்சீயத்_தத்துவமும்,தேபி பிரஸாத் விளக்காமல் விட்டுவிட்ட பல கூறுகளை நான் விளக்கியுள்ளேன்.,8
இந்திய_நாத்திகமும்_மார்க்சீயத்_தத்துவமும்,"மார்க்ஸ், எங்கெல்ஸ், லெனின் கூற்றுக்களை அவர்கள் நூல்களில் இருந்தே மேற்கோளாகக் கொடுத்துள்ளேன்.",9
இந்திய_நாத்திகமும்_மார்க்சீயத்_தத்துவமும்,பொதுவாக இதுவோர் மூலநூல்.,3
இந்திய_நாத்திகமும்_மார்க்சீயத்_தத்துவமும்,"⁠இது எழுதக் காரணமாயிருந்தது தூத்துக்குடி படிப்பாளிகள் குழுவும், தேபி பிரஸாத்தின் நூலும்.",9
இந்திய_நாத்திகமும்_மார்க்சீயத்_தத்துவமும்,"இக்குழுவிற்கும், எனது நண்பர் தேவி பிரஸாத்திற்கும் நான் பெரிதும் கடமைப் பட்டுள்ளேன்.",9
இந்திய_நாத்திகமும்_மார்க்சீயத்_தத்துவமும்,⁠இதை வெளியிடும் நியூ செஞ்சுரி புக் ஹவுஸ் பிரைவேட் லிமிடெட் வெளியீட்டாளர்களுக்கு என் அன்பு கலந்த நன்றி.,13
இந்திய_நாத்திகமும்_மார்க்சீயத்_தத்துவமும்,⁠ ஆராய்ச்சி நா.,3
இந்திய_நாத்திகமும்_மார்க்சீயத்_தத்துவமும்,ராதாகிருஷ்ணன் தமது இந்திய தத்துவம் என்னும் நூலில் கீழ்வருமாறு கூறுகிறார் இந்திய தத்துவம் ஆன்மீகவயமானது.,11
