work_title,sentence,sentence_length
அன்னை_கஸ்தூரிபாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அன்னை கஸ்தூரிபாயின் நம்மை மேம்படுத்தும் எண்ணங்கள் என்.,6
அன்னை_கஸ்தூரிபாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,﻿அன்னை கஸ்தூரிபாயின் ﻿நம்மை மேம்படுத்தும் எண்ணங்கள் ﻿ புலவர் என்.வி.,9
அன்னை_கஸ்தூரிபாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"கலைமணி எம்.ஏ., பாரதி நிலையம் புதிய எண் உஸ்மான் ﻿ சாலை, தியாகராய﻿நகர், ﻿சென்னை",12
அன்னை_கஸ்தூரிபாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,மங்கையராகப் ﻿அன்னை கஸ்தூரிபாயின் நம்மை மேம்படுத்தும் எண்ணங்கள் ஒவ்வொரு ஆணுக்குப் பின்னாலும் ஒரு பெண் !,11
அன்னை_கஸ்தூரிபாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"ஒவ்வொரு பிரபலமான, வெற்றி பெற்ற ஆணுக்குப் பின்னால், நிச்சயமாக ஒரு பெண் இருப்பாள் என்பது ஆங்கிலப் பழமொழி !",13
அன்னை_கஸ்தூரிபாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"தாய்க்குப் பின் தாரம், இல்லாள் அகத்திருக்க இல்லாதது ஒன்றுமில்லை. என்பவை எல்லாம் தமிழ்நாட்டுப் பழமொழிகள் !",11
அன்னை_கஸ்தூரிபாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"ஏறுக்கு மாறாக மனைவி அமைந்தால், அவன் சந்தியாசம் பெறுவதே நல்லது என்று அவ்வைப் பெருமாட்டி கூறியுள்ளார்.",12
அன்னை_கஸ்தூரிபாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,எடுத்துக் காட்டாக ஒரு சம்பவத்தைப் பார்ப்போம்.,5
அன்னை_கஸ்தூரிபாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"அப்போது, அவர் தனது மனைவி கஸ்தூரிபாயையும் உடன் அழைத்துச் சென்றார்.",8
அன்னை_கஸ்தூரிபாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"காந்தியடிகள் வீட்டிற்குள் வந்ததும், பெண்கள் சட்ட மறுப்புப் போராட்டம் செய்யப் போவதைப் பற்றி என்னிடம் நீங்கள் என் கூறவில்லை?",14
அன்னை_கஸ்தூரிபாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,நான் என்ன அதற்குத் தகுதியற்றவளா?,4
