work_title,sentence,sentence_length
கிரேக்க_ஒலிம்பிக்_பந்தயங்கள்,கிரேக்க ஒலிம்பிக் பந்தயங்கள் டாக்டர்.,4
கிரேக்க_ஒலிம்பிக்_பந்தயங்கள்,கிரேக்க ஒலிம்பிக் பந்தயங்கள் பல்கலைப் பேரறிஞர் தேசிய விருதுபெற்ற பேராசிரியர் டாக்டர்.,9
கிரேக்க_ஒலிம்பிக்_பந்தயங்கள்,"நகர், சென்னை அறுநூறு  பதினேழு .",4
கிரேக்க_ஒலிம்பிக்_பந்தயங்கள்,அச்சிட்டோர் ⁠ எவரெடி பிரிண்டர்ஸ் தி.,5
கிரேக்க_ஒலிம்பிக்_பந்தயங்கள்,விளையாட்டுக் களஞ்சியம் எனும் மாத இதழை என் தந்தையார் இருபத்து நான்கு ஆண்டுகள் தொடர்ந்து நடத்தி வந்தார்.,13
கிரேக்க_ஒலிம்பிக்_பந்தயங்கள்,"அதில், பல்வேறு தலைப்புகளில் சுவையாக எழுதி வந்ததையாவரும் அறிந்ததே.",7
கிரேக்க_ஒலிம்பிக்_பந்தயங்கள்,தற்போது நாங்கள் ஒவ்வொன்றாக தொகுத்து தமிழ் மக்களுக்காக புத்தக வடிவில் வெளியிட்டு வருகிறோம்.,10
கிரேக்க_ஒலிம்பிக்_பந்தயங்கள்,துடித்தெழும் தமிழக இளைஞர் கூட்டம் ஒலிம்பிக் பந்தயம் சென்று வாகைசூடவேண்டும் என்ற பேரார்வத்தில் இந்நூலை உங்கள் முன் சமர்ப்பிக்கின்றேன்.,14
கிரேக்க_ஒலிம்பிக்_பந்தயங்கள்,லில்லி பவனம் சென்னை பதினேழு  ராஜ்மோகன் செல்லையா ﻿டாக்டர்.,7
கிரேக்க_ஒலிம்பிக்_பந்தயங்கள்,இவர் எழுதிய சிறந்த நூல்களுக்காக மூன்று முறை தேசிய விருது பெற்றுள்ளார்.,9
கிரேக்க_ஒலிம்பிக்_பந்தயங்கள்,தமிழக அரசின் விருதையும் பெற்றிருக்கிறார்.,4
கிரேக்க_ஒலிம்பிக்_பந்தயங்கள்,"விளையாட்டு ஆத்திச்சூடி, சிந்தனைப் பந்தாட்டம் முதலிய நூல்கள் இவரது கவித்திறனை விளக்கும் நூல்கள்.",10
கிரேக்க_ஒலிம்பிக்_பந்தயங்கள்,"உடற் கல்விக் கல்லூரியில் ஆய்வுத்துறைத் தலைவராகவும், பேராசிரியராகவும் பணியாற்றிய அனுபவமானது.",8
கிரேக்க_ஒலிம்பிக்_பந்தயங்கள்,"திருக்குறள் புதிய உரை எனும் நூலின் முழுமைக்கு, மேலும் செழுமை ஊட்டி இருக்கிறது.",10
கிரேக்க_ஒலிம்பிக்_பந்தயங்கள்,"விளையாட்டு இலக்கியத்திற்காக தான் வகித்து வந்த எல்லாப் பதவிகளையும் விட்டு விட்டு, முழுநேர எழுத்தாளராக வாழ்ந்து சாதித்துக் காட்டினார்.",14
கிரேக்க_ஒலிம்பிக்_பந்தயங்கள்,"முதன் முதலாக அகில இந்திய வானொலி நிகழ்ச்சிகளிலும் கடந்த முப்பது ஆண்டுகளாக, தேக நலத்தின் தேவைகளை தெளிவுபடுத்தினார்.",13
கிரேக்க_ஒலிம்பிக்_பந்தயங்கள்,"﻿தேசிய விருது பெற்ற நூலாசிரியர், பல்கலைப் பேரறிஞர் டாக்டர்.",7
கிரேக்க_ஒலிம்பிக்_பந்தயங்கள்,"முதன் முதலாக விளையாட்டுத் துறை பற்றி ஆய்வு செய்து, சென்னைப் பல்கலைக் கழகத்தில் டாக்டர் பட்டம் பெற்றவர் இவர்.",14
கிரேக்க_ஒலிம்பிக்_பந்தயங்கள்,விளையாட்டுக் களஞ்சியம் மாத இதழை ஓர் ஆயிரத்து தொள்ளாயிரத்து எழுபத்தேழு முதல் வெளியிட்டு அதன் ஆசிரியராகவும் பணியாற்றி வந்தார்.,14
கிரேக்க_ஒலிம்பிக்_பந்தயங்கள்,விளையாட்டு இசைப்பாடல்கள் என்னும் ஒலிநாடாவை ஓர் ஆயிரத்து தொள்ளாயிரத்து எழுபத்தெட்டு ம் ஆண்டு வெளியிட்டார்.,11
