work_title,sentence,sentence_length
ஹெர்க்குலிஸ்,ஹெர்க்குலிஸ் தியாகி ப.,3
ஹெர்க்குலிஸ்,﻿ஹெர்க்குலிஸ் சிறுவர் கதை ப.,4
ஹெர்க்குலிஸ்,இளமைப் பருவம் இரண்டு.,3
ஹெர்க்குலிஸ்,மன்னன் யூரிஸ்தியஸின் கட்டளை மூன்று.,4
ஹெர்க்குலிஸ்,நிமீ வனத்துச் சிங்கம் நான்கு.,4
ஹெர்க்குலிஸ்,ஒன்பது தலை நாகத்தை வதைத்தல் ஐந்து.,5
ஹெர்க்குலிஸ்,கலைமான் கொணர்தல் ஆறு.,3
ஹெர்க்குலிஸ்,எரிமாக்தஸ் மலைப்பன்றி ஏழு.,3
ஹெர்க்குலிஸ்,ஆஜியஸ் மன்னனின் தொழுவங்கள் எட்டு.,4
ஹெர்க்குலிஸ்,அசுர பலமுள்ள பறவைகள் ஒன்பது.,4
ஹெர்க்குலிஸ்,கிரீட் தீவின் காளையைக் கைப்பற்றுதல் பத்து.,5
ஹெர்க்குலிஸ்,திரேஸ் நாட்டுக் குதிரைகள் பதினொன்று .,4
ஹெர்க்குலிஸ்,அமெசான் இராணியின் ஒட்டியாணம் பனிரண்டு .,4
ஹெர்க்குலிஸ்,அசுரன் ஜிரியனின் ஆடுமாடுகள் பதிமூன்று .,4
ஹெர்க்குலிஸ்,தங்க ஆப்பிள் கனிகள் பதினான்கு .,4
ஹெர்க்குலிஸ்,பாதாள உலக யாத்திரை பதினைந்து .,4
ஹெர்க்குலிஸ்,இளமைப் பருவம் பண்டைக் காலத்துக் கிரேக்க வீரர்கள் பலரிலும் முதன்மையாகப் போற்றப்படுபவன் ஹெர்க்குலிஸ்.,10
ஹெர்க்குலிஸ்,"உடல் வலிமையிலும், வீரத்திலும், ஆற்றலிலும் அவனுக்கு நிகரானவரேயில்லை.",6
ஹெர்க்குலிஸ்,"மகாபாரதக் கதையில் வரும் பீமனைப் போல, அவன் கையிலே எப்பொழுதும் ஒரு கதாயுதத்தை வைத்துக்கொண்டிருப்பான்.",11
ஹெர்க்குலிஸ்,அதைக் கண்டாலே எதிரிகள் அஞ்சி நடுங்குவார்கள.,5
ஹெர்க்குலிஸ்,"அவன் பல கொடிய மிருகங்களை அடக்கியும், அழித்தும் மக்களுக்கு உதவி செய்தவன்.",9
ஹெர்க்குலிஸ்,பல போராட்டங்களில் ஈடுபட்டு அவன் வெற்றி பெற்றவன்.,6
ஹெர்க்குலிஸ்,"ஆகவே, அவனைப்பற்றிக் கிரீஸ் நாட்டில் பற்பல, கதைகள் தோன்றியிருந்தன.",7
ஹெர்க்குலிஸ்,கிரேக்கர்கள் அவனைப் பெரிதும் போற்றி வந்தனர்.,5
ஹெர்க்குலிஸ்,கிரேக்கப் பாணர்கள் அவனுடைய வரலாற்றை மக்களுக்குப் பாடல்களாகப் பாடிக் காட்டுவதில் சலிப்படைந்ததேயில்லை.,9
ஹெர்க்குலிஸ்,ஏற்கெனவே அல்க்மினா அம்பிட்ரியன் என்ற மன்னனுக்கு வாழ்க்கைப்பட்டிருந்தாள்.,6
ஹெர்க்குலிஸ்,"அந்தக் குழந்தை, மனிதர்கள்.",3
ஹெர்க்குலிஸ்,"மட்டுமன்றி, தேவர்களையும் காக்கக்கூடிய வல்லமை, பெற்றிருக்க வேண்டும் என்பது அவருடைய விருப்பம்.",9
ஹெர்க்குலிஸ்,உரிய காலத்தில் அல்க்மினா இரட்டைக் குழந்தைகளாக இரு பையன்களைப் பெற்றாள்.,8
ஹெர்க்குலிஸ்,ஹெராக்கிளிஸ் என்றால் கிரேக்க மொழியில் ஹீராவின் புகழ் என்று பொருள்.,8
ஹெர்க்குலிஸ்,ஹெராக்கிளிஸைப் பிற்காலத்தில் ரோமானியர் ஹெர்க்குலிஸ் என்று கூறி வந்தனர்.,7
ஹெர்க்குலிஸ்,அந்தப் பெயரே உலகில் அதிகமாய்ப் பரவிவிட்டது.,5
ஹெர்க்குலிஸ்,அரண்மனையிலும் வெளியிலும் ஒரே அமைதியாயிருந்தது.,4
ஹெர்க்குலிஸ்,அந்த நேரத்தில் குழந்தைகள் இருந்த அறையில் எங்கிருந்தோ இரண்டு நாகங்கள் உள்ளே ஊர்ந்து வந்தன.,11
ஹெர்க்குலிஸ்,அவைகளின் சீறலைக் கேட்ட பையன்கள் இருவரும் விழித்து எழுந்துவிட்டனர்.,7
ஹெர்க்குலிஸ்,அவனுடைய பிடியினால் வேதனையுற்ற நாகங்கள் தங்கள் வால்களால் தரையில் ஓங்கியடித்துத் துடித்துக்கொண்டிருந்தன.,9
ஹெர்க்குலிஸ்,"இபிக்ளிஸ், நாகங்களைக் கண்டவுடனே பதறி நடுங்கித் துள்ளியதில், கேடயத்திற்கு வெளியே தரையில் போய் விழுந்தான்.",11
