work_title,sentence,sentence_length
சுழலில்_மிதக்கும்_தீபங்கள்,"﻿சுழலில் மிதக்கும் தீபங்கள் ராஜம் கிருஷ்ணன் தாகம் பதினொன்று , சிவப்பிரகாசம் தெரு பாண்டி பஜார் தி.",12
சுழலில்_மிதக்கும்_தீபங்கள்,மனித நேயம் தேய்ந்து வரும் இந்நாளில் இவர் காட்டும் சில கதாபாத்திரங்கள் தம்முள் நம்பிக்கையை மலரச் செய்கின்றன.,13
சுழலில்_மிதக்கும்_தீபங்கள்,"கண்ணிருந்தும் குருடராய், வாயிருந்தும் ஊமையராய், சுமைதாங்கியாய், மேலும் நகை தாங்கிகளாய் நம்முள் உலா வரும் பெண்கள் பலப் பலர்.",14
சுழலில்_மிதக்கும்_தீபங்கள்,இப்படியாகக் குழம்பும் பண்பாட்டுத் தெளிவின்மைக்கு ஒர் நல்ல தெளிவைத் தருகிறது இந்நாவல்.,9
சுழலில்_மிதக்கும்_தீபங்கள்,சமூக அவலங்களைச் சுட்டிக் காட்டுவதுடன் நாம் எங்கே போகவேண்டும்.,7
சுழலில்_மிதக்கும்_தீபங்கள்,என்ற பாதையையும் தெளிவாக்கிக் காட்டுகிறது.,4
சுழலில்_மிதக்கும்_தீபங்கள்,இந்த நல்ல நாவலை வெளியிடும் வாய்ப்பினை எமக்கு அளித்த திருமதி ராஜம் கிருஷ்ணன் அவர்கட்கு நன்றி.,12
சுழலில்_மிதக்கும்_தீபங்கள்,தாகம் உள்ளடக்கம் அத்யாயம் ⁠ ஒன்று.,5
சுழலில்_மிதக்கும்_தீபங்கள்,ஐந்து ⁠ இரண்டு.,3
சுழலில்_மிதக்கும்_தீபங்கள்,பதினொன்று  ⁠ மூன்று.,3
சுழலில்_மிதக்கும்_தீபங்கள்,இருபத்து மூன்று ⁠ நான்கு.,4
சுழலில்_மிதக்கும்_தீபங்கள்,இருபத்தொன்பது ⁠ ஐந்து.,3
சுழலில்_மிதக்கும்_தீபங்கள்,முப்பத்து மூன்று ⁠ ஆறு.,4
சுழலில்_மிதக்கும்_தீபங்கள்,நாற்பத்து மூன்று ⁠ ஏழு.,4
சுழலில்_மிதக்கும்_தீபங்கள்,ஐம்பத்திரண்டு ⁠ இரண்டாவது பாகம்.,4
சுழலில்_மிதக்கும்_தீபங்கள்,ஐம்பத்தெட்டு ⁠ எட்டு.,3
சுழலில்_மிதக்கும்_தீபங்கள்,அறுபது ⁠ ஒன்பது.,3
சுழலில்_மிதக்கும்_தீபங்கள்,அறுபத்து நான்கு ⁠ பத்து.,4
சுழலில்_மிதக்கும்_தீபங்கள்,எழுபத்தொன்று ⁠ பதினொன்று .,3
சுழலில்_மிதக்கும்_தீபங்கள்,எழுபத்தேழு ⁠ பனிரண்டு .,3
சுழலில்_மிதக்கும்_தீபங்கள்,தொன்னூற்று மூன்று ⁠ பதிமூன்று .,4
சுழலில்_மிதக்கும்_தீபங்கள்,நூற்றி மூன்று ⁠ பதினான்கு .,4
சுழலில்_மிதக்கும்_தீபங்கள்,நூற்றி பனிரண்டு  ⁠ பதினைந்து .,4
சுழலில்_மிதக்கும்_தீபங்கள்,நூற்றி பதினேழு  ⁠ பதினாறு .,4
சுழலில்_மிதக்கும்_தீபங்கள்,"அம்மா, ஜமேதாரி வந்திருக்கா ! என்று அறிவித்துக் கொண்டு சாரு சமையலறைக்குள் வருகிறாள்.",9
சுழலில்_மிதக்கும்_தீபங்கள்,"காலங்காத்தால, பல்லுக்கூடத் தேய்க்காம... சை ! பன்னிரண்டு வயசுக்கு எந்தப் பொறுப்பும் தெரியாத தீனிப்பட்டறை !",10
சுழலில்_மிதக்கும்_தீபங்கள்,"உடம்பு பக்கவாட்டில் வளாச்சி பெற்று விகாரம் என்று சொல்லும் எல்லைக்குப் போயாகி விட்டது ஏ, கழுதை !",12
சுழலில்_மிதக்கும்_தீபங்கள்,குருவியை வேடிக்கை பார்க்கிறியே?,3
சுழலில்_மிதக்கும்_தீபங்கள்,வந்தனாவுக்கு வாசக்கதவைத் திறந்து விடு?,4
சுழலில்_மிதக்கும்_தீபங்கள்,உள்வழியே வந்து கச்சடா டப்பாவை எடுத்துக்கட்டும் ! பாட்டி ரூம்ல எழுந்து உக்காந்திண்டிருக்கா ! இது எச்சரிக்கைக் குரல்.,12
சுழலில்_மிதக்கும்_தீபங்கள்,"பாட்டியின் அறையில் இருந்து மொட்டை மாடிக்கும், அவளுடைய குளியலறைக்கும் வரலாம்.",8
சுழலில்_மிதக்கும்_தீபங்கள்,மொட்டை மாடியில்தான் கச்சடா டப்பா எனப் பெறும் குப்பைத் தொட்டி வைக்கப்பட்டிருக்கிறது.,9
சுழலில்_மிதக்கும்_தீபங்கள்,கீழ்ப்புறம் விசையுள்ள மூடித்திறக்கக் கூடிய சுகாதாரமான குப்பைத் தொட்டிதான் என்றாலும் அதற்குரிய இடம் வெளிப்புற மூலை.,12
சுழலில்_மிதக்கும்_தீபங்கள்,அதை அன்றாடம் துப்புரவு செய்ய வரும் துப்புரவுக்காரியும் வீட்டுக்குள் வரக்கூடாது என்பது பாட்டியின் இன்னொரு சட்டம்.,12
சுழலில்_மிதக்கும்_தீபங்கள்,வந்தனாவை ஜமேதாரி என்று சொன்னாலே கோபித்துக் கொள்வாள்.,6
சுழலில்_மிதக்கும்_தீபங்கள்,என் பேரைச் சொல் ! என்று ஆணையிடுவாள்.,5
சுழலில்_மிதக்கும்_தீபங்கள்,அவள் குப்பை எடுத்துச் செல்பவளாகவா தோற்றமளிக்கிறாள்?,5
சுழலில்_மிதக்கும்_தீபங்கள்,கால்களிலுள்ள செருப்பைக்கூட வாயிலிலேயே கழற்றி விட்டுத் தான் நீண்ட நடை கடந்து வருகிறாள்.,10
சுழலில்_மிதக்கும்_தீபங்கள்,"தன் கைவாளியில் குப்பையைக் கவிழ்த்துவிட்டு, தொட்டியைச் சுத்தம் செய்ய, கிரிஜா தண்ணி கொண்டு வந்து ஊற்றுகிறாள்.",12
சுழலில்_மிதக்கும்_தீபங்கள்,"துப்புரவாக வடித்து, அடியில் ஒரு காகிதமும் போட்டுவிட்டு, துடைப்பமும் வாளியுமா வந்தனா போகிறாள்.",10
சுழலில்_மிதக்கும்_தீபங்கள்,மணி ஆறரை அடித்தாயிற்று.,3
சுழலில்_மிதக்கும்_தீபங்கள்,பெரிய பெண் கவிதா இன்னமும் எழுந்திருக்கவில்லை.,5
சுழலில்_மிதக்கும்_தீபங்கள்,ஏழரைக்குள் வீட்டை விட்டுக் கிளம்பியாக வேண்டும்.,5
சுழலில்_மிதக்கும்_தீபங்கள்,"சாரு, கவிய எழுப்பு !",3
சுழலில்_மிதக்கும்_தீபங்கள்,"அஞ்சுமணிக்கு எழுப்பு, அஞ்சரைக்கு எழுப்பு ம்பா, எழுப்பினா எழுந்திருந்தாதானே? வேலைக்காரி வருவதற்கு ஒன்பது மணியாகும்.",11
சுழலில்_மிதக்கும்_தீபங்கள்,அதற்குள் வந்தனா வந்துபோன இடத்தைத் தண்ணிர் தெளித்துத் துடைக்கிறாளா மருமகள் என்று கிழவி பார்த்துக் கொண்டிருப்பாள்.,12
சுழலில்_மிதக்கும்_தீபங்கள்,கிரிஜாவுக்கு நெஞ்சுக்குள் ஏதோ ஒன்று முள்ளாய் நெருட பெருக்கித் துடைக்கிறாள்.,8
சுழலில்_மிதக்கும்_தீபங்கள்,வந்தனா வாஷ்பேஷின் குளியலறை நெடுகிலும் நன்றாகச் சுத்தம் செய்வாள்.,7
சுழலில்_மிதக்கும்_தீபங்கள்,ஆனால் இந்த மாமியாரின் ஆணை அவை எல்லாவற்றையும் மருமகளுக்கு ஒதுக்கி யிருக்கிறாள்.,9
சுழலில்_மிதக்கும்_தீபங்கள்,"குளித்து, மடியில்லாத சமையல் ஒன்று முடித்து குழந்தைகளைப் பள்ளிக்கு அனுப்ப வேண்டும்.",9
சுழலில்_மிதக்கும்_தீபங்கள்,குழந்தைகளின் தந்தை வெளிநாட்டுப் பயணம் போயிருக்கிறார்.,5
சுழலில்_மிதக்கும்_தீபங்கள்,அடுத்த வாரம் திரும்பி விடுவார்.,4
சுழலில்_மிதக்கும்_தீபங்கள்,அதுவரையிலும் அந்த நெருக்கடிக்கு விடுதலை.,4
சுழலில்_மிதக்கும்_தீபங்கள்,குளிரலமாரியில் முதல் நாளைய குழம்பும் கூட்டும் இருக்கிறது.,6
சுழலில்_மிதக்கும்_தீபங்கள்,"அவற்றைக் கொதிக்க வைத்து, சோறு மட்டும் குக்கரில் பொங்கி வைத்து, இவர்கள் சாப்பாட்டை முடிக்கலாம்.",11
சுழலில்_மிதக்கும்_தீபங்கள்,பகலுக்குத் தான் சீஸ்கறி ஸாண்ட் விட்ச் பண்ணி டப்பிகளில் போட்டாயிற்று.,8
சுழலில்_மிதக்கும்_தீபங்கள்,"கடைக்குட்டி பரத்துக்கு எழுந்து வந்ததும் அம்மாவைக் கட்டிக் கொண்டாக வேண்டும், இவனுக்கு ஒன்பது வயது தான்.",12
சுழலில்_மிதக்கும்_தீபங்கள்,"அம்மா, எனக்கு கிரெயான் கலர் வேணும்.",5
சுழலில்_மிதக்கும்_தீபங்கள்,மிஸ் கொண்டு வரச்சொல்லி இருக்கா... அதுக்கு இப்பத்தான் சொல்றதா?,7
சுழலில்_மிதக்கும்_தீபங்கள்,"இவர்கள் வெளியேறி சந்தடி அடங்கிய பின்னரே, மாமியார் காலைக் கடன்களை முடிக்க வருவாள்.",10
சுழலில்_மிதக்கும்_தீபங்கள்,"மூன்று படுக்கையறைகளும், இரண்டு குளியலறைகளும் கொண்ட இந்த முதல் மாடிக் குடியிருப்புக்குச் சுளையாக மூவாயிரத்தைந்நூறு வாடகை.",12
சுழலில்_மிதக்கும்_தீபங்கள்,"இந்தியத் தலைநகரில், அரசுக் குடியிருப்புக்கள் முக்கியத்துவம் பெற்றவை.",6
சுழலில்_மிதக்கும்_தீபங்கள்,"இந்த வாடகையை, அவர்களுக்காக அவன் சார்ந்திருக்கும் வியாபார நிறுவனம் கொடுக்கிறது.",8
சுழலில்_மிதக்கும்_தீபங்கள்,"மாலையிலோ, இரவிலோ குளிப்பாள்... க்ளோஸெட் டை ஃப்ளஷ் செய்யக் கூடாது?",8
சுழலில்_மிதக்கும்_தீபங்கள்,கிரிஜா ஆத்திரமும் அருவருப்புமாகச் சுத்தம் செய்கிறாள்.,5
சுழலில்_மிதக்கும்_தீபங்கள்,"மாமியாருக்குக், கெய்ஸ்ரைப் போட்டுவிட்டு, கடைக் குட்டிப் பையனைப் பள்ளிக்கு அனுப்பச் சித்தம் செய்கிறாள்.",10
