work_title,sentence,sentence_length
ஆல்பர்ட்_ஐன்ஸ்டைனின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,ஆல்பர்ட் ஐன்ஸ்டைனின் நம்மை மேம்படுத்தும் எண்ணங்கள் என்.,6
ஆல்பர்ட்_ஐன்ஸ்டைனின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,ஆல்பர்ட் ஐன்ஸ்டைனின்﻿ நம்மை மேம்படுத்தும் எண்ணங்கள் புலவர் என்.,7
ஆல்பர்ட்_ஐன்ஸ்டைனின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"ஆல்பர்ட் ஐன்ஸ்டைனுக்கு முன்பு, மேடம் கியூரி தம்பதிகள், அணுவைப் பிளக்க முடியும் என்பதை முதன் முதலில் அவனிக்கு அறிவித்தார்கள்.",14
ஆல்பர்ட்_ஐன்ஸ்டைனின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,என்பதை அறிந்து நம்மால் வியக்காமல் இருக்க முடிய வில்லை.,7
ஆல்பர்ட்_ஐன்ஸ்டைனின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,என்ற மலராரம் மணந்து கொண்டிருப்பதை நாம் இன்றும் நுகரலாம்.,7
ஆல்பர்ட்_ஐன்ஸ்டைனின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,கவி பாடுவதில் அவர் மன்னர் மன்னனாக விளங்கியவர்.,6
ஆல்பர்ட்_ஐன்ஸ்டைனின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அவர் எழுதிய இராம காதை யில் ஓர் பகுதி இரண்ய வதைப் படலம்.,10
ஆல்பர்ட்_ஐன்ஸ்டைனின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,மாவீரன் இரண்யன் தனது மகன் பிரகலாதனைப் பார்த்து.,6
ஆல்பர்ட்_ஐன்ஸ்டைனின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"அதாவது, ஒரு சாண் அளவுள்ள இடத்திலும் கடவுளே இருக்கிறார், இங்கே நிற்கின்ற இந்தத் தூணிலும் கடவுள் உள்ளார்.",13
ஆல்பர்ட்_ஐன்ஸ்டைனின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அணு என்பதே சிறு துண் பொருள் !,5
ஆல்பர்ட்_ஐன்ஸ்டைனின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"கோன் என்று பெயர் வைத்தார் என்றால், கம்பர் பெருமானை நாம் எப்படிப் புகழ்வது?",10
ஆல்பர்ட்_ஐன்ஸ்டைனின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,என்ன பரிசு கொடுப்பது?,3
ஆல்பர்ட்_ஐன்ஸ்டைனின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,எவனுக்கு எந்த மன்னனுக்கு அந்த அறிவியல் உணர்வு இருந்தது?,7
ஆல்பர்ட்_ஐன்ஸ்டைனின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"என்று நாம் எண்ணும்போது, கம்பன் பிறந்த நாட்டிலே பிறந்த மண் பெருமைதான் நமக்கு மிகுதி இல்லையா?",12
ஆல்பர்ட்_ஐன்ஸ்டைனின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அணு வை ஆட்டம் என்பார்கள் ஆங்கிலத்தில் !,5
