work_title,sentence,sentence_length
சீர்மிகு_சிவகங்கைச்_சீமை,சீர்மிகு சிவகங்கைச் சீமை எஸ்.,4
சீர்மிகு_சிவகங்கைச்_சீமை,"சிவநேயச் செல்வர், திருத்தொண்டர்.",3
சீர்மிகு_சிவகங்கைச்_சீமை,"திரு வே.ஸ்ரீரங்கராஜன் பி.ஏ., தலைவர், பசும்பொன் மாவட்ட கலை இலக்கிய வரலாற்று ஆய்வு மையம், சிவகங்கை.",14
சீர்மிகு_சிவகங்கைச்_சீமை,"புலவர் டாக்டர் திரு செ.இராசு, கல்வெட்டியல் துறை, தமிழ்ப் பல்கலைக்கழகம், தஞ்சாவூர்.",10
சீர்மிகு_சிவகங்கைச்_சீமை,"செந்தமிழ்ப்புலவர் டாக்டர் திரு புரட்சிதாசன், வசந்தமகால், பதினேழு  வடக்கு போக் சாலை, சென்னை பதினேழு .",11
சீர்மிகு_சிவகங்கைச்_சீமை,திரு வி.எஸ்.குமரகுரு பி.ஏ.பி.எல்.,8
சீர்மிகு_சிவகங்கைச்_சீமை,"மேலாளர், சிவகங்கை தேவஸ்தானம், சிவகங்கை.",4
சீர்மிகு_சிவகங்கைச்_சீமை,"ஆணையர் மற்றும் அலுவலர்கள் தமிழ்நாடு அரசு ஆவணக்காப்பகம், சென்னை எட்டு.",8
சீர்மிகு_சிவகங்கைச்_சீமை,நூலாசிரியர் ﻿முதல்வரிடமிருந்து பரிசு பெறுகிறார் ஆசிரியர்.,5
சீர்மிகு_சிவகங்கைச்_சீமை,மறவர் சீமையின் தலைநகரான இராமநாதபுரத்தில் பிறந்தவர்.,5
சீர்மிகு_சிவகங்கைச்_சீமை,நாற்பது ஆண்டுகள் தமிழ் நாடு அரசுப் பணியில் சிறப்பாக பணியாற்றி ஓய்வு பெற்றவர்.,10
சீர்மிகு_சிவகங்கைச்_சீமை,"கலை, இலக்கியம், வரலாறு, அகழ்வாய்வு, கல்வெட்டு, செப்பேடு ஆகிய துறைகளில் நல்ல ஆய்வும் அனுபவ முதிர்வும் உடையவர்.",13
சீர்மிகு_சிவகங்கைச்_சீமை,அட்டையில்... ﻿ முன் அட்டை சிவகங்கை அரண்மனையின் முகப்புத் தோற்றம்.,8
சீர்மிகு_சிவகங்கைச்_சீமை,சிவகங்கைச் சீமையின் முதல் மன்னர் சசிவர்ணத் தேவரின் சிற்பம்.,7
சீர்மிகு_சிவகங்கைச்_சீமை,சிவகங்கை அரண்மனையின் முகப்பில் அமைந்துள்ள ராணி வேலு நாச்சியார் சிலை.,8
சீர்மிகு_சிவகங்கைச்_சீமை,பின் அட்டை விடுதலைப் போரில் முதல் களப்பலியான சிவகங்கைச் சீமையின் இரண்டாவது மன்னர் முத்துவடுகநாதத் தேவர்.,12
சீர்மிகு_சிவகங்கைச்_சீமை,சிவகங்கைச் சீமை அறிமுகம்.,3
சீர்மிகு_சிவகங்கைச்_சீமை,சீமையாளும் உரிமை சசிவர்ணருக்கே.,3
சீர்மிகு_சிவகங்கைச்_சீமை,இறவாப்புகழ் கொண்ட இரண்டாவது மன்னர்.,4
சீர்மிகு_சிவகங்கைச்_சீமை,ஆற்காட்டு நவாப்பின் ஆட்சி.,3
சீர்மிகு_சிவகங்கைச்_சீமை,விருபாட்சியில் வேலு நாச்சியார்.,3
சீர்மிகு_சிவகங்கைச்_சீமை,மீண்டும் தன்னரசு நிலை.,3
சீர்மிகு_சிவகங்கைச்_சீமை,இன்னலில் மறைந்த இறுதி மன்னர்.,4
சீர்மிகு_சிவகங்கைச்_சீமை,சிவகங்கை ஜமீன்தாரி ஒரு கண்ணோட்டம்.,4
சீர்மிகு_சிவகங்கைச்_சீமை,சேது மன்னர் வழியில் செந்தமிழ்ப் பணி.,5
சீர்மிகு_சிவகங்கைச்_சீமை,வேண்டும் விடுதலை எங்கும்.,3
சீர்மிகு_சிவகங்கைச்_சீமை,சிவகங்கை வரலாற்றை சீரழித்த நூல்கள்.,4
சீர்மிகு_சிவகங்கைச்_சீமை,பயன்பட்ட நூல்கள் மற்றும் ஆவணங்கள்.,4
சீர்மிகு_சிவகங்கைச்_சீமை,﻿இந்த நூலைப்பற்றி... நாடு விடுதலையடைந்து பல ஆண்டுகளாகி விட்டன.,7
சீர்மிகு_சிவகங்கைச்_சீமை,அவைகளில் சிறப்பாக தாயகத்தின் உண்மை வரலாறும் இடம் பெற்றிருக்க வேண்டும்.,8
சீர்மிகு_சிவகங்கைச்_சீமை,ஆனால் மன நிறைவு தரும் வரலாற்று நூல்கள் மிகக்குறைவான எண்ணிக்கையில் வரையப்பட்டுள்ளன.,9
சீர்மிகு_சிவகங்கைச்_சீமை,பதினைந்தாவது நூற்றாண்டு முதல் பதினெட்டாம் நூற்றாண்டு வரையிலான தமிழக வரலாறு இன்னும் சரியாகத் தொகுக்கப்படவில்லை.,11
சீர்மிகு_சிவகங்கைச்_சீமை,கி.பி.முதல் தொடங்கிய இந்தத் தன்னரசு பற்றி தொன்மையான சான்றாவணங்கள் எதுவும் கிடைக்காத நிலை.,12
சீர்மிகு_சிவகங்கைச்_சீமை,அவர்களுக்கும் எனது நன்றிகள்.,3
சீர்மிகு_சிவகங்கைச்_சீமை,ஆனால் வரலாற்று உணர்வு சிறிதும் இல்லாத சமுதாயம் தமிழ் சமுதாயமே என்றால் அது மிகையாகாது.,11
சீர்மிகு_சிவகங்கைச்_சீமை,மிகப் பழமையான நாகரீகமான கிரேக்க நாகரீகத்தின் வரலாற்றை குறித்து வைக்க தூசிடைஸ் கிடைத்தது போல் நமக்கு ஒருவர் கிடைக்கவில்லை.,14
சீர்மிகு_சிவகங்கைச்_சீமை,பெரும்பாலும் வழி வழிச் செய்திகளை நம்பியே தமது வரலாறுகள் வாழ்ந்து கொண்டிருப்பது வேதனைக்குரிய விஷயம்.,11
சீர்மிகு_சிவகங்கைச்_சீமை,"கல்வெட்டுகள், செப்பேடுகள், ஒலை முறிகள் போன்ற வரலாற்றுப் பொக்கிஷங்களை பேணி காக்கத் தவறி விட்டோம்.",11
சீர்மிகு_சிவகங்கைச்_சீமை,கோயில்களில் உள்ள கல்வெட்டுகளை பெயர்த்தும் தகர்த்தும் பூசியும் பெரும்பாலும் சிதைத்து அழித்து வருகிறோம்.,10
சீர்மிகு_சிவகங்கைச்_சீமை,கல்விக் கூடங்களில் வரலாற்றை விரும்பிப் படிக்கும் மாணவர்களின் எண்ணிக்கையும் அருகிக் கொண்டே வருவது கண்கூடு.,11
சீர்மிகு_சிவகங்கைச்_சீமை,விஞ்ஞானப் பாடங்களுக்கு உள்ள மரியாதை சரித்திரப் பாடங்களுக்கு இல்லாமற் போய்விட்டது.,8
சீர்மிகு_சிவகங்கைச்_சீமை,பெரும்பாலும் அப்படிப்பட்டவர்களின் நோக்கமெல்லாம் ஒரு குறிப்பிட்ட நோக்கத்தோடு வரலாற்றை தன் பக்கம் திருப்பும் முயற்சியாகவே முடிந்து விட்டது.,13
சீர்மிகு_சிவகங்கைச்_சீமை,சிவகங்கை சீமையின் வரலாறு என்பது இன்றைய பசும்பொன் முத்துராமலிங்கத் தேவர் மாவட்டத்தின் வரலாறே ஆகும்.,11
சீர்மிகு_சிவகங்கைச்_சீமை,இந்தப் புதிய மாவட்டத்தின் வரலாறு முறையாக தொகுக்கப்பட வேண்டும் என்பது ﻿எங்கள் மையத்தின் ஆசை.,11
சீர்மிகு_சிவகங்கைச்_சீமை,இந்த ஆசையை நிறைவேற்றி வைப்பது யார்?,5
சீர்மிகு_சிவகங்கைச்_சீமை,இதை தீர்மானிப்பதில் எங்களுக்கு எந்தச் சிரமமும் இருக்கவில்லை.,6
சீர்மிகு_சிவகங்கைச்_சீமை,அத்தகைய எண்ணம் எழுந்ததும் எங்கள் நினைவிற்கு வந்தவர் டாக்டர் எஸ்.எம்.கமால்.,10
சீர்மிகு_சிவகங்கைச்_சீமை,இந்த மாவட்டம் பிரிக்கப்படாமல் இராமநாதபுரமாக இருந்தபோது அதன் தொடர்புடைய வரலாற்று நூல்களை எழுதி அரசாலும் ஆய்வாளர்களாலும் பாராட்டப்பட்டவர்.,13
சீர்மிகு_சிவகங்கைச்_சீமை,வே.ஸ்ரீரங்கராஜன் பசும்பொன் மாவட்ட கலை இலக்கிய வரலாற்று ஆய்வு மையம் சிவகங்கை ﻿﻿அணிந்துரை முனைவர் கோ.,13
சீர்மிகு_சிவகங்கைச்_சீமை,பனிரண்டு  ஆவது இயல் இந்திய விடுதலைப் போராட்டத்தில் சிவகங்கைச் சீமையின் பங்கு பற்றி விளக்குகிறது.,11
சீர்மிகு_சிவகங்கைச்_சீமை,பதிமூன்று  ஆவது இயல் சிவகங்கை வரலாறு குறித்து முன்னர் எழுதப்பட்ட நூல்களைப் பற்றிய விமர்சனமும் விளக்கமுமாக அமைந்துள்ளது.,13
சீர்மிகு_சிவகங்கைச்_சீமை,"சிவகங்கைச் சீமை பற்றிய அனைத்துச் செய்திகளையும் உள்ளடக்கியதாகவும், நடுநிலையோடு எழுதப்பட்டதாகவும் இந்நூல் அமைந்துள்ளது.",10
சீர்மிகு_சிவகங்கைச்_சீமை,"ஆசிரியர் தொகுத்துத் தந்துள்ள முதன்மை, துணைமை ஆதாரங்கள் அவர்தம் உழைப்பினை நமக்குப் புலப்படுத்துகின்றன.",10
சீர்மிகு_சிவகங்கைச்_சீமை,"முதன்முதலாக ஆசிரியர் அரிதின் முயன்று தொகுத்தளித்துள்ள செப்பேடுகள் வரலாற்றாய்வாளர்கட்கும், சமூகவியல் ஆய்வாளர்கட்கும் கிடைத்த ஒரு புதையல் என்றே சொல்லலாம்.",14
சீர்மிகு_சிவகங்கைச்_சீமை,ஆசிரியர் ஏற்கனவே சேதுபதிகளின் செப்பேடுகளை வெளியிட்டுப் புகழ்பெற்றவர்.,6
சீர்மிகு_சிவகங்கைச்_சீமை,இப்போது சிவகங்கைச் செப்பேடுகளை வெளியிட்ட முதல் வரலாற்று ஆசிரியராகவும் சிறப்புப் பெறுகிறார்.,9
சீர்மிகு_சிவகங்கைச்_சீமை,இந்நூலை விரைவில் மீண்டும் அச்சேற்ற நூலாசிரியரே ஆவன செய்ய வேண்டும்.,8
சீர்மிகு_சிவகங்கைச்_சீமை,"ஆசிரியர் இறுதியில் கொடுத்துள்ள இணைப்புகள் இலக்கிய, சமூக, கோயில் வரலாற்று ஆய்வாளர்கட்கும் பெரிதும் துணை செய்யும் தகவல்கள்.",13
சீர்மிகு_சிவகங்கைச்_சீமை,ஆசிரியருக்கு நம் பாராட்டுக்கள்.,3
சீர்மிகு_சிவகங்கைச்_சீமை,ஆசிரியர் எழுதியுள்ள இருநூல்கள் ஏற்கனவே பரிசுகள் பெற்றுள்ளன.,6
சீர்மிகு_சிவகங்கைச்_சீமை,இந்நூலும் அவ்வாறே பரிசு பெறும் என நாம் நம்புகிறோம்.,7
சீர்மிகு_சிவகங்கைச்_சீமை,ஆசிரியர் இன்னும் பலப்பல நூல்கள் இதுபோல எழுதி வழங்க வேண்டுமென விழைகின்றேன்.,9
சீர்மிகு_சிவகங்கைச்_சீமை,ஆசிரியருக்கு என் நல்வாழ்த்துக்கள்.,3
சீர்மிகு_சிவகங்கைச்_சீமை,"அன்பன், கோ.விசயவேணுகோபால் மதுரை.",4
சீர்மிகு_சிவகங்கைச்_சீமை,"இந்தக் காசு, சசிவர்ணத் தேவர் சிவகங்கைச் சீமைக்கு மன்னரானவுடன், மக்களின் புழக்கத்திற்காக வெளியிட்டிருக்கலாம்.",10
சீர்மிகு_சிவகங்கைச்_சீமை,"செம்புக் காசின் முன் பக்கத்தில், ஒரு சிவலிங்கம் காணப்படுகிறது.",7
சீர்மிகு_சிவகங்கைச்_சீமை,"லிங்கத்திற்கு அழகூட்ட, இதன் மேல் பகுதியில் ஒரு தொடர் மாலை போடப்பட்டுள்ளது.",9
சீர்மிகு_சிவகங்கைச்_சீமை,பின்பக்கத்தில் தமிழில் சசிவறனன என்று மூன்று வரிகளில் எழுதப்பட்டுள்ளது.,7
சீர்மிகு_சிவகங்கைச்_சீமை,காசிலிங்கம் காணப்படுவதால் மன்னர் சிறந்த சிவ ஞான பக்தராக இருக்க வேண்டும் என்பதில் ஐயமில்லை.,11
சீர்மிகு_சிவகங்கைச்_சீமை,சிவகங்கைச் சீமையைத் தோற்றுவித்தவர் சசிவர்ணத் தேவரே ஆகும்.,6
சீர்மிகு_சிவகங்கைச்_சீமை,"தகவல் அளக்குடி ஆறுமுக சீதாராமன், தஞ்சை ஏழு.",6
சீர்மிகு_சிவகங்கைச்_சீமை,"இந்த முத்தமிழ் மன்னர்களில் சங்கம் வைத்து தமிழ் வளர்த்த பாண்டியனது நாடு, தமிழகத்தின் தெற்குப் பகுதியில் அமைந்து இருந்தது.",14
சீர்மிகு_சிவகங்கைச்_சீமை,"காலச் சுழற்சியில், பாண்டியரது வாளின் வலிமையைப் பொறுத்து இந்த எல்லைகளில் பெருக்கமும், சுருக்கமும் ஏற்பட்டதை வரலாற்றால் அறிகின்றோம்.",13
சீர்மிகு_சிவகங்கைச்_சீமை,மாறவர்மன் சுந்தர பாண்டியன் தஞ்சையும் உறந்தையும் செந்தழல் கொளுத்தி சிதம்பரத்தில் வீராபிஷேகம் செய்து கொண்டான்.,11
சீர்மிகு_சிவகங்கைச்_சீமை,"இன்னொரு பாண்டியன் வடக்கே, நெல்லூர் வரை சென்று வாளால் வழி திறந்தான், எனப்புகழப்பட்டான்.",10
சீர்மிகு_சிவகங்கைச்_சீமை,ஒன்று கோச்சடையான் குலசேகர பாண்டியன் குடநாட்டை வென்று கொல்லங்கொண்டான் என்ற விருதைப் பெற்றான்.,10
சீர்மிகு_சிவகங்கைச்_சீமை,"பஞ்ச பாண்டவர்களில் ஒருவரான அர்ஜுனன், பாண்டியனது மகளை மணந்தான் என மகாபாரதம் குறித்துள்ளது.",10
சீர்மிகு_சிவகங்கைச்_சீமை,தெற்கேயுள்ள பாண்டியரையும் வென்று பாண்டிய நாட்டை சோழ நாட்டின் ஒரு பகுதியாக மாற்றிக் கொண்டது.,11
சீர்மிகு_சிவகங்கைச்_சீமை,"அப்பொழுது பாண்டிய நாடு, சோழ பாண்டிய மண்டலம் எனப் பெயர் பெற்று இருந்தது.",10
சீர்மிகு_சிவகங்கைச்_சீமை,மூன்றாவது குலோத்துங்க சோழனுக்குப் பிறகு சோழப் பேரரசு சிதைந்தது.,7
சீர்மிகு_சிவகங்கைச்_சீமை,இந்தச் சூழ்நிலையில் பாண்டியர்களும் தங்களது பழமையை எய்துவதற்கு முயன்றனர்.,7
சீர்மிகு_சிவகங்கைச்_சீமை,மதுரையில் டில்லி சுல்த்தானின் படையணியும் கி.பி.முதல் நிரந்தரமாக நிலைகொண்டது.,9
சீர்மிகு_சிவகங்கைச்_சீமை,ஓர் ஆயிரத்து முன்னூற்று எழுபத்தெட்டு ல் முடிந்தது.,6
சீர்மிகு_சிவகங்கைச்_சீமை,"ஐந்து இந்த சுல்தான்களது கல்வெட்டுக்கள் திருக்கோலக்குடி, கண்டதேவி ஆகிய ஊர்களில் உள்ளன.",9
சீர்மிகு_சிவகங்கைச்_சீமை,வடக்கே ஆந்திர நாட்டில் தோன்றிய விஜயநகரப் பேரரசின் வலிமை வாய்ந்த கரங்கள் தெற்கு நோக்கி நீண்டன.,12
சீர்மிகு_சிவகங்கைச்_சீமை,பாண்டிய நாட்டில் மதுரை சுல்தான்களை வென்று வடுகர்களது ஆட்சியை கி.பி.,9
சீர்மிகு_சிவகங்கைச்_சீமை,ஓர் ஆயிரத்து முன்னூற்று எழுபத்தெட்டு ல் நிறுவின.,6
சீர்மிகு_சிவகங்கைச்_சீமை,இவர்கள் கி.பி.,3
சீர்மிகு_சிவகங்கைச்_சீமை,"பத்து, பதினோராவது நூற்றாண்டுகளில் சோழநாட்டில் இருந்து பாண்டிய நாட்டில் குடி புகுந்தவர்கள்.",9
சீர்மிகு_சிவகங்கைச்_சீமை,போர் மறவர்களான இவர்கள் தங்களைப் பாண்டிய மறவர்கள் என்று கூட சொல்லிக் கொண்டனர்.,10
சீர்மிகு_சிவகங்கைச்_சீமை,பாண்டிய மன்னர்களது சிறந்த அலுவலர்களாகவும் சாமந்தர்களாகவும் பணிபுரிந்து சாதனை படைத்தனர்.,8
சீர்மிகு_சிவகங்கைச்_சீமை,ஆதலால் கி.பி.,3
சீர்மிகு_சிவகங்கைச்_சீமை,"பதினைந்து, பதினாறாவது நூற்றாண்டுகளில் சிவகங்கைச் சீமை உள்ளிட்ட சேது நாட்டுப் பகுதிகளிலும் அவர்களது ஆளுமை பரவி இருந்தது.",13
சீர்மிகு_சிவகங்கைச்_சீமை,"இதனை உறுதிப்படுத்தும் வகையில், அவர்களது கல்வெட்டு, திருப்பத்தூர், காளையார் கோவில், மானாமதுரை, இளையான்குடி, ஆகிய ஊர்களில் உள்ளன.",13
சீர்மிகு_சிவகங்கைச்_சீமை,மாறவர்மன் குலசேகர பாண்டியன் கி.பி.,5
சீர்மிகு_சிவகங்கைச்_சீமை,"இவர்கள் மதுராபுரி நாயகர், பாண்டியகுலாந்தகர் என்ற விருதுகளையும் பெற்று இருந்தனர்.",8
சீர்மிகு_சிவகங்கைச்_சீமை,இவர்களது ஆட்சியின் பரப்பு மறவர் சீமை அல்லது சேது நாடு என வழங்கப்பட்டது.,10
சீர்மிகு_சிவகங்கைச்_சீமை,இங்ஙனம் சிறப்பாக வர்ணித்துள்ளது.,3
சீர்மிகு_சிவகங்கைச்_சீமை,"பதினொன்று  தொன்மையான காலம் தொட்டு கன்னித் தமிழகத்தில் காவிரிக்கும், வைகை ஆற்றுக்கும் இடைப்பட் குறிஞ்சியும், முல்லையும்.",12
சீர்மிகு_சிவகங்கைச்_சீமை,இவர்களில் ஒரு பகுதியினர் கிழக்கு நோக்கி கடலையும் கடந்து ஈழத்தின் வடபகுதியில் நிலை கொண்டனர்.,11
சீர்மிகு_சிவகங்கைச்_சீமை,"பனிரண்டு  இன்னொரு பகுதியினர் தெற்கே சென்று, பொருணை ஆற்றையும், பொதிகை மலையையும் அடுத்த வளமான பகுதிகளில் குடியேறினர்.",13
சீர்மிகு_சிவகங்கைச்_சீமை,இந்த குடியேற்றங்கள் பத்து அல்லது பதினொன்று  ம் நூற்றாண்டுகளில் நடைபெற்றதாக தெரிய வருகிறது.,10
சீர்மிகு_சிவகங்கைச்_சீமை,சேதுபதிகளான செம்பியர் அங்கெல்லாம் இவர்கள் கோட்டைகள் அமைத்தபாங்கே பின்னர் இவர்களது குடி வழிப்பிரிவுப் பெயர்களாக ஏற்பட்டது.,12
சீர்மிகு_சிவகங்கைச்_சீமை,"பதிமூன்று  பின்னர் மரம், கிளை, கொத்து என்ற உட்பிரிவுகளும் தோன்றின.",8
சீர்மிகு_சிவகங்கைச்_சீமை,இந்தக் குடிமக்களது முதல் குடிமகன்தான் மறவர் சீமையின் மகிபதி சேதுபதி மன்னர்கள்.,9
சீர்மிகு_சிவகங்கைச்_சீமை,இவர்கள் செம்பி நாட்டுப் பிரிவைச் சேர்ந்தவர்கள்.,5
சீர்மிகு_சிவகங்கைச்_சீமை,பதினான்கு  சோழநாடு அல்லது செம்பி நாட்டில் இருந்து வந்தவர்களாதலின் இவர்களுக்கு செம்பிநாடன் என்ற விருதும் உண்டு.,12
சீர்மிகு_சிவகங்கைச்_சீமை,"இவர்களது குடிமக்களில் பெரும்பான்மையினர் கொண்டையன் கோட்டை மறவர் என்பதும், அவர்களில் உட்பிரிவு காரண மறவர் என்பதும் இங்கு குறிப்பிடத்தக்கது.",14
சீர்மிகு_சிவகங்கைச்_சீமை,"மறம் என்ற மாண்பான தமிழ்ச் சொல்லின் இலக்கண, இலக்கிய வடிவாக வாழ்ந்தவர்கள் மறவர்கள்.",10
