work_title,sentence,sentence_length
இலக்கியத்_தூதர்கள்,இலக்கியத் தூதர்கள் அ.,3
இலக்கியத்_தூதர்கள்,﻿பதிப்புரை பிரிந்தும் மாறுபட்டும் உள்ள இருவரை வேறொருவர் ஒன்றாகச் சேர்த்து வைக்க முயலும் முயற்சியே தூது.,12
இலக்கியத்_தூதர்கள்,பிரிந்திருக்கும் தலைவன் தலைவியருள் ஒருவரிடம் மற்றொருவர் அன்பு காரணமாக அனுப்பும் தூது அகத்துறைத் தூதின்பாற்படும்.,11
இலக்கியத்_தூதர்கள்,பகை காரணமாகப் பிரிந்திருக்கும் மன்னர் இருவர் பாலும் செல்லும் தூது புறத்துறைத் தூது எனப்படும்.,11
இலக்கியத்_தூதர்கள்,இவ்வாறு அன்பைத் தெரிவிப்பதற்காகவும் பகை தீர்ப்பதறகாகவும் பல தூதர்கள் சென்றுள்ளனர்.,8
இலக்கியத்_தூதர்கள்,அவை பல்வேறு இலக்கிய நூல்களில் கூறப்பட்டுள்ளன.,5
இலக்கியத்_தூதர்கள்,அவற்றில் சிலவற்றை மட்டும் எடுத்துத்தொகுத்து இலக்கியச் சுவை வெளிப்பட இயற்றப் பட்டதே இலக்கியத் தூதர்கள் என்னும் இந்நூல்.,13
இலக்கியத்_தூதர்கள்,அன்னப் பறவையிலிருந்து ஆண்டவன் வரை எல்லோருமே சிலசில சமயங்களில் தூதராகச் சென்று தொண்டாற்றியுள்ளனர்.,10
இலக்கியத்_தூதர்கள்,சமயக்குரவர் நால்வருள் ஒருவரான சுந்தரருக்காகப் பாவை நாச்சியாரிடம் சிவபெருமானே தூது செல்கின்றார்.,9
இலக்கியத்_தூதர்கள்,செங்கோலேந்தும் இருவரிடைத் தூது செல்கின்றார் குழலூதும் கண்ணன்.,6
இலக்கியத்_தூதர்கள்,அருந்தமிழ்ப் பாட்டியாராய ஒளவை மூதாட்டியாரே அதியமானின் தூதராகத் தொண்டைமானிடம் செல்கிறார்.,8
இலக்கியத்_தூதர்கள்,மறைவழிகாட்டும் மாமுது பார்ப்பான் மாதவிக்காகக் கோவலன்பால் தூது செல்கின்றான்.,7
இலக்கியத்_தூதர்கள்,இலங்கை வேந்தன் இராவணனிடம் இராமபிரானின் தூதனாகச் செல்கிறான் அனுமன்.,7
இலக்கியத்_தூதர்கள்,இவர்களைப் ﻿இலக்கியத் தூதர்கள் போன்ற இலக்கியத் தூதர்கள் இன்னும் பலர் உளர்.,9
இலக்கியத்_தூதர்கள்,இவர்களைப் பற்றியும் இவர்கள் மேற்கொண்ட தூதினைப் பற்றியும் விளக்குவதே இந்நூல்.,8
இலக்கியத்_தூதர்கள்,"இந்நூலைச் சுவைபட, நயம்மிக இயற்றித் தந்தவர் திருக்குறள்மணி அ.",7
இலக்கியத்_தூதர்கள்,நவநீத கிருட்டிணன் என்பவர் ஆவர். சொற்சுவை பொருட்சுவைபட எழுதுவதில் தனித்திறமை படைத்தவர் இவர்.,10
