work_title,sentence,sentence_length
எனது_நண்பர்கள்,எனது நண்பர்கள் கி.,3
எனது_நண்பர்கள்,"விசுவநாதம் அவர்கள், தம்முடைய சில நண்பர்களை இந்நூலில் நமக்கு அறிமுகப்படுத்துகின்றார்கள்.",8
எனது_நண்பர்கள்,இந்நூலை வெளியிட இசைவு தந்த முத்தமிழ்க்காவலர் அவர்கட்கு எங்கள் நன்றி உரியதாகும்.,9
எனது_நண்பர்கள்,தமிழ்மக்கள் விரும்பிக் கற்றுப் பயன் காண்பார்கள் என்று நம்புகின்றோம்.,7
எனது_நண்பர்கள்,—பாரி நிலையத்தார்⁠ பொருளடக்கம் மறைமலையடிகள்... பதிமூன்று  தமிழ்த்தென்றல்... இருபத்தைந்து நான் கண்ட வ.உ.சி... முப்பது கா.,14
எனது_நண்பர்கள்,சுப்பிரமணியப்பிள்ளை... முப்பத்தாறு சோ.,3
எனது_நண்பர்கள்,பாரதியார்... முப்பத்தொன்பது பேராசிரியர் கா.,4
எனது_நண்பர்கள்,நமச்சிவாய முதலியார்... நாற்பத்தேழு கோவைப் பெருமகன் சி.,6
எனது_நண்பர்கள்,எஸ்... ஐம்பத்தொன்று தமிழவேள் த.வே.உமாமகேசுரம் பிள்ளை... ஐம்பத்து மூன்று பண்டிதமணி மு.,11
எனது_நண்பர்கள்,கதிரேசஞ் செட்டியார்... ஐம்பத்தேழு புரட்சிக் கவிஞர்... அறுபத்திரண்டு மூன்று தலைவர்கள்... அறுபத்தாறு நான்கு தலைவர்கள்... எழுபத்திரண்டு டபிள்யூ.,13
எனது_நண்பர்கள்,செளந்திர பாண்டியன்... எழுபத்தேழு திரு.,4
எனது_நண்பர்கள்,இராமசாமி செட்டியார்... தொன்னூறு டாக்டர் சர்.,5
எனது_நண்பர்கள்,இராமசாமி முதலியார்... தொன்னூற்றாறு சர்.,4
எனது_நண்பர்கள்,பன்னீர்ச் செல்வம்... நூற்றி இரண்டு தலைவர் காமராஜர்... நூற்றி எட்டு ஒப்பற்ற தலைவர் செல்வா !,11
எனது_நண்பர்கள்,சேஷசாயி... நூற்றி நாற்பத்தேழு பிற நூல்கள்... நூற்றி ஐம்பத்திரண்டு ﻿முன்னுரை இந்நூலிற் காணப்பெறுகின்ற பெருமக்களிற் சிலர்தான் என் நண்பர்கள்.,14
எனது_நண்பர்கள்,"சிலர் என் ஆசிரியர்களும், சிலர் என் அரசியற் தலைவர்களும் ஆவர்.",8
எனது_நண்பர்கள்,"என்றாலும், அவர்களில் எவரும் என்னை மாணவனாகவோ, தொண்டனாகவோ கருதாமல் நண்பனாகவே கருதிப் பழகி வந்தவர்கள்.",11
எனது_நண்பர்கள்,"இவர்களில் எவருடைய வரலாற்றையும் நான் முழுமையாக எழுதிவிடவில்லை, எழுதவும் என்னால் இயலாது.",9
எனது_நண்பர்கள்,"அவர்கள் என்னுடன் பழகிய—தொடர்பு கொண்ட நிகழ்ச்சிகளிற் சிலவே இதில், இடம் பெற்றுள்ளன.",9
எனது_நண்பர்கள்,என் வரலாறு ஒன்றை நானே எழுதி வெளியிட வேண்டுமெனச் சிலர் விரும்பினர்.,9
எனது_நண்பர்கள்,"காரணம் மேலைநாடுகளில் ஒருவருடைய வரலாறு ஒரு நாட்டின் வரலாற்று நூலாகவும், தமிழகத்தில் அது தற்புகழ்ச்சி நூலாகவும் கருதப்படுவதினாலேயாம்.",13
