work_title,sentence,sentence_length
தமிழ்_வளர்த்த_நகரங்கள்,தமிழ் வளர்த்த நகரங்கள் அ.,4
தமிழ்_வளர்த்த_நகரங்கள்,பதிப்புரை என்றுமுள தென்தமிழ் இயம்பி இசைகொண்ட நந்தமிழ் நாட்டின்சீர் பரவுதற்குரியது.,8
தமிழ்_வளர்த்த_நகரங்கள்,தாயோடு மொழியும் நாடும் ஒருங்குவைத் தெண்ணப்பட்டு வருதல் தொன்மை வழக்கு.,8
தமிழ்_வளர்த்த_நகரங்கள்,மொழியால் பெயர்பெற்ற நாடுகள் உலகில் மிகுதி.,5
தமிழ்_வளர்த்த_நகரங்கள்,"ஆக, மொழியால் நாடும், நாட்டால் மொழியும் பெற்ற சிறப்புப்பெரிது மிகப்பெரிது.",8
தமிழ்_வளர்த்த_நகரங்கள்,நாடின்றேல் மக்களில்லை மக்களின்றி மொழியில்லை மொழியின்றி நூல்களில்லை நூல்களின்றிப் பெருமையில்லை.,8
தமிழ்_வளர்த்த_நகரங்கள்,நாட்டைச் சிறப்பித்ததனால் மற்றவற்றையும் சிறப்பித்ததாயிற்று.,4
தமிழ்_வளர்த்த_நகரங்கள்,தெருவெல்லாம் தமிழ்முழக்கம் செழிக்கச் செய்யும் இற்றைநாள் மக்கள் தமிழ் வளர்த்த நகரங்கள் பற்றியும் தெரிந்துகொள்ளுதல் இன்றியமையாததாகும்.,12
தமிழ்_வளர்த்த_நகரங்கள்,தமிழின் இன்றைய சிறப்பிற்கு வித்திட்ட பெருமையுடைய.,5
தமிழ்_வளர்த்த_நகரங்கள்,மூன்று நகரங்களைப்பற்றியும் இந்நூலில் விரிவாக எழுதப்பட்டுள்ளது.,5
தமிழ்_வளர்த்த_நகரங்கள்,அவை யாவும் கற்பார்க்குச் சுவையும் பயனும் தருவன.,6
தமிழ்_வளர்த்த_நகரங்கள்,"தமக்கே யுரித்தான தண்டமிழ் நடையில் இந்நூலை யியற்றித்தந்த ஆசிரியர், திரு அ.",9
தமிழ்_வளர்த்த_நகரங்கள்,நவநீதகிருட்டிணன் அவர்களுக்கு நம் நன்றி உரியதாகுக.,5
தமிழ்_வளர்த்த_நகரங்கள்,"தமிழ்மக்கள் அனைவரும், சிறப்பாக மாணவர்கள் இதனைக் கற்று மாண்புறுவார்களாக.",7
தமிழ்_வளர்த்த_நகரங்கள்,சைவசித்தாந்த நூற்பதிப்புக் கழகத்தார்.,3
தமிழ்_வளர்த்த_நகரங்கள்,﻿அணிந்துரை மக்கள் உயர்வுக்குத் தக்க துணைபுரிவன அறிவும் ஒழுக்கமுமே.,7
தமிழ்_வளர்த்த_நகரங்கள்,எல்லோருக்கும் தாய்மொழி யறிவே இன்றியமையாதது.,4
தமிழ்_வளர்த்த_நகரங்கள்,இறையுணர்வைப் பெருக்கும் சமய அறிவே ஒழுக்கத்தையும் பண்பாட்டையும் வளர்க்கும்.,7
தமிழ்_வளர்த்த_நகரங்கள்,தமிழுலகம் எனக்குச் சில்லாண்டுகளாகத் தந்துவரும் பேரூக்கத்தாலேயே இந்நூலையும் உருவாக்கினேன்.,7
தமிழ்_வளர்த்த_நகரங்கள்,என்னை இடையறாது இப் பணியில் ஊக்கிவரும் உயர்ந்த நோக்கினராகிய சைவசித்தாந்தக் கழக ஆட்சியாளர் திரு வ.,12
தமிழ்_வளர்த்த_நகரங்கள்,சுப்பையாப் பிள்ளையவர்கட்கு யான் பெரிதும் கடப்பாடுடையேன்.,5
தமிழ்_வளர்த்த_நகரங்கள்,நவநீதகிருட்டிணன் உள்ளுறை பக்கம் ஒன்று.,4
தமிழ்_வளர்த்த_நகரங்கள்,தன்னேரிலாத தமிழ் … ஒன்று இரண்டு.,5
தமிழ்_வளர்த்த_நகரங்கள்,தமிழ் வளர்த்த சங்கங்கள் … பதினொன்று  மூன்று.,6
தமிழ்_வளர்த்த_நகரங்கள்,மதுரையின் மாண்பு … இருபது நான்கு.,5
