work_title,sentence,sentence_length
பல்லவர்_வரலாறு,பல்லவர் வரலாறு — பல்லவர் வரலாறு டாக்டர்.,6
பல்லவர்_வரலாறு,பல்லவர் வரலாறு டாக்டர்.,3
பல்லவர்_வரலாறு,"இராசமாணிக்கனார் திருநெல்வேலி, தென்னிந்திய சைவசித்தாந்த நூற்பதிப்புக் கழகம், லிட்., டி.டி.கே.",10
பல்லவர்_வரலாறு,"சாலை, சென்னை பதினெட்டு .",3
பல்லவர்_வரலாறு,"இராமசந்திரஞ் செட்டியார், பி.ஏ., பி.எல்.",6
பல்லவர்_வரலாறு,"ஆணையாளர், இந்து அறநிலையப் பாதுகாப்புக் கழகம்.",5
பல்லவர்_வரலாறு,பல்லவர் வரலாறு என்ற இந்நூல் மிகத் திறம்பட எழுதப்பட்டுள்ளது.,7
பல்லவர்_வரலாறு,இதனைப் போலவே மற்றத் தமிழ் அரசர் பரம்பரைகளுக்கும் தமிழ் நாடுகளுக்கும் வரலாற்று நூல்கள் வெளிவருவது ஒரு சிறந்த முறையாகும்.,14
பல்லவர்_வரலாறு,அந்தப் பணியை ஏற்றுக்கொண்டிருக்கும் கழகத்தார் அருஞ்செயலும் போற்றத் தக்கதே.,7
பல்லவர்_வரலாறு,சில ஆண்டுகளுக்கு முன் ஆராய்ச்சியாளர்கள் மூளையில் ஒருவிதக் கோட்பாடு முளைத்து நிலைநின்று கொண்டிருந்தது.,10
பல்லவர்_வரலாறு,அந்தக் கோட்பாடு இப்போது ஒருவாறு மாறிக் கொண்டு வருகிறது.,7
பல்லவர்_வரலாறு,இவ்வகைக் கோட்பாடு பல்லவர் தொடக்கத்திற்கும் வருவிக்கப்பட்டது.,5
பல்லவர்_வரலாறு,"ஆகவே, பெயரை நோக்கிப் பாரசீக நாட்டிற்கும் பல்லவர் தொடக்கம் கொண்டு போகப் பட்டது.",10
பல்லவர்_வரலாறு,அவ்வரசர்கள் வடமொழியில் அக்கரை எடுத்துக் கொண்டிருந்ததனால் இக்கூற்று வலியுறுத்தலும் செய்யப் பட்டது.,9
பல்லவர்_வரலாறு,"ஆனால், அம் மன்னர்கள் ஏன் தமிழ் மன்னர்களாக இருக்கக்கூடாது? என்பதுதான் இப்போது கேட்கப்படுகிற கேள்வி.",11
பல்லவர்_வரலாறு,அக் கேள்வியை மறுப்பதற்கு எதுவுமில்லை.,4
பல்லவர்_வரலாறு,"அதுபோலவே பல்லவரும், ஒருவேளை, வெளி நாட்டிலிருந்து புகுந்திருந்த போதிலும் நாளடைவில் தமிழராகித் தமிழையே போற்றினார்கள்.",11
பல்லவர்_வரலாறு,தமிழில் சைவ வைணவ இலக்கியங்களும் சமய மேம்பாடுகளும் அவர்கள் காலத்திலேயே தோன்றி உயர்வடைந்தன அல்லவா?,11
பல்லவர்_வரலாறு,உண்மையில் அம் மன்னர்களுடைய தொடக்கமும் தமிழ் மயமே என்பதற்கு எதிரிடை வாதம் யாதுமில்லை என்னலாம்.,11
பல்லவர்_வரலாறு,பல்லவர் என்ற சொல் தமிழ் அல்லவா?,5
பல்லவர்_வரலாறு,அச்சொல் அம் மரபினர்க்கே வந்திருக்கலாம்.,4
பல்லவர்_வரலாறு,இத்தகைய எடுத்துக் காட்டு சரித்திரத்தில் வந்திருக்கிறது.,5
பல்லவர்_வரலாறு,கருநாடகத்தில் ஆறு விரல் கொண்ட ஒரு மன்னனுக்கு அப்பெயர் நிலையத்திருக்கிறது.,8
பல்லவர்_வரலாறு,"முடப் பாண்டியன், கூன் பாண்டியன், நெடுமாறன் முதலிய பெயர்கள் அவ்வாறே ﻿ஏற்பட்டன.",9
பல்லவர்_வரலாறு,"மேலும், பல்லவர்கள் காடவர் முதலிய பட்டங்களைக் கொண்டிருந்தார்கள் காடு வெட்டி நகரத்தின் பெயர் காண்க.",11
பல்லவர்_வரலாறு,இஃது இப்போது கார்வெட்டி நகரம் எனப்படுகிறது அப்பெயர்கள் தமிழ்ப் பெயர்களே.,8
