work_title,sentence,sentence_length
சீனத்தின்_குரல்,சீனத்தின் குரல் சி.,3
சீனத்தின்_குரல்,﻿ மன்றம் வெளியீடு பதினாறு .,4
சீனத்தின்_குரல்,முதற்பதிப்பு ஏப்ரல் ஓர் ஆயிரத்து தொள்ளாயிரத்து ஐம்பத்து மூன்று.,7
சீனத்தின்_குரல்,"சிட்டி பிரஸ், மதுரை ரோடு, திருச்சி.",5
சீனத்தின்_குரல்,"ஆனால் எதிர்பார்த்த நூல்களெல்லாம் கிடைத்துவிட்டதாலும், வாசகர்கள் ஒரே நாளில் எல்லாவற்றையும் தெரிந்து கொள்ளக்கூடிய வசதிக்காகவும் ஒரே நூலாக்கி வெளியிடுகிறோம்.",14
சீனத்தின்_குரல்,ஆகவே இரண்டு ஆயிரத்து ஐநூறு  ஆண்டுகளாக சீனம் எழுப்பிய குரலின் வரலாற்றை இதில் காணலாம்.,11
சீனத்தின்_குரல்,ஏதாவது விடப்பட்டிருந்தால் அவ்வளவு முக்கியமானதல்ல என்ற நோக்கத்தால் விடப்பட்டிருக்கும்.,7
சீனத்தின்_குரல்,சுமார் இருபது மூல நூல்களைப் படித்து குறிப்புகளைச் சேகரித்து எழுதப்பட்டிருக்கிறது.,8
சீனத்தின்_குரல்,இதைப் படித்து நமது நாட்டில் நாம் எழுப்பவேண்டிய குரலைப்பற்றி சிந்திப்போமாக.,8
சீனத்தின்_குரல்,உங்கள் பேராதரவுக்கு என் பேனாவின் சார்பாக நன்றி.,6
சீனத்தின்_குரல்,உங்கள் அன்பன் சி.,3
சீனத்தின்_குரல்,யாராலும் எளிதில் தாண்டமுடியாதென்ற அசையாத நம்பிக்கையால் சீனப் பொதுமக்கள் தங்கள் நரம்பின் வண்மையால் கட்டிக்காத்த நெடுஞ்சுவர்.,12
சீனத்தின்_குரல்,அவ்வித பண்டைக்கலைகளுக்குத் தாயகமாக விளங்கிய தரணி.,5
சீனத்தின்_குரல்,அகில உலக வல்லரசு நாடுகளிலும் அதிக ஜனத்தொகை கொண்ட நாடு.,8
சீனத்தின்_குரல்,"ஆசியாவின் தலை ﻿வாயில், கீழ்நாடுகளுக்குக் கடல்வழி வகுத்துத்தந்த கடல் மன்னன் மார்க்க போலோ கண்டு களித்த களம்.",13
சீனத்தின்_குரல்,இந்தியாவின் நாகரிகத்தையறிய இருபெரும் தூதுவர்களை ஈன்றனுப்பிய நாடு.,6
சீனத்தின்_குரல்,"மகாகவி லீபோ, வரைகோல் வேந்தன் லின் யு டாங் போன்ற அறிஞர்கள் பிறந்த பூமி.",11
சீனத்தின்_குரல்,"சீனத்தின் சீர்த்திருத்தவாதி, சன் யாட் சன் சீனத்தின் நோய் சியாங் கே ஷேக், சீனத்தின் தந்தை மா சேதுங்.",14
சீனத்தின்_குரல்,இந்த நால்வர்களிட்ட எல்லைக் கோடுகளுக்குள்ளே அடங்கிவிட்ட அகிலம்.,6
சீனத்தின்_குரல்,அவர்களை அழைத்துச் ﻿செல்லும் தலைவர்களும் காரணமாகின்றார்கள் என்பதை மிக விளக்கமாக நாம் தெரிந்து கொள்வதற்குண்டான வசதியை தேடித்தருகிறது சீனம்.,14
சீனத்தின்_குரல்,மற்ற நாடுகளிலே அதைத் தெள்ளத் தெளியத் தெரிந்து கொள்ள முடியாமல் போய்விடுவதும் உண்டு.,10
சீனத்தின்_குரல்,அப்பேற்பட்ட கள்ளமார்கெட் தலைவர்களுமுண்டு.,3
சீனத்தின்_குரல்,இதேபோல் சீனத்தின் வாழ்வும் வீழ்ச்சியும் தலைவர்களையே சார்ந்து நின்றிருக்கிறது.,7
சீனத்தின்_குரல்,போதை சிரித்தவன் சிரித்துக்கொண்டே இருப்பான்.,4
சீனத்தின்_குரல்,அழுதவன் அழுதுகொண்டே யிருப்பான்.,3
சீனத்தின்_குரல்,பேசுகின்றவன் பேசிக்கொண்டே இருப்பான்.,3
