work_title,sentence,sentence_length
சிறந்த_கதைகள்_பதிமூன்று,"அவனை உதைக்க வேண்டியது தான், மற்றப் பையன்களோடு அவன் சண்டை போடுவது பற்றியும் அதிகம் கேள்விப் படுகிறேன்.",13
சிறந்த_கதைகள்_பதிமூன்று,அவனைக் கூப்பிடு உடனே.,3
சிறந்த_கதைகள்_பதிமூன்று,தலைமை ஆசிரியர் தன் பியூனை கூப்பிட்டார்.,5
சிறந்த_கதைகள்_பதிமூன்று,"அவர் குரலின் வெடிப்பைக் கேட்டே, தலைமை ஆசிரியர் வெகு கோபமாக இருக்கிறார் என மோகன் புரிந்து கொண்டான்.",13
சிறந்த_கதைகள்_பதிமூன்று,"உள்ளே விரைந்து, என்ன ஐயா?",4
சிறந்த_கதைகள்_பதிமூன்று,என்று பணிவுடன் கேட்டான்.,3
சிறந்த_கதைகள்_பதிமூன்று,சீக்கிரம் போய் ஐந்தாம் வகுப்பு தபனைக் கூட்டி வா என்று அவர் கட்டளையிட்டார்.,10
சிறந்த_கதைகள்_பதிமூன்று,தபன் பதுமணி கிராமத்தின் குமாஸ்தாவான ரத்தனின் இரண்டாவது மகன்.,7
சிறந்த_கதைகள்_பதிமூன்று,தோற்றத்தில் மெலிந்திருப்பினும் பலசாலி.,3
சிறந்த_கதைகள்_பதிமூன்று,சற்று கறுப்பு நிறம்.,3
சிறந்த_கதைகள்_பதிமூன்று,ஒளி நிறைந்த கண்கள் கொண்டவன்.,4
சிறந்த_கதைகள்_பதிமூன்று,"ஆனால், வீட்டிலும் வெளியிலும் சதா ஏதாவது விஷமத்தனங்கள் செய்து வம்பில் சிக்கிக் கொள்வான்.",10
சிறந்த_கதைகள்_பதிமூன்று,அவனாக வலியச் சண்டைக்குப் போகமாட்டான்.,4
சிறந்த_கதைகள்_பதிமூன்று,ஆனால் யாராவது அவனை வம்புக்கு இழுத்தால் பதிலடி கொடுக்க அவன் தயங்குவதில்லை.,9
சிறந்த_கதைகள்_பதிமூன்று,தன் வயதுப் பையன்களிடையே அவனே தலைவன்.,5
சிறந்த_கதைகள்_பதிமூன்று,அவர்களுக்காகப் பரிந்து அடிதடியில் இறங்க அவன் எப்பவும் தயாராக இருந்தான்.,8
சிறந்த_கதைகள்_பதிமூன்று,அவன் சகாக்கள் அவனை மதித்தார்கள்.,4
சிறந்த_கதைகள்_பதிமூன்று,"கிராமத்தின் ஆரம்பப்பள்ளியில் கற்று முடிந்ததும், தயன் பதினைந்து மைல்களுக்கு அப்பால் உள்ள உயர்நிலைப்பள்ளிக்குப் போனான்.",11
சிறந்த_கதைகள்_பதிமூன்று,தன் மாமாவுடன் ஒரு வருடம் தங்கியிருந்தான்.,5
சிறந்த_கதைகள்_பதிமூன்று,மீண்டும் ஊருக்கு வந்து அவன் ஞானபீடம் உயர்நிலைப் பள்ளியில் படிக்கிறான்.,8
சிறந்த_கதைகள்_பதிமூன்று,ஊரிலிருந்து ஒன்றரை மைல் தூரத்தில் இருக்கிறது அது.,6
சிறந்த_கதைகள்_பதிமூன்று,அவன் ஞானபீடத்தில் சேர்ந்து ஒரு மாதம் தான் ஆகிறது.,7
சிறந்த_கதைகள்_பதிமூன்று,அதற்குள் அவன் மீது ஒரு குற்றச்சாட்டு வந்துவிட்டது.,6
சிறந்த_கதைகள்_பதிமூன்று,பதுமணி கிராமத்தின் கடைக்காரன் ஹரன் தலைமை ஆசிரியரிடம் முறையிட்டான்.,7
சிறந்த_கதைகள்_பதிமூன்று,தபன் பியூனுடன் வந்து சேர்ந்தான்.,4
சிறந்த_கதைகள்_பதிமூன்று,தலைமை ஆசிரியரைப் பயத்துடன் பார்த்துத் தலைகுனிந்து நின்றான்.,6
சிறந்த_கதைகள்_பதிமூன்று,அவர் பிரம்பை ஆட்டிய வாறு நீ தானே தபன்?,7
சிறந்த_கதைகள்_பதிமூன்று,ஆமாம் ஸார் என்று தபன் பணிவுடன் சொன்னான்.,6
சிறந்த_கதைகள்_பதிமூன்று,"கடைக்காரனைக் காட்டி, இவரை உனக்குத் தெரியுமா?",5
சிறந்த_கதைகள்_பதிமூன்று,என்று தலைமை ஆசிரியர் கேட்டார்.,4
சிறந்த_கதைகள்_பதிமூன்று,எங்கள் ஊர்க் கடைக்காரன்.,3
சிறந்த_கதைகள்_பதிமூன்று,நேற்று மாலை நீயும் உன் நண்பர்களும் கூடி இவன் கடை மீது கல்லெறிந்தது உண்மைதானா?,11
சிறந்த_கதைகள்_பதிமூன்று,நானும் ரத்தனும் மற்றும் சிலரும் இவன் கடைமீது கல்விசியது உண்மை தான்.,9
சிறந்த_கதைகள்_பதிமூன்று,"ஏன் அப்படிச் செய்தாய், சொல்லு என்று தலைமை ஆசிரியர் முழங்கினார்.",8
சிறந்த_கதைகள்_பதிமூன்று,"ஐயா, இவன் ஏய்க்கிறான்.",3
சிறந்த_கதைகள்_பதிமூன்று,"அதிக விலை வாங்கிக் கொண்டு, சாமான்களைக் குறைவாய்த் தருகிறான்.",7
சிறந்த_கதைகள்_பதிமூன்று,"மேலும், இவன் புதுரகத் தாள் பை ஒன்றை உபயோகிக்கிறான்.",7
சிறந்த_கதைகள்_பதிமூன்று,அதன் அடியில் கனத்த தாள்கள் ஒட்டி யிருக்கின்றன.,6
சிறந்த_கதைகள்_பதிமூன்று,நேற்று முன்தினம் நாங்கள் இவனிடம் ஒரு கிலோ பருப்பு வாங்கினோம்.,8
சிறந்த_கதைகள்_பதிமூன்று,வீட்டில் அதை நிறுத்தபோது எண்ணுாறு கிராம் தானிருந்தது.,6
சிறந்த_கதைகள்_பதிமூன்று,பையிலிருந்த தாள் ஐம்பது கிராம் கனமிருந்தது.,5
சிறந்த_கதைகள்_பதிமூன்று,நூற்றைம்பது கிராமுக்கு நிறுவையில் கள்ளத்தனம் செய்திருக்கிறான்.,5
சிறந்த_கதைகள்_பதிமூன்று,இது ஊர் முழுதும் தெரிந்த விஷயம்.,5
சிறந்த_கதைகள்_பதிமூன்று,நேற்று இதை நான் இவனிடம் கேட்டேன்.,5
சிறந்த_கதைகள்_பதிமூன்று,இவன் ஏசி என்னை வெளியே துரத்தினான்.,5
சிறந்த_கதைகள்_பதிமூன்று,அதனால் தான் நானும் மற்றவர்களும் இவன் கடை மீது கல்விசினோம்.,8
சிறந்த_கதைகள்_பதிமூன்று,தலைமை ஆசிரியர் கடைக்காரனை நோக்கினார்.,4
சிறந்த_கதைகள்_பதிமூன்று,அவன் முகம் சிவந்திருந்தது.,3
சிறந்த_கதைகள்_பதிமூன்று,தலைமை ஆசிரியர் சிறிது நேரம் யோசித்தார்.,5
சிறந்த_கதைகள்_பதிமூன்று,"பிறகு தபன் பக்கம் திரும்பி, அப்படி இருந்தாலும், நீ செய்தது சரியல்ல.",9
சிறந்த_கதைகள்_பதிமூன்று,பிறர் பொருளைச் சேதப்படுத்துவது தவறு.,4
சிறந்த_கதைகள்_பதிமூன்று,"கடைக்காரன் ஏமாற்றினால், அதைக் கவனிக்க வேண்டியது அரசு அல்லது ஊர்பஞ்சாயத்தின் பொறுப்பு ஆகும்.",10
சிறந்த_கதைகள்_பதிமூன்று,அது உன் வேலை இல்லை.,4
சிறந்த_கதைகள்_பதிமூன்று,சில தினங்களுக்குப் பிறகு இன்னொரு சம்பவம் நடந்தது.,6
சிறந்த_கதைகள்_பதிமூன்று,அவ்வட்டாரத்தில் தொல்லை கொடுத்து வந்த ஒரு முரட்டுக் காளை சம்பந்தப் ﻿பட்டது அது.,10
சிறந்த_கதைகள்_பதிமூன்று,அது பலபேரை முட்டித் தள்ளியிருந்தது.,4
சிறந்த_கதைகள்_பதிமூன்று,யாராவது கம்புடன் அதை நெருங்கினால் அது அவர்களைத் தாக்கும்.,7
சிறந்த_கதைகள்_பதிமூன்று,அதைக் கண்டு அனைவரும் பயந்தனர்.,4
சிறந்த_கதைகள்_பதிமூன்று,அந்தக் காளையின் மூர்க்கத்தனம் தபனின் வீரத்தைத் துாண்டியது.,6
சிறந்த_கதைகள்_பதிமூன்று,இரு இரு தடிமாடே !,3
சிறந்த_கதைகள்_பதிமூன்று,நான் உன்னை அடக்குகிறேன் என்று அவன் முனகினான்.,6
சிறந்த_கதைகள்_பதிமூன்று,பள்ளி இடைவேளையின் போது அவன் ஒரு கம்பும் துண்டுக் கயிறும் எடுத்துக் கொண்டு மெதுவாகக் காளையை அனுகினான்.,13
சிறந்த_கதைகள்_பதிமூன்று,"காத்து நின்று, சரியான சமயம் பார்த்து, அதன் முதுகு மேல் தாவி ஏறினான்.",10
சிறந்த_கதைகள்_பதிமூன்று,"குதிரைக்குக் கடிவாளம் மாட்டுவது போல், கயிற்றைக் காளையின் வாயில் திணித்தான்.",8
சிறந்த_கதைகள்_பதிமூன்று,காளை திடுக்கிட்டுத் திகைத்தது.,3
சிறந்த_கதைகள்_பதிமூன்று,தன் முதுகு மேல் இருந்த கனத்தை உணர்ந்ததும் அது கால்களை உதைக்கவும் துள்ளிக் குதிக்கவும் தொடங்கியது.,12
சிறந்த_கதைகள்_பதிமூன்று,தொல்லை தருபவனை உதறித் தள்ளலாம் என எண்ணி வேகமாய் பாய்ந்து ஒடியது.,9
சிறந்த_கதைகள்_பதிமூன்று,இதற்குள் பள்ளி இடைவேளை முடிந்தது.,4
சிறந்த_கதைகள்_பதிமூன்று,வகுப்பு ஆரம்பித்து விட்டது.,3
சிறந்த_கதைகள்_பதிமூன்று,ஆனால் தபன் காளையை அடக்குவதிலேயே கருத்தாக இருந்தான்.,6
சிறந்த_கதைகள்_பதிமூன்று,துள்ளிக்குதிக்கும் முரட்டுக் காளையின் முதுகிலிருந்து கீழே விழாதபடி அவன் கயிற்றை இறுகப் பற்றிக் கொண்டு சமாளித்தான்.,12
