work_title,sentence,sentence_length
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,நபிகள் நாயகம் சரித்திர நிகழ்ச்சிகள் எம்கே.ஈ.,6
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,நஹ்மதுஹு வ நுஸல்லீ அலா ரஸூலிஹில் கரீம்.,6
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,"⁠நபிகள் நாயகம் அவர்கள் கொடுத்ததையும், விலக்கியதையுங் கொண்ட அறிவுக் கருவூலம் ஹதீது என்று பொதுவாகக் குறிப்பிடப்படும்.",12
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,"அவை உலக மாந்தரினம் முழுமைக்கும், எல்லா நிலைகளிலும் பயன்படக் கூடியவை.",8
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,"ஏனெனில் அவர்கள் வாழ்க்கையில், அனைத்துத் துறைகளிலும் மனுக் குலத்துக்கு அழகிய முன் மாதிரியாகத் திகழ்ந்தவர்கள்.",11
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,காதிறு முஹிய்யித்ன் மரைக்காயர் அவர்கள்.,4
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,"⁠நபிகள் பெருமானார் போதித்த அனைத்தும் அவர்களுடைய தீர்க்கதரிசன வாழ்க்கையிலும், உபதேசங்களிலும், செயல் முறைகளிலும், உன்னதமான முறையில் விளக்கிக் காட்டப்பட்டுள்ளன.",14
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,"எனவே நபி பெருமானாரின் ஸுனன் என்னும் செயல் முறைகளே, அவர்களுடைய போதனைகளைச் செயல்படுத்தும் ஒழுங்கை நமக்குக் கற்றுத் தருகின்றன.",14
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,⁠இச்செயல் முறைகள் பல்வேறு களங்களில் நிகழ்ந்திருக்கின்றன.,5
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,"இச்சுவையான நிகழ்ச்சிகளில் சிலவற்றைத் தொகுத்து, இனிமையான தமிழில் நமக்கு எடுத்துத் தருகிறார்கள் பசுங்கதிர் எம்கே.ஈ.",12
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,"மவ்லானா அவர்களும், பழம் பெரும் எழுத்தாளரான முல்லை முத்தையா அவர்களும்.",8
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,எனவே அவர்களுடைய எழுத்தாற்றலைப் பற்றி நான் எடுத்தெழுத வேண்டியதில்லை.,7
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,⁠முல்லை முத்தையா அவர்கள் நாற்பது ஆண்டுகளாகத் தமிழ் எழுத்துலகில் தன்னிகரற்ற ஓர் இடத்தை வகித்து வருகிறார்.,12
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,⁠இந்த நூலை ஆழ்ந்த கவனத்துடன் படித்துப் பார்க்கும் பாக்கியம் எனக்குக் கிடைத்தது.,9
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,அத்துடன் இதற்கு அணிந்துரை எழுதும் ஒரு நல்வாய்ப்பும் எனக்குக் கிட்டிற்று.,8
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,"அல்ஹம்து லில்லாஹ் ⁠இத்தகைய சிறப்பான ஒரு நூலை, சீரிய முறையில் அமைத்து, வாசகர்களுக்கு வழங்கும் நூலாசிரியர்களை வாழ்த்துகிறேன்.",13
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,நம் வாசகர்கள் இதை உளமார வரவேற்பார்கள் எனப் பெரிதும் நம்புகிறேன்.,8
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,"சென்னை அறுநூறு  பதினாறு  அப்துல் வஹ்ஹாப் ஆசிரியர் பிறை ﻿மயிலாடுதுறை, ஏ.வி.ஸி.",11
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,கல்லூரியின் சரித்திரப் பேராசிரியர் உயர்திரு.,4
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,நிலைத்து நிற்கும் நிலைத்து நிற்குமாக எல்லாம் வல்ல அல்லாஹ்வின் சாந்தியும் சமாதானமும் அவர்கள் மீது உண்டாவதாக !,12
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,⁠நபி நாயகத்தின் வரலாற்றைப் பல அறிஞர்கள் எழுதியுள்ளார்கள்.,6
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,"ஆனால், இந்நூலை இயற்றியுள்ள திரு.",4
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,"முல்லை முத்தையா அவர்களும், ஜனாப் எம் கே.",6
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,"மவ்லானா அவர்களும், வரலாற்றை வேறு புதிய கோணத்திலிருந்து ஆய்ந்துள்ளார்கள்.",7
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,"இஸ்லாமியர்கள் மட்டுமின்றி, பொதுவாக தமிழ் நல்லுலகினர் அனைவரும் படித்து இன்புறுவதற்காகவே இந்நூலைப் புதிய முறையில் எழுதியுள்ளார்கள்.",12
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,"மவ்லானா அவர்களை இஸ்லாமிய உலகும், பத்திரிகை உலகும் நன்கு அறியும்.",8
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,நல்ல தமிழ் எழுத்தாற்றல் படைத்தவர்கள் பல நூல்களை எழுதியவர்கள் அவர்களும் இணைந்து இந்நூலை எழுதியுள்ளார்கள்.,11
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,"⁠இந்நூல் பற்பல பதிப்பாக, மலர்வதற்கு எல்லாம் வல்ல அல்லாஹ்விடத்தில் இறைஞ்சி துஆ செய்தவனாக, இந்நூலுக்கு என் பாராட்டுரையை அளிக்கின்றேன்.",14
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,⁠பெருமானார் அவர்கள் வரலாற்றை உலக முழுவதிலும் உள்ள அறிஞர்கள் எழுதிப் பெருமை பெற்றிருக்கின்றனர்.,10
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,"மேலும், மேலும் எழுதுவார்கள்.",3
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,"ஆயினும், இந்நூல் சரித்திரத் தொடர்புடைய சம்பவங்களைச் சுருக்கமாகத் தெளிவாக, சுவையாகக் கற்றோரும் மற்றோரும் படித்து மகிழத் தக்கவாறு எழுதியுள்ளோம்.",14
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,"⁠குறைகள், பிழைகள் காணப்படுமேயானால், அவை எங்களுடையவை புகழ் அனைத்தும் ஆண்டவனுக்கே !",8
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,"⁠பன்மொழிப் பேராசிரியர், பல நூல்களின் ஆசிரியர், பெருமதிப்பிற்குரிய இஸ்லாமியப் பேரறிஞர், மேதை மெளலானா மெளலவி எம்.",12
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,⁠மயிலாடுதுறை ஏ.வி.ஸி.,4
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,⁠இத்தகைய நூலை எழுதத் தூண்டியவர்கள் பலர்.,5
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,அவர்களுள் அன்புசால் சொ.மு.க.,5
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,சென்னை அறுநூறு  ஒன்று எம்கே.,4
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,அவர்களுக்கு எங்கள் நன்றி முல்லை பதிப்பகம் உள்ளுறை ஒன்று.,7
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,புன்சிரிப்போடு குழந்தை வளர்ந்தது பதினெட்டு  இரண்டு.,5
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,இணை பிரியாத வளர்ப்பு பத்தொன்பது  மூன்று.,5
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,விளையாட்டிலே விருப்பம் இல்லை பத்தொன்பது  நான்கு.,5
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,கல்வி பயிலாமல் அறிவுக் கூர்மை இருபது ஐந்து.,6
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,மழைக்காகப் பிரார்த்தனை இருபது ஆறு.,4
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,ஆண்டவன் கட்டளை இருபது ஏழு.,4
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,கிறிஸ்துவத் துறவியின் பாராட்டு இருபத்தொன்று எட்டு.,5
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,இயற்கை வளங்களைப் படைத்த ஆண்டவன் இருபத்திரண்டு ஒன்பது.,6
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,சமாதான உடன்படிக்கை இருபத்து மூன்று பத்து.,5
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,நம்பிக்கைக்கு உரியவர்கள் இருபத்து நான்கு பதினொன்று .,5
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,ஏழைப் பங்காளர் இருபத்து நான்கு பனிரண்டு .,5
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,பொறுமை மிக்கவர்கள் இருபத்தைந்து பதிமூன்று .,4
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,சச்சரவைத் தீர்த்து வைத்தார்கள் இருபத்தாறு பதினான்கு .,5
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,வியாபாரத்திலே நற்பெயர் இருபத்தேழு பதினைந்து .,4
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,பிராட்டியாரின் பிரதிநிதி இருபத்தேழு பதினாறு .,4
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,பிராட்டியாருக்கும் பெருமானாருக்கும் திருமணம் இருபத்தொன்பது பதினேழு .,5
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,இணைந்த அன்பு இனிய உபசரிப்பு இருபத்தொன்பது பதினெட்டு .,6
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,அடிமையை விடுவித்த உயர் பண்பு முப்பது பத்தொன்பது .,6
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,சிந்தனைச் சிறப்பு முப்பத்தொன்று இருபது.,4
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,முதல் அறிவிப்பு ஒதுவீராக ! முப்பத்திரண்டு இருபத்தொன்று.,5
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,ஆண்டவன் கைவிட மாட்டான் முப்பத்து நான்கு இருபத்திரண்டு.,6
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,தீர்க்கதரிசிகள் தோன்றினார்கள் முப்பத்து நான்கு இருபத்து மூன்று.,6
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,எவ்வித இடையூறும் நேரிடாது முப்பத்தைந்து இருபத்து நான்கு.,6
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,துரோகியின் சூழ்ச்சி முறியடிப்பு முப்பத்தாறு இருபத்தைந்து.,5
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,பஞ்சத்தின் கொடுமையை அகற்றுதல் முப்பத்தேழு இருபத்தாறு.,5
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,இவரே எனக்கு உதவுவார் முப்பத்தெட்டு இருபத்தேழு.,5
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,கொள்கையில் தளராத உறுதி முப்பத்தெட்டு இருபத்தெட்டு.,5
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,உங்களை நம்புகிறோம் நாற்பது இருபத்தொன்பது.,4
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,எந்த ஆசையும் கிடையாது நாற்பத்தொன்று முப்பது.,5
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,உயிர் துறந்த உத்தமர் நாற்பத்து மூன்று முப்பத்தொன்று.,6
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,பகைவர்களின் தாக்குதல் நாற்பத்து நான்கு முப்பத்திரண்டு.,5
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,கொடுமையும் துன்பமும் சூழ்ந்தது நாற்பத்தைந்து முப்பத்து மூன்று.,6
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,அன்னிய நாட்டில் சூழ்ச்சி நாற்பத்தாறு முப்பத்து நான்கு.,6
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,அபிசீனியா அரசரின் ஆதரவு நாற்பத்தொன்பது முப்பத்தைந்து.,5
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,பழி வாங்கும் எண்ணம் இல்லை ஐம்பது முப்பத்தாறு.,6
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,கொலைச் செயலுக்குப் பரிசா?,3
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,ஆத்திரம் தணிந்தது ஐம்பத்து மூன்று முப்பத்தெட்டு.,5
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,பகைவரின் மனமாற்றம் ஐம்பத்து நான்கு முப்பத்தொன்பது.,5
