work_title,sentence,sentence_length
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,கவிக்குயில் சரோஜினியின் நம்மை மேம்படுத்தும் எண்ணங்கள் என்.,6
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,﻿கவிக்குயில் சரோஜினி தேவியின் நம்மை மேம்படுத்தும் எண்ணங்கள் புலவர் என்.வி.,9
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,பிரிட்டிஷ் மந்திரிக்குப் பதில் கோமகன் மன்னிப்புக் கேட்டார் !,6
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,உலக நாடுகளில் பலவிதமான ஆட்சிகள் நடந்தன நடைபெறுகின்றன.,6
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,எந்த ஆட்சிக்காகக் கவிக்குயில் சரோஜினி இங்கிலாந்து நாட்டிலே போராடினார் என்பதை பார்ப்போம்.,9
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,இரட்டை ஆட்சி என்ற பெயரில் கி.பி.,6
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அக்கூட்டத்தில் ஆங்கிலேயரும் இந்தியரும் பெருந்திரளாகக் கூடி இருந்தார்கள்.,6
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"நிரபராதிகளையும், நிராயுதபாணிகளையும், சுட்டேன், சுட்டேன், துப்பாக்கிகளுள் இருந்த வெடி குண்டுகள் தீரும் வரைச் சுட்டேன்.",11
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,என்று போர் வெறியன் ஜெனரல் பயர் சுட்டானே !,6
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,இது அராஜக ஆட்சியின் அடக்குமுறைப் போர் ஆர்ப்பாட்ட வெறி அல்லவா? இது நியாயமா?,10
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,பிரிட்டிஷாரின் வீரம் இதுதானா?,3
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,இப்படிப்பட்ட பயங்கரக் காட்டுமிராண்டித்தனம் செய்த டயர் என்பவனது அராஜகத்தைப் பிரிட்டிஷ் பாராளுமன்றம் பாராட்டலாமா?,10
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"நீதியா அது? அப்போது கூட்டத்தில் இருந்த மக்கள் வெட்கம், வெட்கம் என்று ஓங்காரக் குரலிட்டு முழக்கமிட்டார்கள்.",12
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,பேச்சைக் கேட்க வந்த வெள்ளைக்காரர்கள் பலர் தேவியின் வீர உரையால் எழுந்த கோஷங்களைக் கேட்டுத் தலைகுனிந்து வெளியேறினார்கள்.,13
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,இந்தியாவில் பிரிட்டிஷ் செய்யும் ஆட்சியைப் பற்றி வெள்ளையர்களிடம் அதுவரை ஒரு நல்ல எண்ணம் இருந்தது.,11
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,இத்தகைய ஓர் ஆட்சியை அம்பலப்படுத்ததான் உலகில் நடைபெற்ற பல வகையான ஆட்சிகளைப் பற்றி தேவி விமர்சனம் செய்தார் !,13
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,பிரிட்டிஷ் பாராளுமன்றத்தில் அன்று இந்திய மந்திரியாக இருந்தவர் மாண்டேரு என்ற ராஜதந்திரி !,9
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"சரோஜினி தேவி அந்த அறைகூவலை ஏற்று, ஆவர் வார்த்தைகளுக்குத் தக்கக் கடிதம் எழுதி மறுத்தார்.",11
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,ஆஸ்திரேலிய நாட்டு மக்கள் இடையே ஒரு கருவி இருந்தது.,7
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அதற்கு பூமரெங்க் என்று பெயர் அது மரத்தால் செய்யப்பட்ட ஒரு வளையம்.,9
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அதன் முனைப் பகுதி வளைவுடையது.,4
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,பிரிட்டிஷ் அரசிடம் சரோஜினி மன்னிப்புக் கேட்க வேண்டும் என்றார் இந்திய மந்திரி மாண்டேகு.,10
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,பாரதி கண்ட புதுமைப்பெண் பிறந்தார் !,4
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"தொட்டிலை ஆட்டும் கை தொல்லுலகை ஆளும் கை என்று பாரதியார், புதுமைப் பெண்ணை வாழ்த்தி வரவேற்றார் !",12
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"அதற்கேற்ப, கவிக்குயில் சரோஜினி தேவி கி.பி.",6
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அகோரநாத் வேதம் ஓதி இறைவனை வழிபடும் குலத்தில் தோன்றியவர் !,7
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,சட்டோபாத்தியாய என்பது அவரது குடும்பப் பட்டப் பெயர்.,6
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"இவரது மரபுப்படி வேதமும், மற்ற கலைகளையும் ஒழுக்கத்துடனும், ஆசாரத்துடனும் கற்று நடந்து வந்தார்.",10
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"ஆங்கிலக் கல்விக்கு அப்போதிருந்த உயர்வையும், மதிப்பையும், மரியாதையையும் கண்டு ஆங்கிலம் படித்து வல்லுநரானார்.",10
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,இங்கிலாந்து நாட்டுக்குச் சென்றார் படித்தார் அங்கு சிறப்பானக் கல்வியாளராய் விளங்கியதால் டாக்டர் பட்டமும் பெற்றார்.,11
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அந்தப் பணிக்கும் அவருக்கும் பொருந்தி வரவில்லை.,5
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,ஆசிரியரான அகோர நாத்துக்கு ஏழு குழந்தைகள் ஐதராபாத் நகரிலே பிறந்தன.,8
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"அக்குழந்தைகளுள் ﻿சரோஜினி, மிருணாளினி, நளினி, சுகாசினி என்ற நால்வரும் பெண்களாவர்.",8
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"பூபேந்திரநாத் சட்டோ பாத்தியாயர், இரவீந்திரநாத் சட்டோபாத்தியாயர், ஹரீந்திரநாத் சட்டோ பாத்தியாயர் என்ற மற்ற மூவரும் ஆண்மக்களாவர்.",12
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,இந்த ஏழு பேருமே தந்தையின் அறிவாற்றலுக்கு அடையாளமாகப் பிற்காலத்தில் திகழ்ந்தார்கள்.,8
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,மூத்தப் பெண்ணான சரோஜினி மிகுந்த அறிவரசியாகக் காணப்பட்டார்.,6
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"பெற்ற தந்தையே ஓர் ஆசிரியரானதால், அதன் முழு எதிரொலியும் சரோஜினியிடம் தவழ்ந்தது.",9
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"அதனால், நல்ல மாணவி என்ற நற்பெயரைப் பிற ஆசான்களிடமும் பெற்றார்.",8
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"ஆரம்பக் கல்வி ஐதராபாத்தில் முடிந்ததும், அடுப்பூதும் பெண்களுக்குப் படிப்பு எதற்கு?",8
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"என்ற பழமொழிக்கு சரோஜினியை ஆளாக்காமல், பொது அறிவு பெறத்தக்க வேறுபல கல்வி விஷயங்களையும் தந்தையே மகனுக்குக் கற்பித்து கல்வியாளியாக்கினார்.",14
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,விளையும் பயிர் முளையிலே என்பதற்கேற்ப சரோஜினி இளமையிலேயே இயற்கையை ஊடுருவிப் பார்க்கும் நுண்ணறிவை இயற்கையாகப் பெற்றிருந்தார் !,12
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"அவருடைய அந்த நுண்மான் நுழைபுல நோக்கு அவருக்கு ஒரு கவிஞனாவதற்குரிய கற்பனையையும், காட்சியையும் வழங்கியது.",11
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"சென்னை படிப்பை முடித்துக்கொன்டு, சரோஜினி மேற்கொண்ட பட்டப்படிப்புக்கு லண்டன் மாநகரம் சென்றார்.",9
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"அவரது தந்தையார் லண்டனிலே தாம் பட்டம் பெற்ற கல்லூரிக்கே, சகல ஏற்பாடுகளுடன் இவரை அனுப்பி வைத்தார்.",12
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,ஞானக் கிறுக்கே கவிதைச் சிறப்பு !,4
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,மகள் சரோஜினி மெட்ரிலேஷன் கல்வித் துறையிலே முதல் மாணவியாக வெற்றி பெற்றது அகோர நாதருக்கு மகிழ்ச்சியைத் தந்தது.,13
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,இதனால் தனது செல்வி மேலும் கல்வியில் வெற்றிபெற வேண்டும் என்ற ஊக்கம் அவருக்கு ஏற்பட்டது.,11
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,இலண்டன் மாநகரத்திலே உள்ள மன்னார் கல்லூரியில் தனது புதல்வியைச் சேர்த்தார்.,8
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"அத்துடன் பீஜ கணிதமும், விஞ்ஞானப் புதுமைகளையும் நாளுக்குநான் விரும்பிக் கற்க முனைந்தார் !",9
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"சிறுமியாக இருக்கும்போதே கவிதை புனையும் ஞானச் செருக்கோடு வளர்ந்த சரோஜினியின் மனம், லண்டனிலேயும் கவிதைக் கிறுக்கை விடவில்லை.",13
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"உள்ளத்திலே ஒளி தோன்றிவிட்டால், வாக்கிலும், செயலிலும் ஒளி வெளிச்சமிடும் என்பது உண்மைதானே !",9
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,ஒருநாள் வகுப்பிலே பீஜகணிதம் ஒன்றைக் கொடுத்து அதற்கு விடை எழுத வேண்டும் என்றார் ஆசிரியர்.,11
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,பீஜ கணக்கு என்றதும் பாரதியாரைப் போல சரோஜினிக்கும் கணக்கு பிணக்கை உருவாக்கி விட்டது !,10
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,நோட்டுப் புத்தகத்திலே ஏதேதோ கோடுகளைப் போட்டுப் போட்டுக் கிறுக்கிப் பார்த்தார்.,8
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,சிந்தனையாளன் ஆர்க்கிமிடிசைப் போல வகுப்பிலே அங்கும் இங்கும் அவரே எழுந்து அலைந்தார் !,9
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"வகுப்பாசிரியர் கோபம் கொண்டு விடை தேடு என்றால், வகுப்பிலே அங்குமிங்கும் அலைந்து எதைத் தேடுகிறாய்?",11
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அந்த சோகத்தைத் தனது நோட்டுப் புத்தகத்திலே சொற்களாக எழுதினார்.,7
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அல்லது சிந்தினைச் சிக்கலா?,3
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"ஆசிரியர், சரோஜினி எழுதிய கவிதையைப் படித்தார் !",5
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,சிலிர்த்தது அவரது சிந்தனை !,3
