work_title,sentence,sentence_length
சான்றோர்_தமிழ்,சான்றோர் தமிழ் முனைவர் சி.,4
சான்றோர்_தமிழ்,"﻿சான்றோர் தமிழ் டாக்டர் சி.பாலசுப்பிரமணியன் ⁠எம்.ஏ., எம்.லிட்., பிஎச்.டி.",11
சான்றோர்_தமிழ்,இருபது பூஜ்ஜியம் விற்பனை உரிமை !,4
சான்றோர்_தமிழ்,"அச்சிட்டோர் சவின்கலை அச்சகம், சென்னை அறுநூறு  நாற்பத்தொன்று.",6
சான்றோர்_தமிழ்,﻿மூன்றாம் பதிப்பின் முன்னுரை கோதாவரி ஆற்றினைக் கண்ட கவிச்சக்கரவர்த்தி கம்ப நாடர்க்குச் சான்றோர் கவி நினைவிற்கு வந்தது.,13
சான்றோர்_தமிழ்,தமிழ்ச் சுவடிகள் தந்த தமிழ்த் தாத்தா டாக்டர் உ.,7
சான்றோர்_தமிழ்,தமிழ்ச் சுவடிகள் தந்த தமிழ்த் தாத்தா... ஐந்து இரண்டு.,7
சான்றோர்_தமிழ்,செக்கிழுத்த செம்மல் சிதம்பரனார்... இருபத்தொன்று மூன்று.,5
சான்றோர்_தமிழ்,தனித்தமிழ் இயக்கம் கண்ட அடிகளார்... முப்பத்தைந்து நான்கு.,6
சான்றோர்_தமிழ்,குழந்தை இலக்கியம் வளர்த்த கவிமணி... நாற்பத்தேழு ஐந்து.,6
சான்றோர்_தமிழ்,ஆய்வுத் தமிழ் வளர்த்த அறிஞர்... எழுபது ஆறு.,6
சான்றோர்_தமிழ்,இருபதாம் நூற்றாண்டு நக்கீரர்... எண்பத்து நான்கு ஏழு.,6
சான்றோர்_தமிழ்,தமிழ்நடை வளர்த்த தமிழ்த் தென்றல்... நூற்றி இரண்டு எட்டு.,7
சான்றோர்_தமிழ்,புதுவை தந்த புரட்சிக் கவிஞர்... நூற்றி பதினைந்து  ஒன்பது.,7
சான்றோர்_தமிழ்,சொல்லின் செல்வர் சேதுப்பிள்ளை... நூற்றி முப்பத்திரண்டு பத்து.,6
சான்றோர்_தமிழ்,சான்றோர் பெருந்தகை மு.,3
சான்றோர்_தமிழ்,... நூற்றி ஐம்பத்தைந்து ஒன்று.,3
சான்றோர்_தமிழ்,தமிழ்ச் சுவடிகள் தந்த தமிழ்த் தாத்தா தமிழ்நாட்டின் நெற்களஞ்சியம் என்று போற்றப் பெறுவது தஞ்சை மாவட்டம் ஆகும்.,13
சான்றோர்_தமிழ்,கலை மலிந்த தஞ்சை என்றும் தஞ்சை மாவட்டம் போற்றப் பெறும்.,8
சான்றோர்_தமிழ்,"ஆடல், பாடல்களும், அழகுக் கலைகளும் நிறைந்த மாவட்டமும் தமிழ் நாட்டில் அதுவேயாகும்.",9
சான்றோர்_தமிழ்,பெரிய கோயில் என்று சிறப்பாகப் பேசப்பெறும் முதலாம் இராசராசன் கட்டிய பெருவுடையார் கோயில் அமைந்திருப்பதும் தஞ்சை மாவட்டத்திலேயேயாகும்.,13
சான்றோர்_தமிழ்,வற்றாத வளம் கொழித்துக் காவிரிப் பேராறு பாய்ந்து வளம் சிறக்கும் நாடு தஞ்சை மண்ணேயாகும்.,11
சான்றோர்_தமிழ்,இத்தகு பெருமை வாய்ந்த தஞ்சை மாவட்டத்தில் பாபநாசம் தாலுக்காவில் உத்தமதானபுரம் என்னும் சிற்றுாரில் சாமிநாத ஐயர் பிறந்தார்.,13
சான்றோர்_தமிழ்,ஆனாலும் அழகு இருந்தது அமைதி இருந்தது.,5
சான்றோர்_தமிழ்,ஜனங்களிடததில் திருப்தி இருந்தது பக்தி இருந்தது.,5
சான்றோர்_தமிழ்,அவர்கள் முகத் தில் மகிழ்ச்சி நிலவியது வீடுகளில் லக்ஷ்மி கரம் விளங்கியது. என் சரித்திரம்.,11
சான்றோர்_தமிழ்,பக்கம் நான்கு என்று கூறியுள்ளார்.,4
சான்றோர்_தமிழ்,இளமையும் கல்வியும் உத்தமதானபுரம் இரண்டே தெருக்களைக் கொண்ட சிற்றூராகும்.,7
சான்றோர்_தமிழ்,இளமையில் அவர் பெற்றோர் வறுமையில் பெரிதும் துன்புற்றிருந்தனர்.,6
சான்றோர்_தமிழ்,ஏறத்தாழ ஆண்டுக்கு ஐம்பது ரூபாய் தான் அவர்களுக்கு வருமானமாக வந்தது.,8
சான்றோர்_தமிழ்,உடையார் பாளையம் அரண்மனையின் ஜமீன்தார் ஆதரவு ஓரளவு இக்குடும்ப வாழ்க்கையை நடத்திவரத் துணை செய்தது.,11
