work_title,sentence,sentence_length
அறிவுக்_கதைகள்,அறிவுக் கதைகள் கி.,3
அறிவுக்_கதைகள்,"﻿ அறிவுக் கதைகள் நூறு முத்தமிழ்க் காவலர், கலைமாமணி, டாக்டர் கி.",9
அறிவுக்_கதைகள்,﻿பதிப்புரை கதைகள் மலிந்த காலம் இது.,5
அறிவுக்_கதைகள்,கதை சொல்வோரும் பெருகியுள்ளனர்.,3
அறிவுக்_கதைகள்,"ஆனால் வெளிவரும் கதைகள் பெரும் பாலும் பொழுதுபோக்குக் கதைகளாகவும், அழிவுக் கதைகளாகவுமே விளங்குகின்றன.",10
அறிவுக்_கதைகள்,இது நாட்டிற்கு நன்மை தராத போக்கு என்று கருதுபவர் பலர்.,8
அறிவுக்_கதைகள்,கதைகளை இனிமையாகச் சொல்லவும் வேண்டும் அந்தக் கதைகளைக் கற்கும் பிஞ்சு நெஞ்சங்களிலே நல்லறிவுச் சுடர்களையும் ஏற்றவேண்டும்.,12
அறிவுக்_கதைகள்,"தமிழர்கள் நல்லவர்களாகவும் வல்லவர்களாகவும் நெறியோடு வாழவேண்டும் என்று கருதுபவர் டாக்டர் முத்தமிழ்க் காவலர், கி.",11
அறிவுக்_கதைகள்,இந்த நோக்கில் அவர்கள் அரிய பல கருத்துச் செல்வங்களை வழங்கி வருகின்றார்கள்.,9
அறிவுக்_கதைகள்,"இப்போது, அறிவுக் கதைகள் நூறு என்னும் இந்த நூலையும், அருளோடும்.",8
அறிவுக்_கதைகள்,அன்போடும் ஆக்கித் தந்துள்ளார்கள்.,3
அறிவுக்_கதைகள்,சில் கேட்டவை சில கற்பனை.,4
அறிவுக்_கதைகள்,"இவை அனைத்தும் தமிழில், தமிழரின், தமிழகத்தின் சொத்துக்கள்.",6
அறிவுக்_கதைகள்,இவை அழிந்து போகும்படி விட்டுவிட முடியாதவை.,5
அறிவுக்_கதைகள்,"சிறியோரும், பெரியோரும் கதைகளை விரும்பி ப்டிக்கும் காலம் இது.",7
அறிவுக்_கதைகள்,"ஆகவே, கதைகளைப் படிப்பதன் மூலம் அறிவை வளர்த்துக்கொண்டு நல்வழியில் நடக்க இக் கதைகள் துணை புரியும் என நம்புகிறேன்.",14
அறிவுக்_கதைகள்,தமிழக மக்கள் படித்துப் பயன் பெறுவது நல்லது.,6
அறிவுக்_கதைகள்,"என் நூல்கள் பலவற்றையும் வெளியிட்டு உதவுகிற பாரி நிலையத்தாருக்கும், அச்சிட்டு உதவுகிற மாருதி அச்சகத்தினர்க்கும் என் நன்றியும், வணக்கமும்.",14
