work_title,sentence,sentence_length
நல்ல_கதைகள்,நல்ல கதைகள் டாக்டர்.,3
நல்ல_கதைகள்,நல்ல கதைகள் பல்கலைப் பேரறிஞர் தேசிய விருதுபெற்ற பேராசிரியர் டாக்டர் எஸ்.,9
நல்ல_கதைகள்,"நகர், சென்னை அறுநூறு  பதினேழு .",4
நல்ல_கதைகள்,"இருபது பூஜ்ஜியம் உரிமை ஆசிரியருக்கு வெளியிட்டோர் சாந்திமலர் பதிப்பகம் எட்டு, போலீஸ் குவார்ட்டர்ஸ் ரோடு தி.",12
நல்ல_கதைகள்,பணம் தந்த பரிசில் வரும் கண்ணனைப் போன்ற மாணவர்கள் பலர் இன்றும் உள்ளனர்.,10
நல்ல_கதைகள்,கண்ணன் திருந்துவது போல் இக்கதையாலும் பலர் திருந்துவார்கள் என்று நான் உறுதியாக நம்புகிறேன்.,10
நல்ல_கதைகள்,தூக்கம் தந்த பரிசு இன்றைய சிறார்க்கு ஒரு சிறந்த பாடமாகும்.,8
நல்ல_கதைகள்,மாணவரில் பலர் தூக்கத்தால் தங்களது கல்வியினை இழந்து வாழ்வில் துயறுற்று வருந்துகின்றனர்.,9
நல்ல_கதைகள்,அவர்கள் தூக்கத்தால் வாழ்வில் நல்லதொரு வாய்ப்பை இழந்த மணியை நினைத்துக் கொள்ளட்டும்.,9
நல்ல_கதைகள்,அன்பு உலகின் அனைத்துக்கும் அடிப்படை.,4
நல்ல_கதைகள்,அன்பால் எவரையும் நன்னெறிப்படுத்தலாம்.,3
நல்ல_கதைகள்,இக்கருத்துக்களை மையமாகக் கொண்டு அன்பு தந்த பரிசு என்னும் கதை எழுதப்பட்டுள்ளது.,9
நல்ல_கதைகள்,இந்நூலை எங்கள் பதிப்பகத்தில் வெளியிட வாய்ப்பளித்த டாக்டர்.,6
நல்ல_கதைகள்,நவராஜ் செல்லையா அவர்களுக்கு எங்கள் நன்றி.,5
நல்ல_கதைகள்,பணம் பந்த பரிசு !,3
நல்ல_கதைகள்,தூக்கம் தந்த பரிசு !,3
நல்ல_கதைகள்,முப்பத்து நான்கு மூன்று.,3
நல்ல_கதைகள்,அன்பு தந்த பரிசு !,3
நல்ல_கதைகள்,அவன் அரைத் தூக்கத்தில் இருப்பது போல் அமர்ந்திருந்தான்.,6
நல்ல_கதைகள்,"அவனது நெற்றியில் சுருக்கம் விழுந்து விரிந்தது, எதையோ அவன் ஆழ்ந்து யோசிப்பதை வெளிப்படுத்திக் கொண்டிருந்தது.",11
நல்ல_கதைகள்,இன்று மாலை வரவேண்டியதுதான்.,3
நல்ல_கதைகள்,வீட்டிற்குப் போக வேண்டும்.,3
நல்ல_கதைகள்,கற்பனை அதற்கு இதமாக தாளம் போட்டுக் கொண்டிருந்தது.,6
நல்ல_கதைகள்,ஆசிரியர் அருமையாகப் பாடம் சொல்லித் தந்து கொண்டிருக்கிறாரே என்ற எண்ணம் அவனுக்கு எழவில்லை.,10
நல்ல_கதைகள்,"வகுப்பின் கடைசியிலே, ஒரு மூலையில்தான் கண்ணன் எப்பொழுதும் உட்கார்ந்திருப்பான்.",7
நல்ல_கதைகள்,மாப்பிள்ளை பெஞ்சு என்று அதற்குப் பெயர்.,5
நல்ல_கதைகள்,கண்ணனுக்கு அந்த இடம்தான் எப்பொழுதும் பிடிக்கும்.,5
