work_title,sentence,sentence_length
எனது_நாடக_வாழ்க்கை,எனது நாடக வாழ்க்கை அவ்வை தி.,5
எனது_நாடக_வாழ்க்கை,﻿எனது நாடக வாழ்க்கை அவ்வை தி.க.,6
எனது_நாடக_வாழ்க்கை,சண்முகம் எம்.எல்.சி.,4
எனது_நாடக_வாழ்க்கை,வானதி பதிப்பகம் பதிமூன்று .,3
எனது_நாடக_வாழ்க்கை,தீனனதயாளு தெரு தி.,3
எனது_நாடக_வாழ்க்கை,"நகர், சென்னை பதினேழு  ﻿முதற் பதிப்பு ஏப்ரல், ஓர் ஆயிரத்து தொள்ளாயிரத்து எழுபத்திரண்டு அவ்வை தி.",12
எனது_நாடக_வாழ்க்கை,சண்முகம் மணிவிழா வெளியீடு மூன்றாம் பதிப்பு நவம்பர் ஓர் ஆயிரத்து தொள்ளாயிரத்து எண்பத்தாறு திருகாவுக்கரசு தயாரிப்பு விலை ரு.,14
எனது_நாடக_வாழ்க்கை,கே. ஷண்முகம் எம்.,3
எனது_நாடக_வாழ்க்கை,பொதுவாகத் தமிழ் மக்கள் அனைவரும் போற்றுதற் குரியது என்ற என் பணிவான கருத்தினைத் தெரிவித்துத் திரு டி.,13
எனது_நாடக_வாழ்க்கை,கே. எஸ் அவர்களின் அரிய முயற்சி வெல்க என வாழ்த்துகின்றேன்.,8
எனது_நாடக_வாழ்க்கை,"கூத்தாடிகள், குடிகாரர்கள் இவை போன்ற பெயர்கள் நாடகக்காரர்களுக்கு அடைமொழிகளாயிருந்து வந்தன.",8
எனது_நாடக_வாழ்க்கை,நாடகக்காரன் என்றால் குடியிருக்க வீடும் கொடுக்கமாட்டார்கள்.,5
எனது_நாடக_வாழ்க்கை,அவ்வளவு நல்ல பெயர் நடிகனுக்கு.,4
எனது_நாடக_வாழ்க்கை,இளம் பெண்களைக் கடத்திச் சென்று விடுவான் என்று மக்கள் பயப்பட்டார்கள்.,8
எனது_நாடக_வாழ்க்கை,இந்தப் பயத்தில் ஒரளவு உண்மையும் இருந்தது.,5
எனது_நாடக_வாழ்க்கை,பெற்றோர்கள் தங்கள் பிள்ளைகளை நாடகம் பார்க்க அனுமதிக்கமாட்டார்கள்.,6
எனது_நாடக_வாழ்க்கை,நாடகம் பார்த்த இளைனார்கள் அதை நாலு பேருக்கு நடுவில் சொல்லிக்கொள்ள வெட்கப்படுவார்கள்.,9
எனது_நாடக_வாழ்க்கை,நாடகக் கொட்டகைக்கு எதிரிலேயே ஒரு கள்ளுக் கடையும் இருக்கும்.,7
எனது_நாடக_வாழ்க்கை,"ஆம் இயல், இசை, நாடகம் என்று தமிழ்மொழியை மூன்றாக வகுத்த நாட்டிலேதான் இந்தக் கேவலநிலை.",11
எனது_நாடக_வாழ்க்கை,தாயும் தந்தையும் என் தந்தையார் திரு டி.,6
எனது_நாடக_வாழ்க்கை,கண்ணாசாமிப்பிள்ளை தாயார் திருமதி சீதையம்மாள்.,4
எனது_நாடக_வாழ்க்கை,தந்தையாரும் ஒரு நடிகர்.,3
எனது_நாடக_வாழ்க்கை,பெண் வேடம் தரித்து நடிப்பதில் பிரசித்தி பெற்றவர்.,6
எனது_நாடக_வாழ்க்கை,வேலுநாயர் பின்பாட்டுப் பாடுவதிலிருந்து ராஜபார்ட் வேடத்திற்கு வரத் துாண்டுகோலாயிருந்தவர் என் தந்தையார்.,9
எனது_நாடக_வாழ்க்கை,"இச்செய்தியினைத் திரு நாயரவர்களே என்னிடம் கூறி, என் தந்தையாரைப் பாராட்டினார்.",8
எனது_நாடக_வாழ்க்கை,அந்த நாளில் எல்லா நாடக நடிகர்களுக்கும் ஆசிரியராக இருந்தவர் தவத்திரு சங்கரதாஸ் சுவாமிகள்.,10
எனது_நாடக_வாழ்க்கை,அவரைத் தமிழ் நாடகத் தலைமை ஆசிரியர் என்றே எல்லோரும் குறிப்பிடுவார்கள்.,8
எனது_நாடக_வாழ்க்கை,என் தந்தையும் அவரது மாளுக்கர்களிலே ஒருவர்.,5
எனது_நாடக_வாழ்க்கை,நாடகத் தொழிலுக்கு அக்காலத்தில் தாய் வீடாக விளங்கியது மதுரைமாரு கரம்.,8
எனது_நாடக_வாழ்க்கை,நாடகக் கம்பெனிகள் பெரும்பாலும் மதுரையிலிருந்தே தொடங்கும்.,5
எனது_நாடக_வாழ்க்கை,"இளஞ் சிறுவர்களையே முழுதும் நடிகர்களாகக் கொண்ட அந்தச் கம்பெனியின் பெயர், மதுரை தத்துவ மீனலோசனி வித்துவ பால சபா.",14
எனது_நாடக_வாழ்க்கை,"ஒரு நாள் என் தந்தையார் என் சகோதரர்களுடன் என்னையும் அழைத்துக் கொண்டு, தமது ஆசிரியராகிய சுவாமிகளைக் காணச் சென்றார்.",14
எனது_நாடக_வாழ்க்கை,நாடகத்துறையை வெறுத்திருந்த தந்தையார் தயங்கினார்.,4
எனது_நாடக_வாழ்க்கை,குழந்தைகள் படிக்கிறார்கள் அவர்களுடைய படிப்பு... என்று ஏதோ சொல்ல முயன்றார்.,8
எனது_நாடக_வாழ்க்கை,"உடனே சுவாமிகள், நானே தமிழ்ப் படிப்பும் சொல்லி வைக்கிறேன் படித்து வக்கீல் உத்தியோகம் செய்யப் போகிறார்களா, என்ன !",13
எனது_நாடக_வாழ்க்கை,"நல்ல சந்தர்ப்பம், இங்கேயே சேர்த்துவிடு என்று வற்புறுத்திச் சொன்னார்.",7
எனது_நாடக_வாழ்க்கை,எங்கள் தந்தை அப்போது ஸ்பெஷல் நாடகம் என்ற மரக் கட்டையைப் பற்றிக் கொண்டு வாழ்க்கைக் கடலில் நீந்திக் கொண்டிருந்தார்.,14
எனது_நாடக_வாழ்க்கை,"கொழும்பு, யாழ்ப்பாணம் முதலிய இலங்கைத் தீவின் நகரங்களிலேதான் அவரது நாடகப்பணி மிகுதியாக நடை பெற்று வந்தது.",12
