work_title,sentence,sentence_length
சொன்னார்கள்,அக்காலத்து மக்களுக்கு அவர் எத்தனையோ அறிவுரைகள் கூறியிருத்தல் கூடும்.,7
சொன்னார்கள்,"அவ்வாறே, கவிச்சக்கரவர்த்தி கம்பனும், ஆசுகவி காளமேகமும், எல்லப்ப நாவலரும், இன்னும் பலரும் பேசியிருத்தல் கூடும்.",11
சொன்னார்கள்,"எனினும், அவர்களுடைய கவிதைகள் நமக்குக் கிடைத்திருக்கின்றனவே யன்றி அவர் களுடைய சொற்பொழிவுகள் நமக்குக் கிடைக்கவில்லை.",11
சொன்னார்கள்,சென்ற நூற்றாண்டில் வாழ்ந்த இராமலிங்க அடிகளாரின் சமுதாயச் சீர்திருத்தச் சொற்பொழிவுகளும் நமக்குக் கிடைக்கவில்லை.,10
சொன்னார்கள்,நம் நாட்டைப் பொறுத்தவரையில் ஓர் ஆயிரத்து தொள்ளாயிரத்து இரண்டு ல் வெளிவந்த நாகப்பட்டினம் சோ.,11
சொன்னார்கள்,வீரப்ப செட்டியார் அவர்களின் சொற்பொழிவு நூலே நமக்குக் கிடைத்திருக்கும் முதல்நூல் என்று நான் கருதுகிறேன்.,11
சொன்னார்கள்,"இந்த நூற்றாண்டில் வாழும் பேச்சாளர்கள், அரசியலைப் பற்றியும், விஞ்ஞானத்தின் அவசியத்தைப் பற்றியும் அன்றாடம் பேசிவருகின்றனர்.",11
சொன்னார்கள்,"அவன், அதனை இப்போது ஒரு நூலாக வெளியிட்டிருக்கிறான்.",6
சொன்னார்கள்,சொன்னார்கள் என்னும் இந்த நாக்குநூல் கற்றவர்களுக்கும் பயன்படும்.,6
சொன்னார்கள்,மற்றவர்களுக்குப் பயன்படு வதைக் காட்டினும் மேடைப் பேச்சாளர் களுக்கு இது மிகவும் பயன்படும் என்றே கருதுகிறேன்.,12
சொன்னார்கள்,—ஹிமாயூன் நாம் சமீபத்தில் நடத்திக் கொண்டிருக்கும் காரியங்களைப் பற்றி உலகத்தார் என்ன நினைப்பார்கள்?,10
சொன்னார்கள்,நவாப்பு என்ன நினைப்பான்?,3
சொன்னார்கள்,—ராபர்ட் கிளைவ் என்னுடைய வாரிசுகளைத் தருவித்து என் ஜமீனைக் கொடுக்க வேண்டும்.,9
சொன்னார்கள்,அதற்கு அத்தாட்சியாகக் கவர்ன்மெண்டு கத்தியைப் போட்டுத் தாண்டி நீங்கள் சத்தியம் செய்து தரவேண்டும்.இது சத்தியம்.,12
சொன்னார்கள்,"—மருதுபாண்டியர் கவி வர்ணனை மூளையினின்று மறைந்து நீங்குவது போல, இராஜாராம் மோகன்ராய் நம் மத்தியிலிருந்து மறைந்து விட்டார்.",13
சொன்னார்கள்,—பாக்ஸ் பாதிரியார் நண்பர்களே !,3
சொன்னார்கள்,எனக்கு இவ்வுலக வாழ்க்கை முடிந்தது விண்ணுலக வாழ்க்கை கிட்டிற்று.,7
