work_title,sentence,sentence_length
வாழ்க்கை_நலம்,"﻿கலைவாணி வெளியீடு முதற்பதிப்பு டிசம்பர், ஓர் ஆயிரத்து தொள்ளாயிரத்து தொன்னூற்றிரண்டு.",8
வாழ்க்கை_நலம்,"கடலோசை அச்சகம், சென்னை அறுநூறு  இருபத்து நான்கு.",6
வாழ்க்கை_நலம்,﻿அணிந்துரை சிலம்புச் செல்வர் டாக்டர் ம.,5
வாழ்க்கை_நலம்,"சிவஞானம் தவத்திரு குன்றக்குடி அடிகளார், தாம் கொண்ட கோலத்திற்கேற்ப தலைசிறந்த ஆன்ம ஞானி.",10
வாழ்க்கை_நலம்,"தெய்வ பக்தியோடு, தேச பக்தியும் கொண்டவராதலால் ஆன்மிகத் தோடு அறிவியலையும் கலந்து சிந்திக்க அவரால் முடிகிறது.",12
வாழ்க்கை_நலம்,அடிகளார் பல்வேறு காலங்களில் பல்வேறு அரங்குகளில் வெளியிட்ட கருத்துக்கள் இந்நூல் வடிவம் பெற்று தமிழர் கைக்கு வருகிறது.,13
வாழ்க்கை_நலம்,"அடிகளார் மெய்யறிவு நிலையில் மட்டுமல்லாமல், விஞ்ஞான அறிவிலும் தமிழ் தலைசிறந்து விளங்க வேண்டு மென விரும்புகிறார்.",12
வாழ்க்கை_நலம்,அதனை பல்வேறு கோணங்களில் நின்று வெளியிட்டு தமிழர்களுக்கு வழிகாட்டுகிறார்.,7
வாழ்க்கை_நலம்,அறிவியற் கலைகளைப் பயிற்றுவிக்கும் கோயில்களான பல்கலைக் கழகங்களிலே இன்னமும் தமிழுக்கு இடமில்லை.,9
வாழ்க்கை_நலம்,"அதாவது, தமிழ்நாட்டுப் பல்கலைக் கழகங்களிலே ﻿அனைத்துப் பாடங்களிலும் தமிழில் போதிக்குங்கால், தமிழில் அறிவியல் நூல்கள் பெருகும்.",12
வாழ்க்கை_நலம்,இந்தக் கொள்கையிலே நாங்கள் ஒன்றுபட்டவர்கள்.,4
வாழ்க்கை_நலம்,இ த னை ச் சாதிக்க அரசின் துணை தேவைப்படுகிறது.,8
வாழ்க்கை_நலம்,"அடிகளாரும், நானும் அத்துறையில் ஒன்றுபட இறையருள் கூட்டுவிக்குமாக !",6
வாழ்க்கை_நலம்,நூலை விரிவாகப் படிக்கப் படிக்க எனது அறிவு விரிவடைகிறது.,7
வாழ்க்கை_நலம்,ஒவ்வொரு தமிழரும் எனது நிலையை அடைய இந்நூல் பயன்படுமாக !,7
வாழ்க்கை_நலம்,கலைவாணி புத்தகாலயத்தின் உரிமையாளர் திரு.,4
வாழ்க்கை_நலம்,திருநாவுக்கரசு அவர்கள் நன்றாகப் பதிப்பித்துள்ளார்.,4
வாழ்க்கை_நலம்,அடிகளாருக்கு என் மனமுவந்த நன்றி.,4
வாழ்க்கை_நலம்,பதிப்பகத்தாருக்கு என் பாராட்டு.,3
வாழ்க்கை_நலம்,சென்னை பதினெட்டு  ம.,3
வாழ்க்கை_நலம்,"﻿ பதிப்புரை உலக மக்கள் அனைவரும் வளமாக, நலமாக வாழ வேண்டும் என்று விரும்புவது இயல்பே.",12
வாழ்க்கை_நலம்,உலக சமுதாயத்தின் மகிழ்வான வாழ்க்கைக்கு சிறந்த வழிகாட்டும் நூல் திருக்குறள்.,8
வாழ்க்கை_நலம்,"ஆன்மாவும், உடலும் போல, அகமும், புறமும் சேர்ந்ததே வாழ்க்கை.",7
