work_title,sentence,sentence_length
இதய_உணர்ச்சி,﻿இதய உணர்ச்சி ﻿பொ.,3
இதய_உணர்ச்சி,"எல்., சென்னைப் பல்கலைக் கழகத் தங்கப் பதக்கம் பெற்றவ கூட்டாசிரியர், தமிழ்க்கலைக் களஞ்சியம்.",10
இதய_உணர்ச்சி,அய்யர் முகவுரை இசையரசு எம்.,4
இதய_உணர்ச்சி,திரு கூடசுந்தரம் எம்.,3
இதய_உணர்ச்சி,ஓர் ஆயிரத்து எண்ணூற்று தொன்னூற்றொன்று ம் ஆண்டில் பிறந்தவர்.,7
இதய_உணர்ச்சி,ஐந்து வது பாரம் முதல் முதற் பரிசு பெற்றார்.,7
இதய_உணர்ச்சி,ஏ.இல் பல்கலைக் கழகத் தங்கப் பதக்கம் பெற்றார்.,7
இதய_உணர்ச்சி,ஓர் ஆயிரத்து தொள்ளாயிரத்து இருபத்தொன்று ல் வக்கீல் வேலையை விட்டு ஒத்துழையாமை இயக்கத்தில் ஈடுபட்டார்.,11
இதய_உணர்ச்சி,திருநெல்வேலி ஜில்லாவிலும் செட்டிநாட்டிலும் காந்தீய இயக்கத்தை வேரூன்றச் செய்தார்.,7
இதய_உணர்ச்சி,காந்தியடிகள் கட்டுரைகளை முதன் முதலில் தமிழில் மொழிபெயர்த்தவர்.,6
இதய_உணர்ச்சி,"திருநெல்வேலி நகரசபையில் அங்கத்தினராகவும், தேவ கோட்டை நகர சபையில் வைஸ்சேர்மனகவும் இருந்து சமூக சேவை செய்தார்.",12
இதய_உணர்ச்சி,தீண்டாமை விலக்குக்குக் தீவிரமாக உழைத்தார்.,4
இதய_உணர்ச்சி,அவரும் அவர் மனைவியாரும் நாகர் கோவிலில் தீண்டாமை விலக்குச் சங்கம் நிறுவி ஆலயப் பிரவேசத்துக்கு அடிகோலினர்.,12
இதய_உணர்ச்சி,தமிழ் ஹரிஜன் பத்திரிகைக்கு ஆசிரியராகயிருக்கார் ஆங்கிலத்திலும் தமிழிலும் பாண்டித்திய முடையவர்.,8
இதய_உணர்ச்சி,சென்னை செனட் சபையில் அங்கத்தினராக இருந்தார்.,5
இதய_உணர்ச்சி,"தமிழில் சொந்தமாக பத்து நூல்களும், மொழி பெயர்ப்பாக பத்து நூல்களும் எழுதியுள்ளார்.",9
இதய_உணர்ச்சி,"அவை அறிவும் இன்பமும் பெற விரும்புவோர், படிக்க வேண்டிய நூல்கள்.",8
இதய_உணர்ச்சி,சென்னை சர்க்கார் மூன்று நூல்களுக்கு பரிசு அளித்துள்ளார் சிறந்த கட்டுரையாளர்.,8
இதய_உணர்ச்சி,விஞ்ஞானம் முதலிய கடினமான பொருள்களை எளிதில் விளங்கு மாறு எழுதக்கூடியவர்.,8
இதய_உணர்ச்சி,இப்பொழுது கலைக் களஞ்சியக் கூட்டாசிரியர்.,4
இதய_உணர்ச்சி,எளிய வாழ்க்கையும் உயர்ந்த சிந்தனையு முடையவர்.,5
