work_title,sentence,sentence_length
தமிழகத்தில்_குறிஞ்சி_வளம்,"﻿தமிழகத்தில் குறிஞ்சி வளம் ஆசிரியர் முருகுசுந்தரம், எம்.ஏ.",7
தமிழகத்தில்_குறிஞ்சி_வளம்,"பழனியப்பா பிரதர்ஸ் சேப்பாக்கம் தெப்பக்குளம் சென்னை திருச்சி முதற் பதிப்பு பிப்ரவரி விலை ரூ. ஏஷியன் பிரிண்டர்ஸ், சென்னை",14
தமிழகத்தில்_குறிஞ்சி_வளம்,உட்தலைப்புகள் முன்னுரை ஒன்று.,3
தமிழகத்தில்_குறிஞ்சி_வளம்,சேர்வராயன் மலை மூன்று.,3
தமிழகத்தில்_குறிஞ்சி_வளம்,கொல்லி மலை நான்கு.,3
தமிழகத்தில்_குறிஞ்சி_வளம்,நீலகிரி மலைகள் ஐந்து.,3
தமிழகத்தில்_குறிஞ்சி_வளம்,பழனி மலைகள் ஆறு.,3
தமிழகத்தில்_குறிஞ்சி_வளம்,குற்றாலம் ﻿முன்னுரை ஒரு சொற்றாெடர் எழுதுவதற்கு நூறு நூல்கள் படித்தேன்.,8
தமிழகத்தில்_குறிஞ்சி_வளம்,ஒரு வருணனை எழுதுவதற்கு நூறு கல் சுற்றுப் பயணம் செய்தேன் என்று குறிப்பிட்டான் ஆங்கிலச் சொல்லேருழவன் மெகாலே.,13
தமிழகத்தில்_குறிஞ்சி_வளம்,இதைப் படித்தவுடன் என்னையறியாமல் ஒருவகை உள்ளக்கிளர்ச்சி பெற்றேன்.,6
தமிழகத்தில்_குறிஞ்சி_வளம்,நாமும் ஏன் தமிழகத்தைச் சுற்றிவரக்கூடாது? என்ற எண்ணம் என் உள்ளத்தில் ஏற்பட்டது.,9
தமிழகத்தில்_குறிஞ்சி_வளம்,முதன் முதலாக இயற்கை எழில்மிக்க தமிழகத்து மலைகளைச் சுற்றிப் பார்க்கவேண்டும் என்று முடிவுசெய்தேன்.,10
