work_title,sentence,sentence_length
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,பெஞ்சமின் ஃபிராங்ளினின் நம்மைமேம்படுத்தும் எண்ணங்கள் என்.,5
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,﻿பெஞ்சமின் ஃபிராங்ளினின் நம்மை மேம்படுத்தும் எண்ணங்கள் புலவர் என்.,7
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,"கலைமணி, எம்.ஏ.",3
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,"பாரதி நிலையம் நூற்றி இருபத்தாறு நூற்றி எட்டு, உஸ்மான் சாலை, தியாகராய நகர், சென்னை அறுநூறு ஆயிரத்து பதினேழு .",14
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,என்ற வினாவுக்கு விளக்கமான விடைகளை விளக்கிய மாமேதை பெஞ்சமின் ஃபிராங்ளின் என்று பெருமகனார்.,10
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,உலகம் ஒரு சிந்தனைப் புத்தகம் !,4
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,"அதில், பெஞ்சமினின் தனி மனித முன்னேற்றம் என்ற வாழ்க்கை வரலாறு, ஒரு தங்கத் தகடாலான பக்கமாக அமைந்துள்ளது.",13
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,"அவை அனைத்தையும் இந்த உலகம் இன்றும் அனுபவித்து வாழ்ந்து கொண்டிருக்கின்ற அதிசயங்களை நாம் படித்துக் கொண்டிருக்கின்றோம் பார்த்து, மகிழ்கின்றோம்.",14
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,அவை அத்தனையும் இன்றும் மனித வாழ்க்கைக்கு ஈடிலா நன்மை பயந்து கொண்டிருப்பதை மக்கள் நாள்தோறும் அனுபவித்துக் கொண்டிருக்கிறார்கள்.,13
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,இதோ அவர் கண்டு பிடித்த சாதனைகளின் பட்டியல் ஒன்று.,7
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,"சேறும் சகதியும் சாக்கடையுமாயிருந்த பிலடெல் பியாநகர் வீதிகளை, நகர மக்கள் சுத்தமாக நடமாடிட நடைமேடை தளவரிசைகளை அமைத்துத் தந்தார்.",14
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,அவர்களுக்குரிய கூலியை அந்த தெருவிலே வசிப்பவரிடமே வசூலித்துக் கொடுத்தார்.,7
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,இதற்கான பணச் செலவை அந்த ஊராரிடமே வசூல் செய்து கொடுத்தார்.,8
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,அதனால் வீதிகளிலே இரவு காலங்களில் மக்கள் பயமின்றி நடக்கும் நிலை ஏற்பட்டது.,9
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,பென்சில்வேனியா நகரில் உள்ள முதலாவது வைத்திய சாலையை உருவாக்கிட போராடியவர்களிலே அவர் முதல் மனிதராக நின்றார் !,12
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,"பெஞ்சமின், போஸ்ட்மாஸ்டர் ஜெனரலாகப் பதவி பெற்றார்.",5
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,அதுவரை அந்த துறை நட்டத்திலேயே நடந்து வந்தது.,6
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,"அதை லாபகரமாக மாற்றவும், வீடுகளுக்கே வந்து தபால் வழங்கும் முறையைப் போல அன்றே ஏற்பாடு செய்தார்.",12
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,அதாவது டெட் லெட்டர் ஆபீஸ் என்ற ஒரு பிரிவை தபாலாபீசில் உருவாக்கினார்.,9
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,அந்த முறை இன்றும் நம் நாட்டில் உள்ளதைப் பார்க்கிறோம்.,7
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,"அமெரிக்க, தத்துவ ஞானிகள் சங்கத்தைத் துவக்கி வைத்தார்.",6
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,அந்த சங்கம் ஏறக்குறைய இருநூற்று இருபது ஆண்டுகளுக்கு மேலாக இன்றும் பிலடெல்பியா நகரிலே இயங்குவதைப் பார்க்கலாம்.,12
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,"பெஞ்சமின் ஃபிராங்ளின் முதன்முதலாக, பதின்மூன்று மூல குடியேற்ற நாடுகளின் ஒற்றுமையைப் பற்றிச் சிந்தித்தார்.",10
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,பிலெடல்பியா நகரில் அதுவரையில் கேட்டிராத ஒரு பைத்தியக்காரர்கள் ஆஸ்பத்திரியை மனநோய் நல மருத்துவமனை என்ற பெயரிலே புதிதாகவே உருவாக்கினார்.,14
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,முதன் முதலாக மின்சார பேட்டரியை அவர்தான் கண்டுபிடித்துக் கொடுத்தார்.,7
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,"மின்சாரத்தில் பாசிட்டில், நெகட்டிவ் என்ற இரண்டுரக ஓட்டங்கள் இருக்கின்றன என்று குறிப்பிட்டுக் காட்டியவரே ஃபிராங்ளின்தான்.",11
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,மின்சாரமும் மின்னலும் ஒன்றுதான் என்பதே ஆதாரங்களோடு நிரூபித்து முதன்முதலாகக் கூறியவரும் அந்த மாமேதை பெஞ்சமின்தான்.,11
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,அந்த கண்டுபிடிப்பின் பயன் என்ன?,4
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,மக்களின் கோடிக்கணக்கான ரூபாய் மதிப்புள்ள சொத்துக்களை இன்றும் இயற்கையின் இழப்பிலேயிருந்து தற்காத்துக் கொள்கிறோம் இல்லையா?,11
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,பென்சில்வேனியா நகர சட்டசபையில் அவர் பதினான்கு ஆண்டுகள் உறுப்பினராக பணியாற்றியுள்ளார்.,8
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,அதன் செல்வாக்கை மக்கட் பணிக்காக நாட்டு விடுதலைக்காக நிலைநாட்டினார் பெஞ்சமின்.,8
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,அக்காலத்தில் மிக முக்கியமான செய்திப் பத்திரிகையாக விளங்கிய பென்சில்வேனியா கெசட்டை பெஞ்சமின் ஃபிராங்ளின்தான் சொந்தமாக நடத்திக்காட்டினார் வெற்றியும் பெற்றார்.,14
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,பெரியம்மை நோய் வராமல் தடுப்பதற்கு அம்மை குத்திக் கொள்ளும் பழக்கம் அதுவரையில் வராமலிருந்தது.,10
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,அந்த ஊசியை மக்கள் போட்டுக் கொள்ளும் வழக்கத்தை பிராங்ளின் தான் ஏற்படுத்தினார்.,9
