work_title,sentence,sentence_length
சங்க_கால_வள்ளல்கள்,"இந்நூலைத் தமிழ் உலகம் ஏற்று, என்னை இத் துறையில் மேன் கத் துணைபுரியும் என்று எதிர்பார்க்கின்றேன்.",12
சங்க_கால_வள்ளல்கள்,உள்ளுறை எண் பக்கம் பொருள் ⁠ தோற்றுவாய்... ஒன்று ஒன்று.,8
சங்க_கால_வள்ளல்கள்,பாரி... மூன்று இரண்டு.,3
சங்க_கால_வள்ளல்கள்,வல்வில் ஓரி... பதினான்கு  மூன்று.,4
சங்க_கால_வள்ளல்கள்,ஆய் அண்டிரன்... இருபத்திரண்டு நான்கு.,4
சங்க_கால_வள்ளல்கள்,திருமுடிக் காரி... முப்பத்து நான்கு ஐந்து.,5
சங்க_கால_வள்ளல்கள்,நள்ளி... நாற்பத்திரண்டு ஆறு.,3
சங்க_கால_வள்ளல்கள்,நெடுமான் அஞ்சி... ஐம்பத்தொன்று ஏழு.,4
சங்க_கால_வள்ளல்கள்,அங்ஙனம் அமைத்த கருத்துக்களில் ஈதல் இசைபட வாழ்தல் அதுவல்லது ஊதியம் இல்லை உயிர்க்கு என்பதும் ஒன்று.,12
சங்க_கால_வள்ளல்கள்,ஈதலையே தம் வாழ்வாகக் கருதி அவ்வாழ்வே தம் மறுமையிலும் தொடரவேண்டும் என்று விரும்புபவர்களும் பலர் நம் நாட்டில் இருந்திருக்கின்றனர்.,14
சங்க_கால_வள்ளல்கள்,கன்னனது ஆவியோ நிலையில் கலங்கி இருந்தது.,5
சங்க_கால_வள்ளல்கள்,"அவ்வாவி ஆக்கையின் அகத்ததோ, புறத்ததோ என்னும் நிலையில் இருந்தது.",7
சங்க_கால_வள்ளல்கள்,அந்நிலையிலும் அவன் கண்ணனுக்கு வேண்டியதை ஈந்து கன் இசையை நிலை நிறுத்தினான் என்பதைக் கேள்விப்படுகிறோம் அல்லவா?,12
சங்க_கால_வள்ளல்கள்,"இங்ஙனம் பிறர்க்காக வாழ்ந்த பெரியவர்களையே நம்மவர் வள்ளல்கள், ஈகையாளர்கள், கொடையாளிகள், வண்மைமிக்கவர் என்று பாராட்டி வந்தனர்.",12
சங்க_கால_வள்ளல்கள்,அவ்விருபான் ஒருவரையும் மூன்றாக வகைப்படுத்தி எழுவர் எழுவராகவும் தொகைப்படுத்தினர்.,7
சங்க_கால_வள்ளல்கள்,"அங்ஙனம் தொகையாகக் குறிப்பிடப் பட்டவர்களை முதல் எழுவள்ளல்கள், இடையெழு வள்ளல்கள், கடையெழு வள்ளல்கள் எனக் கணித்துங் காட்டினர்.",13
சங்க_கால_வள்ளல்கள்,"அவர்களுள் முதல் எழுவள்ளல்களாக முதல் அணியில் நிற்பவர்கள் சகரன், காரி, நளன், துந்துமாரி, நிருதி, செம்பியன், விராடன், என்பவர்கள்.",14
சங்க_கால_வள்ளல்கள்,"இடையெழு வள்ளல்களாக இருந்து ஏற்றம் பெற்றவர்கள், அக்குரன், அந்திமான், கன்னன், சந்தன், சந்திமான், சிசுபாலன், வக்கிரன் என்பவர்கள்.",13
சங்க_கால_வள்ளல்கள்,அவ் விருபான் ஒருவருள் கடைநின்ற கடையெழுவள்ளல்களின் வரலாறுகளை மட்டும் ஈண்டு உணர்வோ வி ஒன்று.,11
சங்க_கால_வள்ளல்கள்,பாரி பாரியின் பொது இயல்பு பாரி என்பவன் பறம்பு நாட்டிற்குத் தலைவன்.,9
சங்க_கால_வள்ளல்கள்,"அப்பறம்பு, மலையும் மலையைச் சார்ந்த முந்நூறு ஊர்களையு முடையது.",7
சங்க_கால_வள்ளல்கள்,"இவன் பறம்பு மலைக்கும் பறம்பு நாட்டிற்குந் தலைவனாக இருந்தாலும், பேர் அரசர் என்னும் பெயரைப் பெறுதற்குரியன் அல்லன்.",13
சங்க_கால_வள்ளல்கள்,இவன் குறுநில மன்னன் என்றே குறிப்பிடத்தக்கவன்.,5
சங்க_கால_வள்ளல்கள்,"இவன், குறுநில மன்னனேயானாலும் பெரு நில மன்னர்க்குரிய தகுதிகள் பலவும் அமையப்பெற்றவன்.",9
சங்க_கால_வள்ளல்கள்,இவன் வீரமும் ஈரமும் ஒருங்கே அமைந்து விளங்கியவன்.,6
சங்க_கால_வள்ளல்கள்,இவன் வீரத்திலும் இவன் மாட்டு அமைந்த ஈரமே இசையால் திசைபோயதாய்க் காணப்பட்டது.,9
சங்க_கால_வள்ளல்கள்,"இவனைக் கபிலர் இகழ்வது போலப் புகழும் முறையில் ஓர் அழகிய பாட்டையும் பாடி, இவனது கொடைத் திறத்தைச் சிறப்பித்துள்ளனர்.",14
சங்க_கால_வள்ளல்கள்,"இவ்வுலகை வறுமையால் நலியாவண்ணம் காப்பவன் பாரி ஒருவனே அல்லன், மாரியும் உண்டு, என்பதாம்.",10
சங்க_கால_வள்ளல்கள்,உலகைக் காப்பதற்கு மாரியும் பாரியுமன்றி வேறல்லர் என்பதாம்.,6
சங்க_கால_வள்ளல்கள்,இதன் நுண்பொருளைச் சிந்திக்கவும்.,3
சங்க_கால_வள்ளல்கள்,"இது வரம்புகடந்த புகழ்ச்சியேயானாலும், பாரி கொடைத்திறத்திற்கு ஓர் எடுத்துக் காட்டாகத் திகழ்ந்தான் என்பதில் ஐயமின்று.",11
சங்க_கால_வள்ளல்கள்,"இவன் கொடுக்குமுன், இஃது அஃறிணைப்பொருள், இவர்கள் உயர்திணை மக்கள் என்று கூடச் சிந்திப்பதில்லை.",10
சங்க_கால_வள்ளல்கள்,இருதிணைப் பொருள்களையும் ஒக்கவே எண்ணி ஈந்துவந்தான்.,5
சங்க_கால_வள்ளல்கள்,"ஒருசமயம் பாரி தன் மலைவளங்காணத் தன் ஆழியில் ஊர்ந்து வெளியே சென்றவன், இயற்கை எழிலை இனிது துய்த்துக்கொண்டு வந்தான்.",14
சங்க_கால_வள்ளல்கள்,காணவேண்டிய காட்சிகளைக் கண்டு களித்தான்.,4
சங்க_கால_வள்ளல்கள்,பின்னர் அரண்மனை நோக்கி ஆழிமிசை இவர்ந்து வருவானானான்.,6
சங்க_கால_வள்ளல்கள்,"வருகின்ற வழியில் ஒரு முல்லைக்கொடி படர்ந்து தென்றலங் குழவி மெல்லெனத் தவழ்தலால், அலைப்புண்டு ஆடிக்கொண்டிருந்தது.",11
சங்க_கால_வள்ளல்கள்,அதனைக் கண்டான் பாரி.,3
சங்க_கால_வள்ளல்கள்,உடனே தன் வையத்தினின்று கீழே இழிந்தனன்.,5
சங்க_கால_வள்ளல்கள்,"இம்முல்லைக்கொடி, தான் நன்கு செழித்துப் படர் தற்குரிய கொழுகொம்பு இன்றி இப்படி அலைகிறது போலும் !",11
சங்க_கால_வள்ளல்கள்,இதற்கு ஆண்டவன் வாயினை அமைத்திருப்பின் தன் இடர்ப்பாட்டை எளிதில் வெளியிட்டிருக்கும்.,8
