work_title,sentence,sentence_length
தாவோ_-_ஆண்_பெண்_அன்புறவு,தாவோ ஆண் பெண் அன்புறவு புலவர் த.,6
தாவோ_-_ஆண்_பெண்_அன்புறவு,﻿தாவோ ஆண் பெண் அன்புறவு ஆங்கில ஆக்கம் இரே கிரிக்கு தமிழாக்கம் த.,10
தாவோ_-_ஆண்_பெண்_அன்புறவு,"கோவேந்தன் உலக இலக்கியக் கழகம் இருபத்தொன்பது, திலக் தெரு, தியாகராய நகர் சென்னை அறுநூறு  பதினேழு .",12
தாவோ_-_ஆண்_பெண்_அன்புறவு,நூல் விளக்கம் ﻿நூலின் பெயர் தாவோ ஆண் பெண் அன்புறவு ஆசிரியர் இரே கிரிக்கு த.,12
தாவோ_-_ஆண்_பெண்_அன்புறவு,கோவேந்தன் மொழி தமிழ் பதிப்பாளர் த.,5
தாவோ_-_ஆண்_பெண்_அன்புறவு,"வாழ்வின் குறிக்கோளே மானுடத்தை உயர்த்துவது தான் இயற்கையில் நீர் நெருப்பு, காற்று, மண் விண் அனைத்துமே சிறப்புயர்வுடையன.",13
தாவோ_-_ஆண்_பெண்_அன்புறவு,இயங்குதிணை இயங்காத்திணை அத்துணையுமே மானுடத்தின் பல்கலைக் கழகம்.,6
தாவோ_-_ஆண்_பெண்_அன்புறவு,மானுடம் என்றும் புதிதான இயற்கையின் மூலமுதல்.,5
தாவோ_-_ஆண்_பெண்_அன்புறவு,அது ஆண்பெண் ஆக அனைத்துயிரிலும் இயங்குகிறது.,5
தாவோ_-_ஆண்_பெண்_அன்புறவு,மானுடத்துக்கு அருமை யானது எது?,4
தாவோ_-_ஆண்_பெண்_அன்புறவு,வாழ்க்கைக்கு உறுதுணையாவது பெண்.,3
தாவோ_-_ஆண்_பெண்_அன்புறவு,"பெண் ஆணின் பிணைப்பில் நட்பில் தோழமையில் அன்பின் மகிழ்ச்சி சிறக்கிறது, இன்பம் பிறக்கிறது.",10
தாவோ_-_ஆண்_பெண்_அன்புறவு,காதலர்கள் கணவன் மனைவியர் ஆகின்றனர்.,4
தாவோ_-_ஆண்_பெண்_அன்புறவு,ஓருயிர் ஈருடல் ஆகின்றனர்.,3
தாவோ_-_ஆண்_பெண்_அன்புறவு,வாழ்வின் இரு சிறகுகள் ஆகி நம்பிக்கையை வேரும் விழுதுமாகப் பெறுகின்றனர்.,8
தாவோ_-_ஆண்_பெண்_அன்புறவு,தாம் பெற்ற இன்பம் பெறுக இவ் வையகம் என உழைக்கின்றனர் உயர்கின்றனர்.,9
