work_title,sentence,sentence_length
தொந்தியைக்_குறைக்க_சுலபமான_வழிகள்,தொந்தியைக் குறைக்க சுலபமான வழிகள் டாக்டர்.,5
தொந்தியைக்_குறைக்க_சுலபமான_வழிகள்,﻿முன்னுரை இன்று நல்ல நாள் !,4
தொந்தியைக்_குறைக்க_சுலபமான_வழிகள்,"உங்கள் எண்ணத்திலே புதிய எழுச்சி, புரட்சி !",5
தொந்தியைக்_குறைக்க_சுலபமான_வழிகள்,அதன் விளைவாக எழுந்த முயற்சி........... மகிழ்ச்சி !,5
தொந்தியைக்_குறைக்க_சுலபமான_வழிகள்,நல்ல வழி காட்டவே இந்த நூல் பிறப்பெடுத்திருக்கிறது.,6
தொந்தியைக்_குறைக்க_சுலபமான_வழிகள்,வாழ்வைத்தான் வளர்க்க வேண்டும்.,3
தொந்தியைக்_குறைக்க_சுலபமான_வழிகள்,வயிற்றை அல்ல என்பதை இன்று நீங்கள் உணர்ந்து கொண்டிருக்கின்றீர்கள்.,7
தொந்தியைக்_குறைக்க_சுலபமான_வழிகள்,"இடுப்பு பெரிதாகி, மனம் குறுகிவிட்டது.",4
தொந்தியைக்_குறைக்க_சுலபமான_வழிகள்,"முதிர்ந்து போன வயதானதினால் என்பது அல்ல, உடலின் நயம், லயம், மயம் கெட்டு விட்டது என்பதே பொருத்தமாகும்.",13
தொந்தியைக்_குறைக்க_சுலபமான_வழிகள்,"நல்ல உடலில்தான் நல்ல மனம், நல்ல குணம் விளங்கும்.",7
தொந்தியைக்_குறைக்க_சுலபமான_வழிகள்,"நல்ல நினைவுகள், நல்ல செயல்கள் என்றும் துலங்கும்.",6
தொந்தியைக்_குறைக்க_சுலபமான_வழிகள்,நல்ல செயல்கள் நல்ல வாழ்வு முறைகளை அமைத்துத் தரும்.,7
தொந்தியைக்_குறைக்க_சுலபமான_வழிகள்,"எனவே, இடுப்புப் பகுதியின் அளவை விரிவுபடுத்தாமல் இருக்க வேண்டுமானால், என்ன செய்வது?",9
தொந்தியைக்_குறைக்க_சுலபமான_வழிகள்,அலை ஒய்வது எப்பொழுது?,3
தொந்தியைக்_குறைக்க_சுலபமான_வழிகள்,"அன்றாடம் அல்லாடி, தள்ளாடி இறுதியிலே ஆடி ஓய்ந்த பம்பரம் போல, அலுத்துக் களைத்துப் அவதியைத் தான் அவர்கள் அடைகின்றனர்.",14
தொந்தியைக்_குறைக்க_சுலபமான_வழிகள்,வந்துவிட்ட தொந்தியை இருவகையாகப் பிரிக்கலாம்.,4
தொந்தியைக்_குறைக்க_சுலபமான_வழிகள்,"ஒன்று பஞ்சுதொந்தி, இன்னொன்று இரும்புத்தொந்தி.",4
தொந்தியைக்_குறைக்க_சுலபமான_வழிகள்,பஞ்சுத்தொந்தி என்பது பசுமையானது.,3
தொந்தியைக்_குறைக்க_சுலபமான_வழிகள்,தொளவென்று தளதளத்துத் தோன்றும்.,3
தொந்தியைக்_குறைக்க_சுலபமான_வழிகள்,"இது ஆரம்பகாலத்தில் அழகு முகம் காட்டி, ஆனந்த சும் காட்டி, சொகுசு காட்டும் தன்மையது.",11
தொந்தியைக்_குறைக்க_சுலபமான_வழிகள்,மிகக் குறைந்த முயற்சியினாலும் பயிற்சியினாலும் விரட்டி விடலாம்.,6
தொந்தியைக்_குறைக்க_சுலபமான_வழிகள்,முளையிலே கிள்ளி எறிகின்ற முள்செடியைப் போல இந்த முயற்சி.,7
தொந்தியைக்_குறைக்க_சுலபமான_வழிகள்,இரும்புத் தொந்தியை அகற்ற வேண்டுமானால் அவசரப்படுவது தவறு.,6
தொந்தியைக்_குறைக்க_சுலபமான_வழிகள்,"அதற்கென்று முறைகளை அன்றாடம் கடமையென உணர்ந்து, உண்மையாக செய்து வரவேண்டும்.",8
தொந்தியைக்_குறைக்க_சுலபமான_வழிகள்,நித்தம் பெற்றால் முத்தம் சலித்துப் போகும் என்பார்கள்.,6
தொந்தியைக்_குறைக்க_சுலபமான_வழிகள்,உடற்பயிற்சிக்கு இது பொருந்தாது.,3
