work_title,sentence,sentence_length
சிலம்பின்_கதை,சிலம்பின் கதை பேரா.,3
சிலம்பின்_கதை,"நூல் விளக்கம் முதற்பதிப்பு ஜூலை, ஓர் ஆயிரத்து தொள்ளாயிரத்து தொன்னூற்றெட்டு நூல் பெயர் சிலம்பின் கதை ஆசிரியர் ரா.",14
சிலம்பின்_கதை,"சீனிவாசன் பொருள் இலக்கியம் பதிப்பகம் அணியகம் ஐந்து, செல்லம்மாள் தெரு, செனாய் நகர், சென்னை அறுநூறு  முப்பது.",13
சிலம்பின்_கதை,அச்சகம் நெல்சன் பிரிண்டிங் சென்னை அறுநூறு  இருபத்தொன்பது.,6
சிலம்பின்_கதை,﻿முன்னுரை தமிழில் இராமாயணம் பாரதம் இவற்றிற்கு வந்துள்ள உரைநடை நூல்கள் போலச் சிலப்பதிகாரத்துக்கு இதுவரை யாரும் எழுத முன்வரவில்லை.,14
சிலம்பின்_கதை,அதனை இவ் உரைநடை நூல் நிறைவு செய்கிறது.,6
சிலம்பின்_கதை,இதன் தனிச் சிறப்பு மூல நூலை ஒட்டி அதனோடு சிறிதும் பிறழமால் இது தரப்பட்டுள்ளது.,11
சிலம்பின்_கதை,மற்றும் சிலப்பதிகாரக் கதை பலரும் அறிந்தது.,5
சிலம்பின்_கதை,காவியத்தைப் படித்தவர் அறிவர் எனினும் உள்ளே உள்ள எல்லாச் செய்திகளையும் அறிவதற்கு வாய்ப்பு இல்லை.,11
சிலம்பின்_கதை,அவ்வகையில் இது எல்லாச் செய்திகளையும் தருகிறது முழுமையாக அறிய உதவுகிறது.,8
சிலம்பின்_கதை,"இது ஒரு நாட்டுக் காவியம் தமிழ் நாடு, நாட்டு மக்கள் அவர்கள் வாழ்வியலைத் தெள்ளத்தெளியத் தருவது இது.",13
சிலம்பின்_கதை,"அரசியல் வாழ்வில் இருந்த சீர்மை, பெண்மையின் உயர்வு, அறத்தின்பால் நம்பிக்கை இம்மூன்றும் தமிழ் மக்களின் உயர்ந்த கோட்பாடுகள்.",13
சிலம்பின்_கதை,இவற்றைச் சிலப்பதிகாரம் உணர்த்துகிறது.,3
சிலம்பின்_கதை,இவ்வகையில் இதனை ஒரு திருக்குறள் என்றே கூறலாம்.,6
சிலம்பின்_கதை,திருக்குறளின் விரிவாக்கமே சிலப்பதிகாரம் எனலாம்.,4
சிலம்பின்_கதை,திருக்குறள் செய்திகளை ஆசிரியர் நேரில் அவர் தம் கூற்றில் கூறுகிறார்.,8
சிலம்பின்_கதை,இது கதைப் பாத்திரங்கள் வாயிலாக உணர்த்துகிறது.,5
சிலம்பின்_கதை,திருக்குறளைப் போல இக்காவியமும் தமிழர் அறக் கோட்பாடுகளை வற்புறுத்துவது ஆகும்.,8
சிலம்பின்_கதை,உரைநடையில் படிக்கிறபோது மொழிச்சிக்கல் ஏற்படுவது இல்லை பொருள் விளக்கம் நாடத் தேவை இல்லை.,10
சிலம்பின்_கதை,இன்றைய தமிழ் நடை தெளிவான போக்குடையது பண்பட்ட நடை எழுத்தாளர்கள் எழுதி வருகின்றனர்.,10
சிலம்பின்_கதை,இதுவும் இந்நூலுக்குக் கூடுதல் சிறப்பு என்பதைச் சுட்டிக் காட்ட வேண்டியுள்ளது.,8
சிலம்பின்_கதை,சீனிவாசன் உள்ளடக்கம் ஒன்று.,3
சிலம்பின்_கதை,புகார்க் காண்டம் ஒன்று.,3
சிலம்பின்_கதை,மங்கல வாழ்த்துப் பாடல்.,3
சிலம்பின்_கதை,மனை அறம் படுத்த காதை.,4
சிலம்பின்_கதை,அந்திமாலைச் சிறப்புச் செய் காதை.,4
சிலம்பின்_கதை,இந்திரவிழவு ஊர் எடுத்த காதை.,4
சிலம்பின்_கதை,கடல் ஆடு காதை.,3
சிலம்பின்_கதை,கனாத்திறம் உரைத்த காதை.,3
சிலம்பின்_கதை,நாடு காண் காதை.,3
சிலம்பின்_கதை,மதுரைக் காண்டம் பதினொன்று .,3
சிலம்பின்_கதை,காடு காண் காதை.,3
சிலம்பின்_கதை,புறஞ்சேரி இறுத்த காதை.,3
சிலம்பின்_கதை,ஊர் காண் காதை.,3
சிலம்பின்_கதை,வஞ்சிக் காண்டம் இருபத்து நான்கு.,4
சிலம்பின்_கதை,கொங்கு அலர்தார்ச் சென்னி குளிர்வெண் குடை போன்று இவ் அம்கண் உலகு அளித்த லான் ஞாயிறு போற்றுதும் !,13
சிலம்பின்_கதை,காவிரி நாடன் திகிரிபோல் பொன்கோட்டு மேரு வலந்திரித லான்.,7
சிலம்பின்_கதை,நாமநீர் வேலி உலகிற்கு அவ்ன் அளிபோல் மேல்நின்று தான்சுரத்த லான்.,8
சிலம்பின்_கதை,பூம்புகார் போற்றுதும் பூம்புகார் போற்றுதும் !,4
சிலம்பின்_கதை,வீங்குநீர் வேலி உலகிற்கு அவன் குலத்தோடு ஓங்கிப் பரந்தொழுக லான்.,8
சிலம்பின்_கதை,இதனைப் பூம்புகார் என்றனர்.,3
சிலம்பின்_கதை,இது வணிகச் சிறப்புக் கொண்ட வளமான நகராக விளங்கியது.,7
சிலம்பின்_கதை,"இச் சோழநாட்டை ஆண்ட மன்னர்கள் வீரமும், கொடையும், நீதி வழுவா ஆட்சியும் கொண்டவராகத் திகழ்ந்தனர்.",11
சிலம்பின்_கதை,"திங்களைப் போன்று குளிர்ச்சியும், ஞாயிறு போன்று ஆட்சியும், மழையைப் போன்று கொடைச் சிறப்பும் உடையவராகத் திகழ்ந்தனர்.",12
சிலம்பின்_கதை,மக்கள் எந்தக் குறையுமின்றி அங்கு வாழ்ந்தனர்.,5
சிலம்பின்_கதை,குடி பெயர்ந்து வாழப் பிற இடங்களைத் தேடியது இல்லை.,7
சிலம்பின்_கதை,"மாநாய்கன் இப்பூம்புகார் நகரில் செல்வச் சிறப்பும், கொடைச் சிறப்பும் உடைய வணிகன் ஒருவன் வாழ்ந்து வந்தான்.",12
சிலம்பின்_கதை,மாநாய்கன் என்பான் அச் செல்வன் வறியவர்க்கு ஈந்து வான்புகழ் நாட்டினான்.,8
சிலம்பின்_கதை,அவன் ஒரே செல்வமகள் கண்ணகி என்பாள் அவளுக்கு வயது பன்னிரண்டு ஆகியது.,9
சிலம்பின்_கதை,"அவள் கண்கவரும் பேரழகு உடையவள் அதனால் அவளை, ஈகைவான் கொடி யன்னாள் என்று சிறப்பித்துப் பேசினர்.",12
சிலம்பின்_கதை,வானத்து மின்னல் என அவள் புகழப்பட்டாள்.,5
சிலம்பின்_கதை,மற்றும் அவள் பேரழகு காண்பவரைக் கவர்ந்தது.,5
சிலம்பின்_கதை,திருமகள் வடிவு இவள் வடிவு என்று பேசினர் இவள் கற்பின் திறம் பாராட்டப்பட்டது.,10
சிலம்பின்_கதை,வடமீன் ஆகிய அருந்ததி அனையவள் என்று அவ் ஊர் மகளிர் அவளைப் பாராட்டினர்.,10
சிலம்பின்_கதை,"மாசாத்துவான் அதே ஊரில் செல்வச் சிறப்பும், உயர்மதிப்பும் பெற்ற வணிகன் மற்றொருவன் வாழ்ந்து வந்தான்.",11
சிலம்பின்_கதை,அவன் பெயர் மாசாத்துவான் என்பது ஆகும்.,5
சிலம்பின்_கதை,அவன் அரசனும் மதிக்கத்தக்க குடிமகன் என்று பாராட்டப்பட்டான்.,6
சிலம்பின்_கதை,மாநாய்கனைப் போலவே வறியவர்க்கு வழங்குவதில் மிக்க புகழ் பெற்றிருந்தான்.,7
சிலம்பின்_கதை,அவனுக்கும் ஒரே மகன் கோவலன் என்பான் வயது பதினாறு ஆகியது.,8
சிலம்பின்_கதை,அவன் நற்குணத்தை அனைவரும் பாராட்டிப் பேசினர்.,5
சிலம்பின்_கதை,அவன் அழகில் முருகன் என்று நங்கையர் மதித்துப் பாராட்டினர்.,7
சிலம்பின்_கதை,அவனை மண்தேய்த்த புகழினான் என்று இளங்கோ அறிமுகம் செய்கின்றார்.,7
சிலம்பின்_கதை,உலகு எங்கும் அவன் புகழ் பேசப்பட்டது.,5
சிலம்பின்_கதை,மண நிகழ்ச்சி இரு குடியினரும் ஒரே குலத்தைச் சார்ந்தவர் வணிகப் பெருமக்கள்.,9
சிலம்பின்_கதை,இவர்கள் தம் மக்களுக்கு மணம் முடிக்கக் கருதினர்.,6
சிலம்பின்_கதை,கண்ணகிக்கும் கோவலனுக்கும் திருமணம் செய்விப்பதில் ஆர்வம் கொண்டனர்.,6
சிலம்பின்_கதை,நாள் குறித்துச் செய்தியை நகரத்துக்கு அறிவித்தனர்.,5
சிலம்பின்_கதை,அவர்கள் செல்வ நிலைக்கேற்ப மிகவும் ஆடம்பரமாகத் திருமணத்தை நடத்தினர்.,7
சிலம்பின்_கதை,ஊரவர்க்குச் செய்தி அறிவிப்பதிலேயே அவர்கள் செல்வச் சிறப்பு வெளிப்பட்டது.,7
சிலம்பின்_கதை,அந்த ஊர்வலத்தில் மங்கலத்தாலியும் வைக்கப்பட்டது.,4
சிலம்பின்_கதை,மாநகர்க்கு ஈந்தார் மணம் என்று கூறுவர் கவிஞர்.,6
சிலம்பின்_கதை,நாள் பார்த்து நட்சத்திரம் பார்த்து மணம் நடத்துவது அக்கால வழக்கமாக இருந்தது.,9
சிலம்பின்_கதை,புரோகிதரை வைத்தே திருமணம் நடத்தினர்.,4
சிலம்பின்_கதை,சித்திரை மாதம் சந்திரன் உரோகிணியை அடையும் நாள் நன்முகூர்த்தமாக நிச்சயிக்கப்பட்டது.,8
சிலம்பின்_கதை,பந்தலிட்டு மண மேடையை அலங்கரித்தனர்.,4
சிலம்பின்_கதை,வைரத் தூண்கள் பந்தலைத் தாங்கின.,4
சிலம்பின்_கதை,நீலப் பட்டாடை விதானமாக அமைந்தது.,4
சிலம்பின்_கதை,"பூக்களையும், முத்து மாலைகளையும் சரங்களாகத் தொங்கவிட்டனர்.",5
சிலம்பின்_கதை,பூ இட்ட பந்தலில் முத்துகள் பதிக்கப் பெற்று இருந்தன.,7
சிலம்பின்_கதை,மேடையில் கண்ணகியோடு கோவலன் அமர்ந்தான் முன்னர் வேள்வித் தீ எழுப்பினர்.,8
சிலம்பின்_கதை,மணமகன் மணமகளைக் கைப்பிடித்துத் தீயை வலம் வந்தான்.,6
சிலம்பின்_கதை,அவள் கரத்தைப் பிடித்துக் கொண்டு வலமாக வந்த காட்சி அங்கிருந்தவர் மனத்தை மகிழ்வித்தது.,10
சிலம்பின்_கதை,வியத்தகு காட்சியாகக் கொண்டனர்.,3
சிலம்பின்_கதை,வாழ்த்துரை அம் மண மண்டபத்தில் மங்கையர்கள் கலகலப்பாகச் செயல்பட்டனர்.,7
சிலம்பின்_கதை,பூ அணிந்த மகளிர் பொலிவு ஊட்டினர்.,5
சிலம்பின்_கதை,இளைய நங்கையர் அங்கு வளையச் சூழ்ந்து இருந்தனர்.,6
சிலம்பின்_கதை,அவர்கள் மேனிஅழகு கண்ணைக் கவர்ந்தது.,4
சிலம்பின்_கதை,ஒசிந்த நோக்கு அவர்கள் கசிந்த ஆர்வத்தைக் காட்டியது.,6
சிலம்பின்_கதை,நறுமணம் பூசி அவர்கள் கவர்ச்சியோடு விளங்கினர்.,5
சிலம்பின்_கதை,பாட்டும் உரையும் அவர்கள் வாழ்த்துக்களைத் தெரிவித்தன.,5
சிலம்பின்_கதை,"தட்டுகளில் பூக்களையும், சுண்ணத்தையும், அணி வகைகளையும் தாங்கிச் சென்றனர்.",7
சிலம்பின்_கதை,பூரண பொற்குடம் ஏந்தினர்.,3
சிலம்பின்_கதை,பாலிகைக் குடம் தாங்கினர்.,3
சிலம்பின்_கதை,எங்கும் மங்கலக் காட்சியைத் தங்க வைத்தனர்.,5
சிலம்பின்_கதை,கூந்தலில் பூக்கள் சூடிய மங்கல மடந்தையர் ஆசி கூறினர்.,7
சிலம்பின்_கதை,இருவரும் இணை பிரியாமல் வாழ்க என்று வாழ்த்துக் கூறி அவர்கள் மீது மலர்களைத் தூவி நல்லமளியில் சேர்த்தனர்.,13
சிலம்பின்_கதை,அவன் ஆட்சி சிறக்க ! என்று வாழ்த்துக் கூறி அம் மணவிழா நிகழ்வினை முடித்தனர்.,10
சிலம்பின்_கதை,இல்லற வாழ்க்கை கண்ணகியும் கோவலனும் அன்பும் அறனும் உடைத்தாயின் இல்வாழ்க்கை பண்பும் பயனும் அது என்பார் வள்ளுவர்.,13
சிலம்பின்_கதை,அவர்கள் அன்பு வாழ்க்கை இன்பத்தில் தொடங்கியது.,5
சிலம்பின்_கதை,காதலில் களித்துக் கவிதைபாடி அவன் சிறந்த காதலன் என்பதை வெளிப் படுத்தினான்.,9
சிலம்பின்_கதை,"முன்பின் பழகாதவர்கள் காதலித்து மணம் செய்து கொண்டவர்கள் அல்லர், மணம் செய்து கொண்டு காதலித்தவர்கள்.",11
சிலம்பின்_கதை,அவர்களை இன்ப இரவுகள் இணைத்தன.,4
சிலம்பின்_கதை,அவன் முதல் இரவு என்றும் மறக்க முடியாத நிகழ்ச்சி என்றுதான் கூற முடியும்.,10
சிலம்பின்_கதை,இன்பத்தின் எல்லையை முதற் சந்திப்பிலேயே கண்டான்.,5
சிலம்பின்_கதை,செல்வக் குடும்பத்தில் பிறந்தவன் அதனால் எழு நிலை மாடத்தில் அவன் முதல் இரவு தொடங்கியது.,11
சிலம்பின்_கதை,இடைநிலை மாடத்தில் இருவரும் இருந்தனர் அமர்ந்த காட்சி அதில் இன்பவாழ்வு தொடங்கினர் நெருங்கினர் கிளர்ச்சிகள் பின்பு அவர்களைத் தொடர்ந்தன.,14
சிலம்பின்_கதை,தென்றல் காற்றுச் சாளரம் வழியாக உள்ளே நுழைந்தது.,6
சிலம்பின்_கதை,அது பல்வகை மலர்களின் வாசத்தை அள்ளிக் கொணர்ந்தது.,6
சிலம்பின்_கதை,வாசமும் குளிர்ச்சியும் மிக்க தென்றல் அவர்களைத் தூண்டியது காதல் உணர்வைப் பெருக்கியது.,9
சிலம்பின்_கதை,தென்றலின் சுகம் அவர்களை நிலா வெளிச்சத்தைத் தேடத் தூண்டியது.,7
சிலம்பின்_கதை,நிலவு ஒளியில் அவர்கள் கலவி இன்பத்தைக் காண விழைவு கொண்டனர்.,8
சிலம்பின்_கதை,நிலாமுற்றம் ஏழாவது மாடத்தில் இருந்தது.,4
சிலம்பின்_கதை,அதனைத் தேடி அங்குப் பூக்கள் பரப்பிய படுக்கையில் அவர்கள் இன்பக் கேளிக்கைகளைத் தொடுத்தனர்.,10
சிலம்பின்_கதை,"அவள் மார்பிலும், தோளிலும் வண்ண ஓவியங்கள் தீட்டினான்.",6
சிலம்பின்_கதை,சுட்டும் விழிகள் சூரிய சந்திரரோ என்று பாடினான் பாரதி அவள் வட்டக் கரு விழிகள் வானக் கருமுகிலோ என்றான்.,14
சிலம்பின்_கதை,இங்கே அவர்கள் இருவரும் சூரிய சந்திரகளாக ஒரே இடத்தில் அமர்ந்து புத்தொளி ஊட்டினர்.,10
சிலம்பின்_கதை,சூடும் குளிர்ச்சியும் அவர்களிடத்தில் இடம் பெற்றன.,5
சிலம்பின்_கதை,"விலகி இருக்கும்போது வெப்பத்தையும், அருகில் வரும்போது குளிர்ச்சியையும் தந்தாள்.",7
சிலம்பின்_கதை,அவர்கள் இருவரும் தழுவிக் கொண்டனர்.,4
சிலம்பின்_கதை,இதயம் இடம் மாறின என்பர் கம்பர்.,5
சிலம்பின்_கதை,அது காதல் கலவி இன்பம் அதைக் கூறும்போது ஒருவர் மற்றவர் ஆயினர் என்று கூறுவதே சிறப்பாகும்.,12
சிலம்பின்_கதை,தாரும் மாலையும் மயங்க அவன் தன் வசம் இழந்தான் தன்னை இழந்தான் அவள் பேரழகை வியந்து பாராட்டினான்.,13
சிலம்பின்_கதை,அவள் புருவங்களின் வளைவு அவனை வளைத்தது.,5
சிலம்பின்_கதை,காமன்வில் அதுபோலக் கணைகளைப் பொழிவது அவள் புருவங்கள் மன்மதனின் வில் என முடிவு செய்தான்.,11
சிலம்பின்_கதை,தன் கரும்பு வில்லினை அவளுக்குப் புருவமாகப் படைத்து அந்த மன்மதன்தான் தந்துவிட்டானோ என்று வியந்தான்.,11
சிலம்பின்_கதை,அவள் இடை மெலிந்திருந்தது அது முறியாமல் உறுதியாக இருந்தது அது இந்திரன் தந்த வச்சிரப்படை என்றான்.,12
சிலம்பின்_கதை,அவள் கண்கள் வேல்கள் எனப் பாய்ந்தன.,5
சிலம்பின்_கதை,அவனுக்கு வேதனை தந்தன.,3
சிலம்பின்_கதை,அவை அவனைப் புண்படுத்தின.,3
சிலம்பின்_கதை,அதனால் தாக்கப் பெற்றான்.,3
சிலம்பின்_கதை,அவை கண்கள் அல்ல வேல்கள் என்றான்.,5
சிலம்பின்_கதை,முருகன் தன் வேலினை இரண்டாக உடைத்து அவற்றைக் கண்கள் இரண்டாக அமைத்து விட்டான் என்று பேசினான்.,12
சிலம்பின்_கதை,அவன் கற்பனைகள் எங்கெங்கோ செல்கின்றன.,4
சிலம்பின்_கதை,அவள் சாயல் மயிலை நினைப்பூட்டியது நடை அன்னத்தைக் காட்டியது இனிய மொழி கிளியை அழைத்தது.,11
சிலம்பின்_கதை,அமிழ்தும் யாழும் குழைத்த அவள் இனியதொரு கிளவி கேட்டுக் கிளி வருந்துகிறது.,9
சிலம்பின்_கதை,முழுமையாகக் கற்றுக்கொள்ள அவளை விட்டு நீங்காமல் உடன் உறைகிறது என்று பாராட்டினான்.,9
சிலம்பின்_கதை,தோழியர் அவர்களுக்குக் கோலம் செய்தவர்கள் மாபெரும் தவறு செய்து விட்டார்கள் என்று பேசுகிறான்.,10
சிலம்பின்_கதை,மங்கலத்தாலி அது ஒன்று போதும்.,4
சிலம்பின்_கதை,முத்து ஆரம் ஏன் அணிவித்தனர் என்று கேட்கிறான்.,6
சிலம்பின்_கதை,"நகை அது மிகை என்று கூறி அவன், அழகுக்கு அழகு செய்வது வீண் என்கிறான்.",11
சிலம்பின்_கதை,பின் அவளைத் தொடர்ந்து மேனி அழகைக் காண்கிறான் பொன்னே என்கிறான்.,8
சிலம்பின்_கதை,தொட்டுப் பார்க்கிறான் வலம்புரி முத்து என்கிறான்.,5
சிலம்பின்_கதை,நுகர்வில் கண்ட இன்பம் அதனால் அவளை நறு விரை என்கிறான்.,8
சிலம்பின்_கதை,இதழ்ச் சுவையால் கரும்பு என்கிறான்.,4
சிலம்பின்_கதை,மொழிச் சுவையால் தேன் என்கிறான்.,4
சிலம்பின்_கதை,கரும்பே தேனே என்று அடுக்கிக் கொண்டே போகிறான்.,6
சிலம்பின்_கதை,உலவாக் கட்டுரை பலவற்றைக் கூறுகிறான்.,4
