work_title,sentence,sentence_length
பஞ்ச_தந்திரக்_கதைகள்,பஞ்ச தந்திரக் கதைகள் பாவலர் நாரா.,5
பஞ்ச_தந்திரக்_கதைகள்,கதை என்றால் எப்படியிருக்க வேண்டும் என்ற கேள்விக்கு எடுத்துக்காட்டாக உள்ள நூல்களிலே பஞ்ச தந்திரக் கதைகள் ஒன்றாகும்.,13
பஞ்ச_தந்திரக்_கதைகள்,கதை ஒரு கருத்தை வலியுறுத்துவதாக இருக்க வேண்டும்.,6
பஞ்ச_தந்திரக்_கதைகள்,சலிப்புத் தராத தன்மையும் அந்தக் கதைக்கு இருக்க வேண்டும் இந்தச் சிறப்புக்களெல்லாம் பஞ்ச தந்திரக் கதைகளில் அடங்கி யிருக்கின்றன.,14
பஞ்ச_தந்திரக்_கதைகள்,"தமிழில் பஞ்ச தந்திரக்கதைகள், எத்தனையோ பதிப்புகள் வெளிவந்து விட்டன.",7
பஞ்ச_தந்திரக்_கதைகள்,"பாட்டு வடிவிலும், உரைநடையிலும் பலப் பல பதிப்புக்கள் பலப் பல நூலகத்தினரால் வெளியிடப்பட்டுள்ளன.",10
பஞ்ச_தந்திரக்_கதைகள்,"இருந்தும், மீண்டுமொரு முறை வெளி வருவதென்றால், அதில் ஏதாவது புதுமை யிருக்க வேண்டும் என்று வாசகர்கள் எதிர்பார்ப்பது இயல்புதான்.",14
பஞ்ச_தந்திரக்_கதைகள்,வாசகர்கள் ஏமாற வேண்டியதில்லை இதில் நிறையப் புதுமை இருக்கிறது.,7
பஞ்ச_தந்திரக்_கதைகள்,முதலாவதாக இதுவரை வெளிவந்துள்ள எந்தத் தமிழாக்கத்திலும் கையாளப்படாத மிக எளிமையான தமிழ் நடையை நான் கையாண்டிருக்கிறேன்.,12
பஞ்ச_தந்திரக்_கதைகள்,"பெரியவர்கள் மட்டுமல்லாமல் சிறுவர்களும் படிக்கவேண்டும் என்ற கருத்தோடு, மிகமிக முயன்று எளிமையாக எழுதியிருக்கிறேன்.",10
பஞ்ச_தந்திரக்_கதைகள்,எளிமையாக இருக்க வேண்டும் என்பதற்காக நல்ல தமிழைக் கை விட்டு விடவில்லை.,9
பஞ்ச_தந்திரக்_கதைகள்,வேண்டாத சில கதைகளை விலக்கியுமிருக்கிறேன்.,4
பஞ்ச_தந்திரக்_கதைகள்,முன்னதாகவே ஆழ்ந்து சிந்தித்து வேலை செய்யும் அறிவுடைமைக்கு பஞ்ச தந்திரக் கதைகளின் ஆசிரியர் முதன்மை கொடுத்துச் சிறப்பிக்கிறார்.,13
பஞ்ச_தந்திரக்_கதைகள்,சூழ்நிலைக்கேற்ற சிந்தனையை அடுத்தபடியாக ஆதரிக்கிறார்.,4
பஞ்ச_தந்திரக்_கதைகள்,"மேற்போக்காகப் படிக்கும் போது, எப்படியாவது சூழ்ச்சி செய்து.",6
பஞ்ச_தந்திரக்_கதைகள்,தான் வாழ்ந்தால் போதும் என்ற கருத்தை ஆசிரியர் கூறுவதாகத் தோன்றக் கூடும்.,9
பஞ்ச_தந்திரக்_கதைகள்,"ஆழ்ந்து கதைகளைப் படித்துப் பார்த்தால்தான், ஆசிரியர் நெறி வழிப்பட்ட சூழ்ச்சி முறைகளை மட்டுமே ஆதரிக்கிறார் என்பது தெளிவாகப் புலப்படும்.",14
பஞ்ச_தந்திரக்_கதைகள்,"ஆசிரியர் கொள்கை, யாரும் ஏமாளித்தனமாக நடந்து கொள்ளக் கூடாது என்பதேயாகும்.",8
பஞ்ச_தந்திரக்_கதைகள்,அறிவு வளர வேண்டும்.,3
பஞ்ச_தந்திரக்_கதைகள்,இதுவே என் ஆசை.,3
பஞ்ச_தந்திரக்_கதைகள்,நாரா நாச்சியப்பன் பஞ்சதந்திரக் கதைகள் ﻿பொருளடக்கம் பகுதி ஒன்று நட்புப் பிரித்தல் ஒன்று.,10
பஞ்ச_தந்திரக்_கதைகள்,எருதும் சிங்கமும்... ஒன்பது இரண்டு.,4
பஞ்ச_தந்திரக்_கதைகள்,ஆப்புப் பிடுங்கிய குரங்கு... முப்பத்து மூன்று மூன்று.,6
பஞ்ச_தந்திரக்_கதைகள்,முரசொலி கேட்ட நரி... முப்பத்தைந்து நான்கு.,5
பஞ்ச_தந்திரக்_கதைகள்,தங்களால் தாங்களே கெட்டோர்... முப்பத்தாறு ஐந்து.,5
பஞ்ச_தந்திரக்_கதைகள்,கரும்பாம்பைக் கொன்ற காகம்... முப்பத்தொன்பது ஆறு.,5
