work_title,sentence,sentence_length
சிந்தனையாளன்_மாக்கியவெல்லி,சிந்தனையாளர் மாக்கியவெல்லி பாவலர் நாரா.,4
சிந்தனையாளன்_மாக்கியவெல்லி,﻿சிந்தனையாளர் வரிசை பத்து சிந்தனையாளர் மாக்கியவெல்லி பதிப்பாசிரியர் அரு.,7
சிந்தனையாளன்_மாக்கியவெல்லி,ராமநாதன் எழுதியவர் நாரா.,3
சிந்தனையாளன்_மாக்கியவெல்லி,"நாச்சியப்பன் பிரேமா பிரசுரம் ஐம்பத்தொன்பது, ஆற்காடு சாலை, கோடம்பாக்கம், சென்னை அறுநூறு  இருபத்து நான்கு.",11
சிந்தனையாளன்_மாக்கியவெல்லி,கார்ல் மார்க்ஸ் நான்கு.,3
சிந்தனையாளன்_மாக்கியவெல்லி,பெஞ்சமின் பிராங்ளின் ஆறு.,3
சிந்தனையாளன்_மாக்கியவெல்லி,சா அதி பதினேழு .,3
சிந்தனையாளன்_மாக்கியவெல்லி,ஹவ்லக் எல்லீஸ் விலை ரூ. கணிப்பொறி ⁠ ஏ.ஆர்.,8
சிந்தனையாளன்_மாக்கியவெல்லி,"எண்டர்பிரைசஸ், சென்னை இருபத்து நான்கு.",4
சிந்தனையாளன்_மாக்கியவெல்லி,"வடிவமைப்பு அச்சிட்டோர் ⁠ காரிஸ் ஆப்செட் பிரஸ், சென்னை இருபத்தொன்பது சிந்தனையாளர் வரிசை தயாரிப்பு அரு.",12
சிந்தனையாளன்_மாக்கியவெல்லி,நிலையான அரசு ஏன்?,3
சிந்தனையாளன்_மாக்கியவெல்லி,இரண்டாம் பகுதி நூல் சுருக்கங்கள் ஒன்று.,5
சிந்தனையாளன்_மாக்கியவெல்லி,டிட்டஸ் லீவியசின் முதற் பத்துப் புத்தகங்களைப் பற்றிய ஆராய்ச்சி அறுபத்தாறு மூன்று.,9
சிந்தனையாளன்_மாக்கியவெல்லி,பேய் கட்டிக்கொண்ட மனைவி நூற்றி இரண்டு நான்கு.,6
சிந்தனையாளன்_மாக்கியவெல்லி,மூன்றாம் பகுதி ஒன்று.,3
சிந்தனையாளன்_மாக்கியவெல்லி,மாக்கியவெல்லியின் மணி மொழிகள் நூற்றி நாற்பத்தேழு இரண்டு.,6
சிந்தனையாளன்_மாக்கியவெல்லி,கலைச் சொற்களைப் பற்றி நூற்றி அறுபத்தொன்று ஒன்று.,6
