work_title,sentence,sentence_length
வாழ்க்கை_(லியோ_டால்ஸ்டாய்),"நீ, பல்லாண்டு பலருடன் பழகியவர்களில் நானும் ஒருத்தி.",6
வாழ்க்கை_(லியோ_டால்ஸ்டாய்),உன் அன்பு மழை செழித்து வளர்ந்தவர்களில் நானும் ஒருத்தி.,7
வாழ்க்கை_(லியோ_டால்ஸ்டாய்),என்னை னக் மறக்காமல் இருங்க வேண்டுமே?,5
வாழ்க்கை_(லியோ_டால்ஸ்டாய்),என்று ஏங்கும் பலருள் நானும் ஒருத்தி.,5
வாழ்க்கை_(லியோ_டால்ஸ்டாய்),இன்று ஒருவக்கு ஒருத்தியாக ஆகப் போக நீ என்னை என்றும் உன் நினைவில் நிறுத்திவைப்பாயோ !,11
வாழ்க்கை_(லியோ_டால்ஸ்டாய்),அல்ல அவர் நினைவில் ஆழ்ந்து நீ என்னை மறந்து வைப்பாயோ?,8
வாழ்க்கை_(லியோ_டால்ஸ்டாய்),திருவரங்கம் அன்புயிரே பதினேழு .,3
வாழ்க்கை_(லியோ_டால்ஸ்டாய்),"முன்னுரை லியோ டால்ஸ்டாய் மாபெருங் கலைஞர் என்றும், இலக்கிய மேதை என்றும் உலகமே கொண்டாடுகின்றது.",11
வாழ்க்கை_(லியோ_டால்ஸ்டாய்),நம் நாட்டு அறிவாளரிடையே அவருடைய நூல்கள் அதிகப் புகழ் பெற்றிருக்கின்றன.,8
வாழ்க்கை_(லியோ_டால்ஸ்டாய்),முக்கியமாகத் தென்னாட்டில் ஆங்கிலத்திலுள்ள டால்ஸ்டாயின் நூல்களைப் படிப்பவர்கள் பலர் இருக்கின்றனர்.,8
வாழ்க்கை_(லியோ_டால்ஸ்டாய்),இப்போது அந் நூல்களில் சில தமிழிலும் வெளிவந்திருக்கின்றன.,6
வாழ்க்கை_(லியோ_டால்ஸ்டாய்),அறிஞர் டால்ஸ்டாய் கலைச்சுவை நிரம்பிய பல கதைகளையும் நாவல்களையும் எழுதியுள்ளார்.,8
வாழ்க்கை_(லியோ_டால்ஸ்டாய்),இவை உலகத்தின் இலக்கியச் செல்வத்தோடு சேர்ந்துவிட்டன.,5
வாழ்க்கை_(லியோ_டால்ஸ்டாய்),அவருடைய நாடகங்களையும் பெர்னார்ட் ஷா போன்ற பல பெரிய ஆசிரியர்களே பாராட்டியிருக்கின்றனர்.,9
வாழ்க்கை_(லியோ_டால்ஸ்டாய்),"அவர் எழுதிய கட்டுரைகளும், கடிதங்களும், ஆராய்ச்சிகளும் அனந்தம்.",6
வாழ்க்கை_(லியோ_டால்ஸ்டாய்),பண்பட்ட அவருடைய உள்ளத்திலிருந்து ஒரே வெள்ளமாகப் பெருகிக் கொண்டிருந்த கருத்துக்களும் கற்பனைகளும் பற்பல எழுத்தோவியங்களாக அமைந்திருக்கின்றன.,12
வாழ்க்கை_(லியோ_டால்ஸ்டாய்),டால்ஸ்டாயின் கதைகளையும் நவீனங்களையும் மக்கள் படிக்கும் அளவுக்கு அவருடைய கட்டுரைகளைப் படிப்பதில்லை.,9
வாழ்க்கை_(லியோ_டால்ஸ்டாய்),அறிஞர்கள் ஆழ்ந்த கருத்துக்களுக்காக அவைகளைப் படிக்கலாம்.,5
