work_title,sentence,sentence_length
உடற்கல்வி_என்றால்_என்ன,உடற்கல்வி என்றால் என்ன டாக்டர்.,4
உடற்கல்வி_என்றால்_என்ன,﻿ உடற்கல்வி என்றால் என்ன?,4
உடற்கல்வி_என்றால்_என்ன,தேசிய விருது பெற்ற நூலாசிரியர் டாக்டர் எஸ்.,6
உடற்கல்வி_என்றால்_என்ன,"பப்ளிகேஷன் எட்டு, போலீஸ் குவார்ட்டர்ஸ ரோடு, தி.நகர், சென்னை அறுநூறு  பதினேழு .",10
உடற்கல்வி_என்றால்_என்ன,ஆசிரியர் டாக்டர் எஸ்.,3
உடற்கல்வி_என்றால்_என்ன,நூறு தயாரிப்பு ஆர்.,3
உடற்கல்வி_என்றால்_என்ன,ஆடம் சாக்ரட்டீஸ் வெளியீடு எஸ்.எஸ்.,5
உடற்கல்வி_என்றால்_என்ன,"பப்ளிகேஷன் எட்டு, போலீஸ் குவார்ட்டர்ஸ் ரோடு, தி.நகர், சென்னை பதினேழு .",9
உடற்கல்வி_என்றால்_என்ன,பிரிண்டர்ஸ் சென்னை தொன்னூற்றொன்று.,3
உடற்கல்வி_என்றால்_என்ன,"உலக மக்களை உருவாக்கவும், உயர்த்தவும், உன்னதமான ஆக்கப்பணிகளில் உளமார இணையவும், மிளிரவும் உடற்கல்வி உதவுகிறது என்பது உலகமறிந்த உண்மைதான்.",14
உடற்கல்வி_என்றால்_என்ன,"அந்த நிலைமைக்குத் தேர்ச்சி பெற, அதற்குள்ளேயே என்னையும் ஆட்படுத்திக் கொண்டேன்.",8
உடற்கல்வி_என்றால்_என்ன,"ஆரவாரித்துக் கொண்டிருந்த ஆசைகள், இன்று விடுதலை பெற்று வெளியாகி, களித்துக் களிநடம் புரிகின்றன.",10
உடற்கல்வி_என்றால்_என்ன,உடற்கல்வி என்றால் என்ன?,3
உடற்கல்வி_என்றால்_என்ன,"என்ற இந்த நூலின் மூலமாக, என் மனம் எக்களித்துப் பாடுகின்றது.",8
உடற்கல்வி_என்றால்_என்ன,அதன் தத்துவம் என்ன?,3
உடற்கல்வி_என்றால்_என்ன,அறிவார்ந்த கொள்கைகள் யாவை?,3
உடற்கல்வி_என்றால்_என்ன,அதன் ஆழமான நுட்பங்கள் யாவை?,4
உடற்கல்வி_என்றால்_என்ன,உடற்கல்வி எப்படி உருவாகியிருக்கிறது?,3
உடற்கல்வி_என்றால்_என்ன,சமுதாய மேம்பாட்டை சமைக்கிறது.,3
உடற்கல்வி_என்றால்_என்ன,கவர்ச்சி மிக்கக் கலாச்சாரம் வரை துணை நிற்கிறது.,6
உடற்கல்வி_என்றால்_என்ன,"என்ற இந்த இனிய நூல் உருவாகி, இன்று உங்கள் திருக்கரங்களில் இடம்பெற்றிருக்கிறது.",9
உடற்கல்வி_என்றால்_என்ன,"புரிந்து கொள்ளுங்கள் இந்த புண்ணியக் கல்வியை என்று, உங்களிடம் உரைத்த திருப்தியில், என் பணியைத் தொடர்கிறேன்.",12
உடற்கல்வி_என்றால்_என்ன,சாந்தி சாக்ரட்டீஸ் பதிப்பாளர் ﻿பொருளடக்கம் ஒன்று.,5
உடற்கல்வி_என்றால்_என்ன,கல்வி என்றால் என்ன?,3
உடற்கல்வி_என்றால்_என்ன,"உடற்கல்வி, உடற்பயிற்சி, உடலழகுக் கல்வி உடல் நலக்கல்வி சில விளக்கங்கள்.",8
உடற்கல்வி_என்றால்_என்ன,உடற்கல்வியின் நோக்கமும் குறிக்கோளும்.,3
உடற்கல்வி_என்றால்_என்ன,உடற்கல்வியின் உயிரியல் கொள்கைகள்.,3
உடற்கல்வி_என்றால்_என்ன,உடற்கல்வியின் உளவியல் கொள்கைகள்.,3
உடற்கல்வி_என்றால்_என்ன,உடற்கல்வியின் சமூகவியல் கொள்கைகள்.,3
உடற்கல்வி_என்றால்_என்ன,தலைமை ஏற்கும் தகுதிகள்.,3
உடற்கல்வி_என்றால்_என்ன,உடற்கல்வியும் உலகமும் இன்றைய உலகம் இன்றைய உலகம் எந்திர உலகமாக இருக்கிறது.,9
உடற்கல்வி_என்றால்_என்ன,நேரம் சுறுசுறுப்பாக இயங்குகிறது.,3
உடற்கல்வி_என்றால்_என்ன,மக்களும் சுறுசுறுப்பு என்கிற போர்வையிலே மதமதர்ப்புடன் வாழ்கின்றார்கள்.,6
உடற்கல்வி_என்றால்_என்ன,"சோம்பல் அவர்களை சொகுசு காட்டிக் கூட்டிச் சென்று, சோர்ந்து போக வைத்துக் கொண்டிருக்கிறது.",10
உடற்கல்வி_என்றால்_என்ன,"அன்று சேர்ந்து வாழக் கற்றுக் கொண்ட மக்கள், இன்று தேர்ந்த கைகாரர்களாக வாழ்வதில் வல்லவர் களாக விளங்கிக் கொண்டிருக்கின்றனர்.",14
உடற்கல்வி_என்றால்_என்ன,உழைப்பதற்காகவே உடல் உண்டு.,3
உடற்கல்வி_என்றால்_என்ன,"உழைத்தால் தான் உடல் சிறக்கும், செழிக்கும், சுகமளிக்கும்.",6
உடற்கல்வி_என்றால்_என்ன,சொர்க்க வாழ்வைக் கொடுக்கும் என்ற தத்துவத்தில் தற்கால மக்களுக்கு நம்பிக்கையேயில்லை.,8
உடற்கல்வி_என்றால்_என்ன,அப்படிப்பட்ட நாகரகக் காலம் இது.நமக்கெதற்கு உழைப்பு.,6
