work_title,sentence,sentence_length
இந்தியக்_கலைச்செல்வம்,இந்தியக் கலைச்செல்வம் தொ.,3
இந்தியக்_கலைச்செல்வம்,இந்தியக் கலைச் செல்வம் தொ.மு.,5
இந்தியக்_கலைச்செல்வம்,"பாஸ்கரத்தொண்டைமான் கலைஞன் பதிப்பகம் பத்து, கண்ணதாசன் சாலை தியாகராய நகர் சென்னை அறுநூறு  பதினேழு .",11
இந்தியக்_கலைச்செல்வம்,பாரத சமுதாயம் கலைகள் இரண்டு.,4
இந்தியக்_கலைச்செல்வம்,அஜந்தா எல்லோரா மூன்று.,3
இந்தியக்_கலைச்செல்வம்,கஜுராஹோ புவனேஸ்வரம் கோயில்கள் நான்கு.,4
இந்தியக்_கலைச்செல்வம்,மைசூர் ஹொய்சலர் கோயில்கள் ஐந்து.,4
இந்தியக்_கலைச்செல்வம்,தமிழர் சிற்பக் கலை ஆறு.,4
இந்தியக்_கலைச்செல்வம்,தமிழர் வளர்த்த நுண் கலைகள் சிற்பமும் ஓவியமும் ஏழு.,7
இந்தியக்_கலைச்செல்வம்,கலை உறவு சிற்பம் எட்டு.,4
இந்தியக்_கலைச்செல்வம்,சிற்பக் கலையில் உத்திகள் மிகை அமைப்பு ஒன்பது.,6
இந்தியக்_கலைச்செல்வம்,சிற்பக் கலையின் உத்திகள் தேர்வு பத்து.,5
இந்தியக்_கலைச்செல்வம்,கலையும் கலை மெருகும் சிற்பத்தில் காவியத்தில் பதினொன்று .,6
இந்தியக்_கலைச்செல்வம்,கலைச் சின்னங்கள் செப்பு விக்ரகங்கள் பனிரண்டு .,5
இந்தியக்_கலைச்செல்வம்,நல்லுறவுப் பாலம் அமைப்போம் கலை விற்பன்னர் பதிமூன்று .,6
இந்தியக்_கலைச்செல்வம்,தென்னிந்தியக் கோயில் அமைப்பும் பண்பாடும் கோயில்கள் பதினான்கு .,6
இந்தியக்_கலைச்செல்வம்,தென்னிந்தியக் கோயில் அமைப்பும் பண்பாடும் மாளிகைகள் பதினைந்து .,6
