work_title,sentence,sentence_length
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,இளைஞர்களுக்கு தந்தை பெரியார் வரலாறு பாவலர் நாரா.,6
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,"பெரியார் சுயமரியாதை பிரச்சார நிறுவன வெளியீடு பெரியார் திடல், சென்னை அறுநூறு  ஏழு.",10
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,"சம்பத் சாலை, சென்னை அறுநூறு  ஏழு.",5
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,தந்தை பெரியார் ﻿முன்னுரை என் கண்மணிகளே !,5
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,இப்போது உங்களுக்கு ஒரு வரலாறு சொல்லப் போகிறேன்.,6
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,இது நம் பெரியாருடைய வரலாறு.,4
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,உங்கள் பாடப் புத்தகத்தில் பெரிய பெரிய தலைவர்களைப் பற்றி நீங்கள் படித்திருப்பீர்கள்.,9
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,நமது பெரியாருக்கும் மிகப் பெரிய வேறுபாடு உண்டு.,6
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,"தமிழ் மக்களின் தாழ்வுக்குக் காரணமாக இருந்தவை சாதிகளும், மதங்களுமே ஆகும்.",8
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,பல பெரியவர்கள் சாதி வேற்றுமை கூடாது என்றார்கள்.,6
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,மதவெறியைப் பல அறிஞர்கள் கண்டித்திருக்கிறார்கள்.,4
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,நமது பெரியார் இராமசாமியோ சாதிகளே கூடாது என்றார்.,6
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,மதங்களை ஒழிக்க வேண்டும்.,3
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,இவற்றிற்குக் காரணமான கடவுளை ஒழிக்க வேண்டும் என்றெல்லாம் கூறினார்.,7
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,இதுவரை இந்த மாதிரி துணிச்சலாகப் போராடியவர்கள் யாரும் இல்லை.,7
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,நமது பெரியார் இராமசாமி தான் இவ்வாறு புதுமையாகப் போராடினார்.,7
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,"அவர் வாழ்ந்த காலம் முழுவதும் இந்த நோக்கங்களுக்காகவும், தமிழ் மக்களின் நல் வாழ்வுக்காகவும் அயராமல் போராடினார்.",12
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,அவருடைய வரலாறு ஒரு வீர வரலாறு.,5
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,அவருடைய வரலாறு ஒர் அறிவு வரலாறு.,5
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,அவருடைய வரலாறு ஒர் எழுச்சி வரலாறு.,5
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,பெரியாரின் பெற்றோர் ஐந்து இரண்டு.,4
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,செல்லப் பாட்டி ஏழு மூன்று.,4
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,பெரியாரின் துணைவியார் பதிமூன்று  நான்கு.,4
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,பெரியார் சாமியார் ஆனார் பத்தொன்பது  ஐந்து.,5
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,பொது வாழ்க்கை முப்பது ஆறு.,4
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,வைக்கம் போராட்டம் முப்பத்து நான்கு ஏழு.,5
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,குருகுலப் போராட்டம் நாற்பது எட்டு.,4
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,தன்னாட்சிக் கொள்கை நாற்பத்திரண்டு ஒன்பது.,4
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,இந்தி எதிர்ப்புப் போராட்டம் நாற்பத்தைந்து பத்து.,5
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,வெளிநாடுகளில் பெரியார் நாற்பத்தொன்பது பதினொன்று .,4
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,மணியம்மையார் ஐம்பத்து நான்கு பனிரண்டு .,4
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,அவருடைய ஊர் ஈரோடு.,3
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,அவருடைய தந்தையார் பெயர் வெங்கட்டர்.,4
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,தாயார் பெயர் சின்னத் தாயம்மாள்.,4
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,சின்னத் தாயம்மாளை அவருடைய பெற்றோர்கள் அன்பாக முத்தம்மா என்று அழைப்பார்கள்.,8
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,வெங்கட்டர் ஏழைக் குடியில் பிறந்தார்.,4
