work_title,sentence,sentence_length
இயல்_தமிழ்_இன்பம்,இயல் தமிழ் இன்பம் பேரா.,4
இயல்_தமிழ்_இன்பம்,பல்வேறு கோணங்களில் பல்வேறு பொருள்பற்றி எழுதிப்பட்டது இது.,6
இயல்_தமிழ்_இன்பம்,அந்தக் கடமை உணர்வின் ஒரு கூறே இந்நூலின் எழுச்சி.,7
இயல்_தமிழ்_இன்பம்,நூறு பக்கங்களுக்குள் வணிக நோக்குடன் புற்றீசல்கள் போல் புறப்பட்டு வெளியாகும் நூல்கள் மட்டும் மக்களுக்குப் போதமாட்டா.,12
இயல்_தமிழ்_இன்பம்,இந்நூல் வெளியீட்டுக்கு ஓரளவு பொருள் உதவிபுரிந்த புதுவை அரசுக்கு மிக்க நன்றி.,9
இயல்_தமிழ்_இன்பம்,சுந்தர சண்முகன் பொருளடக்கம் பக்கம் ஒன்று.,5
இயல்_தமிழ்_இன்பம்,உயிர் அன்பு ஒருமைப்பாடு பதினைந்து  நான்கு.,5
இயல்_தமிழ்_இன்பம்,இன்னா செய்தார்க்கு ஒறுப்பு இருபத்தைந்து ஆறு.,5
இயல்_தமிழ்_இன்பம்,கன்னல் தமிழும் கவியரசும் நாற்பத்தெட்டு ஒன்பது.,5
இயல்_தமிழ்_இன்பம்,பகைவரை மயக்கிய பாவேந்தர் ஐம்பத்து நான்கு பத்து.,6
இயல்_தமிழ்_இன்பம்,கவிஞர் கண்ட காதலர்களும் தொழிலாளர்களும் அறுபது பதினொன்று .,6
இயல்_தமிழ்_இன்பம்,பெண் தெய்வ வழிபாடு எழுபத்தேழு பதிமூன்று .,5
இயல்_தமிழ்_இன்பம்,பாரதிதாசன் ஊரும் பேரும் எண்பத்து நான்கு பதினான்கு .,6
இயல்_தமிழ்_இன்பம்,தமிழன் கண்ட கல்விமுறை நூற்றி பதினெட்டு  பதினேழு .,6
இயல்_தமிழ்_இன்பம்,காக்கை கற்பிக்கும் ஆக்க நிலை நூற்றி இருபத்தாறு பதினெட்டு .,7
இயல்_தமிழ்_இன்பம்,நிகழ்வது தழீஇய எச்ச உம்மை நூற்றி இருபத்தொன்பது பத்தொன்பது .,7
இயல்_தமிழ்_இன்பம்,ஆசானின் அன்புரை நன்னூல் நவில்வது நூற்றி நாற்பது இருபது.,7
இயல்_தமிழ்_இன்பம்,நன்னூலும் நடைமுறை இலக்கணமும் நூற்றி அறுபத்தேழு இருபத்திரண்டு.,6
இயல்_தமிழ்_இன்பம்,பதப் புணர்ச்சியும் விகுதிப் புணர்ச்சியும் இருநூற்று இரண்டு இருபத்து மூன்று.,8
இயல்_தமிழ்_இன்பம்,மெய்ப்பாடு ஓர் அறிமுகம் இருநூற்று இருபத்தேழு ﻿இயல் தமிழ் இன்பம் ஒன்று.,9
இயல்_தமிழ்_இன்பம்,புகு வாயில் முத்தமிழ் என மூன்று பகுதிகள் உடையதாகச் சொல்லப்பெறும் பரந்த விரிந்த பெருமை தமிழ் மொழிக்கு உண்டு.,14
இயல்_தமிழ்_இன்பம்,அகத்தியனை முத்தமிழ் முனிவன் எனக் காஞ்சிப் புராணம் கூறுகிறது.,7
