work_title,sentence,sentence_length
வாழ்க்கை_விநோதம்,வாழ்க்கை விநோதம் குழந்தைக் கவிஞர் அழ.,5
வாழ்க்கை_விநோதம்,﻿வாழ்க்கை விநோதம் நகைச்சுவைக் கட்டுரைகள் அழ.,5
வாழ்க்கை_விநோதம்,"இது குழந்தைகளுக்காக வெளியிடப்பட்டது இதற்குத் தமிழ்நாட்டில் எங்கும் நல்ல ஆதரவும், வரவேற்பும் இருந்து வருகின்றது.",11
வாழ்க்கை_விநோதம்,வாழ்க்கை விநோதம் இவரது இரண்டாவது புத்தகம்.,5
வாழ்க்கை_விநோதம்,"சாதாரண வாழ்வில் கானும் விநோதங்களைத்தான், ஆசிரியர் இதில் நகைச்சுவை ததும்பச் சித்திரித்திருக்கிறார்.",9
வாழ்க்கை_விநோதம்,இதை வெளியிட அனுமதி தந்த ஆசிரியர் அவர்கட்கும் நல்ல ஆதர வளித்துவரும் அன்பர்கட்கும் எங்கள் நன்றி.,12
வாழ்க்கை_விநோதம்,—பழனியப்பா சகோதரர்கள் ﻿முதற்பதிப்பின் முன்னுரை எனக்கு நீண்ட நாளாக ஒர் ஆசையிருந்தது.,9
வாழ்க்கை_விநோதம்,"தமிழ்நாட்டின் பிரபல நகைச் சுவை எழுத்தாளர்கள் சிலர் இருக் கிறார்களே, அவர்களேப்போல் நாமும் எழுதவேண்டும் என்பதுதான் அந்த ஆசை.",14
வாழ்க்கை_விநோதம்,"அடேயப்பா, இது நம்மால் முடிகிற காரியமா ! என்று நினைத்துக் கையைக் கட்டிக்கொண்டு சும்மா இருந்து பார்த் தேன்.",13
வாழ்க்கை_விநோதம்,"ஆனால், ஆசை என்னை விடவில்லை.",4
வாழ்க்கை_விநோதம்,"என்ன ஐயா, புத்தர் பெருமானாலே என்னைத் துரத்த முடியவில்லையே?",7
வாழ்க்கை_விநோதம்,துன்பத்துக்குக் காரணம் ஆசை.,3
வாழ்க்கை_விநோதம்,ஆசையை அறவே ஒழிக்கவேண்டும் என்று எவ்வளவோ பிரசாரம் செய்து தான் பார்த்தார் அவரால் முடிந்ததா?,11
வாழ்க்கை_விநோதம்,உம்மால் எப்படி முடியப் போகிறது?,4
வாழ்க்கை_விநோதம்,"உம், கட்டிய கையைத் தளர்த்திப் பேனாவைக் கையில் எடுத்து, எழுத ஆரம்பியும்.",9
வாழ்க்கை_விநோதம்,பயப்படாதீர் ! என்று அபயம் ﻿ அளித்து அடிக்கடி தூண்டவும் ஆரம்பித்துவிட்டது.,8
வாழ்க்கை_விநோதம்,"நாள் ஆக ஆக, அந்த ஆசையின் சீடனாகிவிட்டேன் !",6
வாழ்க்கை_விநோதம்,அப்புறம் நான் எழுதிய விஷயங்கள்தான் இதில் காட்சி அளிக்கின்றன.,7
வாழ்க்கை_விநோதம்,"இப்புத்தகம், பொழுது போக்குக்கு உபயோகமாகும் என்று நம்புகிறேன்.",6
வாழ்க்கை_விநோதம்,இதை வெளியிட முன்வந்த நண்பர் செ.,5
வாழ்க்கை_விநோதம்,பழனியப்ப செட்டியாரவர்களுக்கு எனது நன்றி.,4
வாழ்க்கை_விநோதம்,அப்போது என் நண்பருக்குத் தெரிந்த இன்னொருவரும் அங்கே வந்திருந்தார்.,7
வாழ்க்கை_விநோதம்,அவரும் வழியனுப்பத்தான் வந்தார் போலிருக்கிறது.,4
வாழ்க்கை_விநோதம்,நான் அவசரமாக வீட்டுக்கு வந்துகொண்டிருந்தேன்.,4
