work_title,sentence,sentence_length
உமார்_கயாம்,உமார் கயாம் பாவலர் நாரா.,4
உமார்_கயாம்,கணிப்பொறி வடிவமைப்பு ஏ.ஆர்.,4
உமார்_கயாம்,"எண்டர்பிரைசஸ், சென்னை இருபத்து நான்கு.",4
உமார்_கயாம்,"அச்சிட்டோர் காரிஸ் ஆப்செட் பிரிண்டர்ஸ், சென்னை இருபத்து நான்கு விலை ரூ.",9
உமார்_கயாம்,நாச்சியப்பன் அவர்கள் எழுதினார்.,3
உமார்_கயாம்,பதினொன்றாம் நூற்றாண்டில் பெர்ஷியாவில் பிறந்தவர் உமார் கயாம்.,6
உமார்_கயாம்,வாசகர்களின் பேராதரவைப் பெற்ற அந்த வரலாற்று நாவலை இப்பொழுது புத்தகமாக வெளியிடுவதில் பெரிதும் உவகை அடைகின்றோம்.,12
உமார்_கயாம்,⁠நன்றி பிரேமா பிரசுரம் உள்ளடக்கம் ஒன்று.,5
உமார்_கயாம்,புத்தகப் பித்தனிடம் பூங்கொடியின் உள்ளம் இரண்டு.,5
உமார்_கயாம்,காரிருளில் போர் அழைப்பு மூன்று.,4
உமார்_கயாம்,முக்காட்டுச் சிறைக்குள்ளே மூடி வைத்த கட்டழகி !,5
உமார்_கயாம்,அறியாமல் சொன்ன ஆபத்தான சோதிடம் !,4
உமார்_கயாம்,ஆருயிர்த் தோழனின் ஆவி பிரிந்தது !,4
உமார்_கயாம்,பகைவனுக்கருளும் பண்புள்ள சுல்தான் !,3
உமார்_கயாம்,அடிமைக்கும் கவலைகள் ஆயிரம் உண்டு !,4
உமார்_கயாம்,கணிதம் கற்க வந்தவன் ஒற்றனா?,4
உமார்_கயாம்,எதிலும் ஐயமே இதயம் குழம்புதே.,4
உமார்_கயாம்,அதிசயத் திறமைக்கு அத்தாட்சிக் கடிதம் !,4
உமார்_கயாம்,காத்திருந்தவளுக்கு ஆத்திரம் பொங்கியது !,3
உமார்_கயாம்,இடு காட்டின் பக்கம் பூத்துக் குலுங்கிய மணம் !,6
உமார்_கயாம்,குறிபார்த்த சுல்தான் கொல்லப்பட்டார் !,3
உமார்_கயாம்,ஆசைக்கனவுகள் யாவும் பலித்தன.,3
உமார்_கயாம்,உதட்டோரம் மதுவோடவே உளம் நாடும் கவி பாடுவேன் பதினாறு .,7
உமார்_கயாம்,எங்கு போனாளே என்னுயிர்க் காதலி !,4
உமார்_கயாம்,தேடித் தேடிக் காணாமல் திரும்பி வந்து சேர்ந்தானே !,6
உமார்_கயாம்,கிழியட்டும் பழம் பஞ்சாங்கம் பத்தொன்பது .,4
உமார்_கயாம்,அவமதிக்க வந்தவன் சவமாகிப் போனான் !,4
உமார்_கயாம்,நள்ளிருளில் ஒருவன் நட்பு வேண்டுமென்றான் !,4
உமார்_கயாம்,புதிய மதம் பரப்பப் புறப்பட்ட ஒரு கூட்டம் இருபத்திரண்டு.,7
உமார்_கயாம்,அனாதைகளின் கூட்டத்தில் ஆருயிரின் மாதரசி இருபத்து மூன்று.,6
உமார்_கயாம்,இதயந்தாங்காத இன்ப வேதனை இருபத்து நான்கு.,5
உமார்_கயாம்,பேகம் பொற்சித்திரமும் பினமாகிப் போனதுவே இருபத்தைந்து.,5
உமார்_கயாம்,எழுதினபடிதான் எதுவும் நடக்கும் !,3
உமார்_கயாம்,ஆராய்ச்சியில் நேர்ந்த அதிசயத் தவறு இருபத்தேழு.,5
உமார்_கயாம்,மரணக்கொடி பறக்குதென்று மத குருக்கள் ஒலமிட்டார் !,5
உமார்_கயாம்,ஏலத்தில் எடுத்த இசைக் குயில் ஆயிஷா !,5
உமார்_கயாம்,மாய இரவில் மயக்கும் மோகினி !,4
உமார்_கயாம்,பாய்ந்தோடும் குதிரையும் பறந்தோடும் செய்தியும் முப்பத்திரண்டு.,5
உமார்_கயாம்,வாளாயுதம் நீதி வழங்கிய காட்சி !,4
உமார்_கயாம்,திடுக்கிடும் கழுகுக்கூடு முப்பத்து நான்கு.,4
உமார்_கயாம்,கூண்டிலிருந்து திறந்து விடப்பட்ட புலிகள் !,4
உமார்_கயாம்,சொர்க்கத்திலே ஒரு சுந்தரி முப்பத்தாறு.,4
உமார்_கயாம்,எதற்கும் துணிந்த புது மதத்தலைவன் முப்பத்தேழு.,5
உமார்_கயாம்,சிக்கலைத் தீர்க்கும் சிந்தனை முப்பத்தெட்டு.,4
உமார்_கயாம்,பாடும் புறா பறந்துவிட்டது !,3
உமார்_கயாம்,தப்பி ஓடிய பாதையில் !,3
உமார்_கயாம்,உனக்கும் எனக்கும் ஒத்து வராது ! நாற்பத்தொன்று.,5
உமார்_கயாம்,குத்துக் கத்தியும் சுட்ட ரொட்டியும் நாற்பத்திரண்டு.,5
உமார்_கயாம்,தலையிட்டால் கொலை நடக்கும் !,3
உமார்_கயாம்,"உலகம் சுற்றவில்லை உமார், உளறாதே !",4
உமார்_கயாம்,எரியும் நெருப்பைத் தனிப்பது மதுவே !,4
